Date,Injury,Firstname,Lastname,City,TeamName
"Feb 26, 2018",Assigned to the Rochester Americans (AHL).,NICHOLAS,BAPTISTE,BUFFALO,SABRES
"Feb 26, 2018",Recalled from the Rochester Americans (AHL).,NICHOLAS,BAPTISTE,BUFFALO,SABRES
"Feb 11, 2018",Recalled from the Rochester Americans (AHL).,NICHOLAS,BAPTISTE,BUFFALO,SABRES
"Feb 03, 2018",Assigned to the Rochester Americans (AHL).,NICHOLAS,BAPTISTE,BUFFALO,SABRES
"Jan 19, 2018",Recalled from the Rochester Americans (AHL).,NICHOLAS,BAPTISTE,BUFFALO,SABRES
"Nov 16, 2017",Assigned to the Rochester Americans (AHL).,NICHOLAS,BAPTISTE,BUFFALO,SABRES
"Nov 01, 2017",Recalled from the Rochester Americans (AHL).,NICHOLAS,BAPTISTE,BUFFALO,SABRES
"Sep 28, 2017",Assigned to the Rochester Americans (AHL).,NICHOLAS,BAPTISTE,BUFFALO,SABRES
"Feb 20, 2017",Assigned to the Rochester Americans (AHL).,NICHOLAS,BAPTISTE,BUFFALO,SABRES
"Feb 18, 2017",Recalled from the Rochester Americans (AHL).,NICHOLAS,BAPTISTE,BUFFALO,SABRES
"Nov 18, 2016",Assigned to the Rochester Americans (AHL).,NICHOLAS,BAPTISTE,BUFFALO,SABRES
"Nov 15, 2016",Recalled from the Rochester Americans (AHL).,NICHOLAS,BAPTISTE,BUFFALO,SABRES
"Nov 13, 2016",Assigned to the Rochester Americans (AHL).,NICHOLAS,BAPTISTE,BUFFALO,SABRES
"Oct 30, 2016",Recalled from the Rochester Americans (AHL).,NICHOLAS,BAPTISTE,BUFFALO,SABRES
"Oct 21, 2016",Assigned to the Rochester Americans (AHL).,NICHOLAS,BAPTISTE,BUFFALO,SABRES
"Oct 15, 2016",Recalled from the Rochester Americans (AHL).,NICHOLAS,BAPTISTE,BUFFALO,SABRES
"Oct 11, 2016",Assigned to the Rochester Americans (AHL).,NICHOLAS,BAPTISTE,BUFFALO,SABRES
"Sep 27, 2015",Assigned to the Rochester Americans (AHL).,NICHOLAS,BAPTISTE,BUFFALO,SABRES
"May 31, 2014",Signed by the Buffalo Sabres to a three-year entry-level contract.,NICHOLAS,BAPTISTE,BUFFALO,SABRES
"Sep 16, 2013",Returned to his junior team (Sudbury-OHL).,NICHOLAS,BAPTISTE,BUFFALO,SABRES
