Date,Injury,Firstname,Lastname,City,TeamName
"Feb 03, 2018",Missed 4 games (upper body injury).,NATHAN,BEAULIEU,BUFFALO,SABRES
"Jan 23, 2018","Upper body injury, injured reserve.",NATHAN,BEAULIEU,BUFFALO,SABRES
"Jan 22, 2018",Missed 2 games (illness).,NATHAN,BEAULIEU,BUFFALO,SABRES
"Jan 17, 2018","Illness, day-to-day.",NATHAN,BEAULIEU,BUFFALO,SABRES
"Dec 15, 2017",Missed 5 games (illness).,NATHAN,BEAULIEU,BUFFALO,SABRES
"Dec 05, 2017","Illness, day-to-day.",NATHAN,BEAULIEU,BUFFALO,SABRES
"Nov 10, 2017",Missed 7 games (upper body injury).,NATHAN,BEAULIEU,BUFFALO,SABRES
"Nov 02, 2017","Upper body injury, injured reserve.",NATHAN,BEAULIEU,BUFFALO,SABRES
"Oct 21, 2017","Upper body injury, day-to-day.",NATHAN,BEAULIEU,BUFFALO,SABRES
"Jul 31, 2017",Re-signed as a restricted free agent by the Buffalo Sabres to a two-year contract.,NATHAN,BEAULIEU,BUFFALO,SABRES
"Jul 05, 2017",Filed for salary arbitration.,NATHAN,BEAULIEU,BUFFALO,SABRES
"Jun 26, 2017",Buffalo Sabres tendered a qualifying offer.,NATHAN,BEAULIEU,BUFFALO,SABRES
"Jun 17, 2017",Acquired from the Montreal Canadiens.,NATHAN,BEAULIEU,BUFFALO,SABRES
"Dec 08, 2016",Missed 6 games (neck injury).,NATHAN,BEAULIEU,BUFFALO,SABRES
"Nov 26, 2016","Neck injury, injured reserve.",NATHAN,BEAULIEU,BUFFALO,SABRES
"Nov 23, 2016","Neck injury, day-to-day.",NATHAN,BEAULIEU,BUFFALO,SABRES
"Apr 09, 2016",Missed the last 4 regular season games (broken thumb).,NATHAN,BEAULIEU,BUFFALO,SABRES
"Mar 31, 2016","Broken thumb, remainder of the regular season.",NATHAN,BEAULIEU,BUFFALO,SABRES
"Mar 16, 2016",Missed 10 games (lower body injury).,NATHAN,BEAULIEU,BUFFALO,SABRES
"Feb 27, 2016","Lower body injury, injured reserve.",NATHAN,BEAULIEU,BUFFALO,SABRES
"Feb 23, 2016","Lower body injury, day-to-day.",NATHAN,BEAULIEU,BUFFALO,SABRES
"Feb 15, 2016",Missed 1 game (lower body injury).,NATHAN,BEAULIEU,BUFFALO,SABRES
"Feb 12, 2016","Lower body injury, day-to-day.",NATHAN,BEAULIEU,BUFFALO,SABRES
"Jun 13, 2015",Signed by the Montreal Canadiens to a two-year contract extension.,NATHAN,BEAULIEU,BUFFALO,SABRES
