Date,Injury,Firstname,Lastname,City,TeamName
"Feb 11, 2018",Missed 1 game (illness).,ZEMGUS,GIRGENSONS,BUFFALO,SABRES
"Feb 10, 2018","Illness, day-to-day.",ZEMGUS,GIRGENSONS,BUFFALO,SABRES
"Oct 25, 2017",Missed 3 games (lower body injury).,ZEMGUS,GIRGENSONS,BUFFALO,SABRES
"Oct 20, 2017","Lower body injury, day-to-day.",ZEMGUS,GIRGENSONS,BUFFALO,SABRES
"Aug 17, 2017",Re-signed as a restricted free agent by the Buffalo Sabres to a two-year contract.,ZEMGUS,GIRGENSONS,BUFFALO,SABRES
"Jun 26, 2017",Buffalo Sabres tendered a qualifying offer.,ZEMGUS,GIRGENSONS,BUFFALO,SABRES
"Feb 25, 2017",Missed 7 games (mid-body).,ZEMGUS,GIRGENSONS,BUFFALO,SABRES
"Feb 14, 2017","Mid-body, injured reserve.",ZEMGUS,GIRGENSONS,BUFFALO,SABRES
"Feb 09, 2017","Mid-body, day-to-day.",ZEMGUS,GIRGENSONS,BUFFALO,SABRES
"Sep 01, 2016",Re-signed as a restricted free agent by the Buffalo Sabres to a one-year contract.,ZEMGUS,GIRGENSONS,BUFFALO,SABRES
"Jun 27, 2016",Buffalo Sabres tendered a qualifying offer.,ZEMGUS,GIRGENSONS,BUFFALO,SABRES
"Feb 14, 2016",Missed 3 games (lower body injury).,ZEMGUS,GIRGENSONS,BUFFALO,SABRES
"Feb 10, 2016","Lower body injury, injured reserve.",ZEMGUS,GIRGENSONS,BUFFALO,SABRES
"Feb 09, 2016","Lower body injury, day-to-day.",ZEMGUS,GIRGENSONS,BUFFALO,SABRES
"Jan 25, 2016",Missed 4 games (upper body injury).,ZEMGUS,GIRGENSONS,BUFFALO,SABRES
"Jan 22, 2016","Upper body injury, injured reserve.",ZEMGUS,GIRGENSONS,BUFFALO,SABRES
"Jan 16, 2016","Upper body injury, day-to-day.",ZEMGUS,GIRGENSONS,BUFFALO,SABRES
"Nov 25, 2015",Missed 4 games (upper body injury).,ZEMGUS,GIRGENSONS,BUFFALO,SABRES
"Nov 21, 2015","Upper body injury, injured reserve.",ZEMGUS,GIRGENSONS,BUFFALO,SABRES
"Nov 17, 2015","Upper body injury, day-to-day.",ZEMGUS,GIRGENSONS,BUFFALO,SABRES
"Apr 11, 2015",Missed the last 21 regular season games (lower body injury).,ZEMGUS,GIRGENSONS,BUFFALO,SABRES
"Feb 26, 2015","Lower body injury, injured reserve.",ZEMGUS,GIRGENSONS,BUFFALO,SABRES
"Feb 25, 2015","Lower body injury, sidelined indefinitely.",ZEMGUS,GIRGENSONS,BUFFALO,SABRES
"Mar 29, 2014",Missed 11 games (lower body injury).,ZEMGUS,GIRGENSONS,BUFFALO,SABRES
"Mar 07, 2014","Lower body injury, day-to-day.",ZEMGUS,GIRGENSONS,BUFFALO,SABRES
"Oct 19, 2013",Missed 1 game (facial injury).,ZEMGUS,GIRGENSONS,BUFFALO,SABRES
"Oct 17, 2013","Facial injury, day-to-day.",ZEMGUS,GIRGENSONS,BUFFALO,SABRES
"Sep 14, 2012",Assigned to Rochester (AHL).,ZEMGUS,GIRGENSONS,BUFFALO,SABRES
"Jul 13, 2012",Signed by the Buffalo Sabres to a three-year entry-level contract.,ZEMGUS,GIRGENSONS,BUFFALO,SABRES
