Date,Injury,Firstname,Lastname,City,TeamName
"Jan 30, 2018",Missed 3 games (illness).,JOSH,GORGES,BUFFALO,SABRES
"Jan 22, 2018","Illness, day-to-day.",JOSH,GORGES,BUFFALO,SABRES
"Nov 10, 2017",Missed 8 games (lower body injury).,JOSH,GORGES,BUFFALO,SABRES
"Oct 21, 2017","Lower body injury, injured reserve.",JOSH,GORGES,BUFFALO,SABRES
"Oct 19, 2017","Lower body injury, day-to-day.",JOSH,GORGES,BUFFALO,SABRES
"Feb 04, 2017",Missed 12 games (abdominal injury).,JOSH,GORGES,BUFFALO,SABRES
"Jan 24, 2017","Hip injury, injured reserve.",JOSH,GORGES,BUFFALO,SABRES
"Jan 07, 2017","Hip injury, day-to-day.",JOSH,GORGES,BUFFALO,SABRES
"Jan 05, 2017",Missed 1 game (hip injury).,JOSH,GORGES,BUFFALO,SABRES
"Jan 03, 2017","Hip injury, day-to-day.",JOSH,GORGES,BUFFALO,SABRES
"Dec 09, 2016",Missed 3 games (fractured foot).,JOSH,GORGES,BUFFALO,SABRES
"Dec 05, 2016","Fractured foot, sidelined indefinitely.",JOSH,GORGES,BUFFALO,SABRES
"Dec 03, 2016","Upper body injury, day-to-day.",JOSH,GORGES,BUFFALO,SABRES
"Feb 02, 2016",Missed 3 games (upper body injury).,JOSH,GORGES,BUFFALO,SABRES
"Jan 22, 2016","Upper body injury, day-to-day.",JOSH,GORGES,BUFFALO,SABRES
"Jan 20, 2016",Missed 2 games (upper body injury).,JOSH,GORGES,BUFFALO,SABRES
"Jan 16, 2016","Upper body injury, day-to-day.",JOSH,GORGES,BUFFALO,SABRES
"Oct 06, 2015","Lower body injury, injured reserve.",JOSH,GORGES,BUFFALO,SABRES
"Apr 11, 2015",Missed the last 27 regular season games (lower body injury).,JOSH,GORGES,BUFFALO,SABRES
"Feb 22, 2015","Lower body injury, injured reserve.",JOSH,GORGES,BUFFALO,SABRES
"Feb 15, 2015","Lower body injury, day-to-day.",JOSH,GORGES,BUFFALO,SABRES
"Dec 20, 2014",Missed 2 games (finger injury).,JOSH,GORGES,BUFFALO,SABRES
"Dec 15, 2014","Finger injury, day-to-day.",JOSH,GORGES,BUFFALO,SABRES
"Dec 02, 2014",Missed 7 games (knee injury).,JOSH,GORGES,BUFFALO,SABRES
"Nov 18, 2014","Knee injury, injured reserve.",JOSH,GORGES,BUFFALO,SABRES
"Nov 12, 2014","Lower body injury, day-to-day.",JOSH,GORGES,BUFFALO,SABRES
"Jul 01, 2014",Acquired from the Montreal Canadiens.,JOSH,GORGES,BUFFALO,SABRES
"Apr 08, 2014",Missed 15 games (broken hand).,JOSH,GORGES,BUFFALO,SABRES
"Mar 06, 2014","Broken hand, sidelined indefinitely.",JOSH,GORGES,BUFFALO,SABRES
"Dec 28, 2013",Missed 1 game (lower body injury).,JOSH,GORGES,BUFFALO,SABRES
"Dec 21, 2013","Lower body injury, day-to-day.",JOSH,GORGES,BUFFALO,SABRES
"Jan 01, 2012",Signed by the Montreal Canadiens to a six-year contract extension.,JOSH,GORGES,BUFFALO,SABRES
"Jul 22, 2011",Re-signed as a restricted free agent by the Montreal Canadiens to a one-year contract.,JOSH,GORGES,BUFFALO,SABRES
"Jun 27, 2011",Montreal Canadiens tendered a qualifying offer.,JOSH,GORGES,BUFFALO,SABRES
"Apr 27, 2011",Missed the last 46 games of the regular season and 7 playoff games (right knee injury).,JOSH,GORGES,BUFFALO,SABRES
"Dec 31, 2010","Right knee injury, injured reserve.",JOSH,GORGES,BUFFALO,SABRES
"Dec 28, 2010","Right knee injury, day-to-day.",JOSH,GORGES,BUFFALO,SABRES
"Feb 03, 2009",Missed 1 game (head injury).,JOSH,GORGES,BUFFALO,SABRES
"Feb 01, 2009","Head injury, day-to-day.",JOSH,GORGES,BUFFALO,SABRES
"Jul 09, 2008",Re-signed as a restricted free agent by the Montreal Canadiens to a three-year contract.,JOSH,GORGES,BUFFALO,SABRES
"Jun 26, 2008",Montreal Canadiens tendered a qualifying offer.,JOSH,GORGES,BUFFALO,SABRES
"Jul 17, 2007",Re-signed as a restricted free agent by the Montreal Canadiens.,JOSH,GORGES,BUFFALO,SABRES
"Jun 26, 2007",Montreal Canadiens extended qualifying offer.,JOSH,GORGES,BUFFALO,SABRES
"Feb 25, 2007",Acquired from the San Jose Sharks.,JOSH,GORGES,BUFFALO,SABRES
"Nov 27, 2006",Recalled from Worcester (AHL).,JOSH,GORGES,BUFFALO,SABRES
"Nov 16, 2006",Assigned to Worcester (AHL).,JOSH,GORGES,BUFFALO,SABRES
"Mar 26, 2006",Missed 1 game (flu).,JOSH,GORGES,BUFFALO,SABRES
"Mar 25, 2006","Flu, day-to-day.",JOSH,GORGES,BUFFALO,SABRES
"Dec 15, 2005",Recalled from Cleveland (AHL).,JOSH,GORGES,BUFFALO,SABRES
"Oct 11, 2005",Assigned to Cleveland (AHL).,JOSH,GORGES,BUFFALO,SABRES
"Sep 14, 2005",Invited to training camp by the San Jose Sharks.,JOSH,GORGES,BUFFALO,SABRES
"Sep 22, 2004",Assigned to Cleveland (AHL).,JOSH,GORGES,BUFFALO,SABRES
