Date,Injury,Firstname,Lastname,City,TeamName
"Jul 01, 2017",Signed as an unrestricted free agent by the Buffalo Sabres to a one-year contract.,CHAD,JOHNSON,BUFFALO,SABRES
"Jun 17, 2017",Acquired from the Calgary Flames.,CHAD,JOHNSON,BUFFALO,SABRES
"Apr 15, 2017",Missed the last 2 regular season and first playoff games (lower body injury).,CHAD,JOHNSON,BUFFALO,SABRES
"Apr 05, 2017","Lower body injury, day-to-day.",CHAD,JOHNSON,BUFFALO,SABRES
"Jul 01, 2016",Signed as an unrestricted free agent by the Calgary Flames to a one-year contract.,CHAD,JOHNSON,BUFFALO,SABRES
"Apr 09, 2016",Missed the last regular season game (undisclosed).,CHAD,JOHNSON,BUFFALO,SABRES
"Apr 09, 2016","Undisclosed, day-to-day.",CHAD,JOHNSON,BUFFALO,SABRES
"Apr 11, 2015",Missed the last 18 regular season games (lower body injury).,CHAD,JOHNSON,BUFFALO,SABRES
"Mar 06, 2015","Lower body injury, day-to-day.",CHAD,JOHNSON,BUFFALO,SABRES
"Mar 02, 2015",Acquired from the New York Islanders.,CHAD,JOHNSON,BUFFALO,SABRES
"Jul 01, 2014",Signed as an unrestricted free agent by the New York Islanders to a two-year contract.,CHAD,JOHNSON,BUFFALO,SABRES
"Jul 05, 2013",Signed as an unrestricted free agent by the Boston Bruins to a one-year contract.,CHAD,JOHNSON,BUFFALO,SABRES
"Apr 22, 2013",Assigned to Portland (AHL).,CHAD,JOHNSON,BUFFALO,SABRES
"Apr 15, 2013",Recalled from Portland (AHL) on an emergency basis.,CHAD,JOHNSON,BUFFALO,SABRES
"Apr 07, 2013",Assigned to Portland (AHL).,CHAD,JOHNSON,BUFFALO,SABRES
"Mar 23, 2013",Recalled from Portland (AHL).,CHAD,JOHNSON,BUFFALO,SABRES
"Feb 01, 2013",Assigned to Portland (AHL).,CHAD,JOHNSON,BUFFALO,SABRES
"Jan 24, 2013",Recalled from Portland (AHL).,CHAD,JOHNSON,BUFFALO,SABRES
"Sep 15, 2012",Assigned to Portland (AHL).,CHAD,JOHNSON,BUFFALO,SABRES
"Jul 01, 2012",Signed as an unrestricted free agent by the Phoenix Coyotes to a one-year contract.,CHAD,JOHNSON,BUFFALO,SABRES
"Mar 17, 2012",Assigned to Connecticut (AHL).,CHAD,JOHNSON,BUFFALO,SABRES
"Mar 13, 2012",Recalled from Connecticut (AHL).,CHAD,JOHNSON,BUFFALO,SABRES
"Jan 27, 2012",Assigned to Connecticut (AHL).,CHAD,JOHNSON,BUFFALO,SABRES
"Jan 24, 2012",Recalled from Connecticut (AHL) on an emergency basis.,CHAD,JOHNSON,BUFFALO,SABRES
"Sep 24, 2011",Assigned to Connecticut (AHL).,CHAD,JOHNSON,BUFFALO,SABRES
"Aug 03, 2011",Re-signed as a restricted free agent by the New York Rangers to a one-year contract.,CHAD,JOHNSON,BUFFALO,SABRES
"Mar 02, 2011",Recalled from Connecticut (AHL).,CHAD,JOHNSON,BUFFALO,SABRES
"Sep 27, 2010",Assigned to Hartford (AHL).,CHAD,JOHNSON,BUFFALO,SABRES
"Feb 11, 2010",Assigned to Hartford (AHL).,CHAD,JOHNSON,BUFFALO,SABRES
"Jan 25, 2010",Recalled from Hartford (AHL).,CHAD,JOHNSON,BUFFALO,SABRES
"Jan 20, 2010",Assigned to Hartford (AHL).,CHAD,JOHNSON,BUFFALO,SABRES
"Jan 11, 2010",Recalled from Hartford (AHL).,CHAD,JOHNSON,BUFFALO,SABRES
"Jan 10, 2010",Assigned to Hartford (AHL).,CHAD,JOHNSON,BUFFALO,SABRES
"Jan 04, 2010",Recalled from Hartford (AHL).,CHAD,JOHNSON,BUFFALO,SABRES
"Jan 01, 2010",Assigned to Hartford (AHL).,CHAD,JOHNSON,BUFFALO,SABRES
"Dec 12, 2009",Recalled from Hartford (AHL).,CHAD,JOHNSON,BUFFALO,SABRES
"Dec 10, 2009",Assigned to Hartford (AHL).,CHAD,JOHNSON,BUFFALO,SABRES
"Dec 02, 2009",Recalled from Hartford (AHL).,CHAD,JOHNSON,BUFFALO,SABRES
"Sep 19, 2009",Assigned to Hartford (AHL).,CHAD,JOHNSON,BUFFALO,SABRES
"Jul 13, 2009",Signed by the New York Rangers to an entry-level contract.,CHAD,JOHNSON,BUFFALO,SABRES
"Jun 27, 2009",Acquired from the Pittsburgh Penguins.,CHAD,JOHNSON,BUFFALO,SABRES
