Date,Injury,Firstname,Lastname,City,TeamName
"Feb 01, 2018",Missed 7 games (lower body injury).,JACOB,JOSEFSON,BUFFALO,SABRES
"Jan 10, 2018","Lower body injury, injured reserve.",JACOB,JOSEFSON,BUFFALO,SABRES
"Dec 19, 2017",Missed 9 games (ankle injury).,JACOB,JOSEFSON,BUFFALO,SABRES
"Nov 27, 2017","Ankle injury, injured reserve.",JACOB,JOSEFSON,BUFFALO,SABRES
"Nov 22, 2017",Missed 15 games (lower body injury).,JACOB,JOSEFSON,BUFFALO,SABRES
"Oct 20, 2017","Lower body injury, injured reserve.",JACOB,JOSEFSON,BUFFALO,SABRES
"Oct 17, 2017","Lower body injury, day-to-day.",JACOB,JOSEFSON,BUFFALO,SABRES
"Jul 01, 2017",Signed as an unrestricted free agent by the Buffalo Sabres to a one-year contract.,JACOB,JOSEFSON,BUFFALO,SABRES
"Jun 26, 2017",New Jersey Devils did not tender a qualifying offer.,JACOB,JOSEFSON,BUFFALO,SABRES
"Apr 06, 2017",Missed 17 games (upper body injury).,JACOB,JOSEFSON,BUFFALO,SABRES
"Mar 01, 2017","Upper body injury, day-to-day.",JACOB,JOSEFSON,BUFFALO,SABRES
"Jan 13, 2017",Missed 6 games (illness).,JACOB,JOSEFSON,BUFFALO,SABRES
"Jan 07, 2017","Illness, injured reserve.",JACOB,JOSEFSON,BUFFALO,SABRES
"Jan 02, 2017","Illness, day-to-day.",JACOB,JOSEFSON,BUFFALO,SABRES
"Dec 29, 2016",Missed 5 games (concussion).,JACOB,JOSEFSON,BUFFALO,SABRES
"Dec 22, 2016","Concussion, injured reserve.",JACOB,JOSEFSON,BUFFALO,SABRES
"Dec 18, 2016","Concussion, sidelined indefinitely.",JACOB,JOSEFSON,BUFFALO,SABRES
"Jul 05, 2016",Re-signed as a restricted free agent by the New Jersey Devils to a one-year contract.,JACOB,JOSEFSON,BUFFALO,SABRES
"Apr 02, 2016",Missed 12 games (upper body injury).,JACOB,JOSEFSON,BUFFALO,SABRES
"Mar 06, 2016","Upper body injury, day-to-day.",JACOB,JOSEFSON,BUFFALO,SABRES
"Mar 01, 2016",Missed 1 game (illness).,JACOB,JOSEFSON,BUFFALO,SABRES
"Feb 26, 2016","Illness, day-to-day.",JACOB,JOSEFSON,BUFFALO,SABRES
"Jan 20, 2016",Missed 11 games (foot injury).,JACOB,JOSEFSON,BUFFALO,SABRES
"Dec 30, 2015","Lower body injury, injured reserve.",JACOB,JOSEFSON,BUFFALO,SABRES
"Dec 29, 2015","Lower body injury, day-to-day.",JACOB,JOSEFSON,BUFFALO,SABRES
"Jan 09, 2015",Missed 6 games (illness).,JACOB,JOSEFSON,BUFFALO,SABRES
"Dec 30, 2014","Illness, injured reserve.",JACOB,JOSEFSON,BUFFALO,SABRES
"Dec 29, 2014","Illness, day-to-day.",JACOB,JOSEFSON,BUFFALO,SABRES
"Dec 27, 2014",Missed 3 games (strained groin).,JACOB,JOSEFSON,BUFFALO,SABRES
"Dec 19, 2014","Strained groin, day-to-day.",JACOB,JOSEFSON,BUFFALO,SABRES
"Jul 15, 2014",Re-signed as a restricted free agent by the New Jersey Devils to a two-year contract.,JACOB,JOSEFSON,BUFFALO,SABRES
"Jun 30, 2014",New Jersey Devils tendered a qualifying offer.,JACOB,JOSEFSON,BUFFALO,SABRES
"Apr 13, 2014",Missed the last 5 regular season games (lower body injury).,JACOB,JOSEFSON,BUFFALO,SABRES
"Apr 05, 2014","Lower body injury, day-to-day.",JACOB,JOSEFSON,BUFFALO,SABRES
"Jan 16, 2014",Missed 4 games (illness).,JACOB,JOSEFSON,BUFFALO,SABRES
"Jan 08, 2014","Illness, injured reserve.",JACOB,JOSEFSON,BUFFALO,SABRES
"Jul 18, 2013",Re-signed as a restricted free agent by the New Jersey Devils to a one-year contract.,JACOB,JOSEFSON,BUFFALO,SABRES
"Jun 25, 2013",New Jersey Devils tendered a qualifying offer.,JACOB,JOSEFSON,BUFFALO,SABRES
"Apr 05, 2013",Recalled from Albany (AHL).,JACOB,JOSEFSON,BUFFALO,SABRES
"Feb 25, 2013",Assigned to Albany (AHL).,JACOB,JOSEFSON,BUFFALO,SABRES
"Feb 24, 2013",Recalled from Albany (AHL).,JACOB,JOSEFSON,BUFFALO,SABRES
"Feb 17, 2013",Assigned to Albany (AHL).,JACOB,JOSEFSON,BUFFALO,SABRES
"Jan 13, 2013",Recalled from Albany (AHL).,JACOB,JOSEFSON,BUFFALO,SABRES
"Sep 15, 2012",Assigned to Albany (AHL).,JACOB,JOSEFSON,BUFFALO,SABRES
"May 21, 2012",Missed 2 regular season and 15 playoff games (broken left wrist).,JACOB,JOSEFSON,BUFFALO,SABRES
"Apr 05, 2012","Broken left wrist, sidelined indefinitely.",JACOB,JOSEFSON,BUFFALO,SABRES
"Jan 30, 2012",Recalled from Albany (AHL).,JACOB,JOSEFSON,BUFFALO,SABRES
"Jan 26, 2012",Assigned to Albany (AHL).,JACOB,JOSEFSON,BUFFALO,SABRES
"Jan 17, 2012",Recalled from Albany (AHL).,JACOB,JOSEFSON,BUFFALO,SABRES
"Jan 10, 2012",Assigned to Albany (AHL).,JACOB,JOSEFSON,BUFFALO,SABRES
"Jan 10, 2012",Missed 36 games (clavicle injury).,JACOB,JOSEFSON,BUFFALO,SABRES
"Oct 25, 2011","Clavicle injury, injured reserve.",JACOB,JOSEFSON,BUFFALO,SABRES
"Oct 22, 2011","Clavicle injury, sidelined indefinitely.",JACOB,JOSEFSON,BUFFALO,SABRES
"Feb 17, 2011",Recalled from Albany (AHL).,JACOB,JOSEFSON,BUFFALO,SABRES
"Jan 07, 2011",Assigned to Albany (AHL).,JACOB,JOSEFSON,BUFFALO,SABRES
"Nov 05, 2010","Hand infection, injured reserve.",JACOB,JOSEFSON,BUFFALO,SABRES
"Oct 29, 2010","Hand injury, day-to-day.",JACOB,JOSEFSON,BUFFALO,SABRES
"Oct 14, 2010",Recalled from Albany (AHL).,JACOB,JOSEFSON,BUFFALO,SABRES
"Oct 04, 2010",Assigned to Albany (AHL).,JACOB,JOSEFSON,BUFFALO,SABRES
"May 14, 2010",Signed by the New Jersey Devils to a three-year entry-level contract.,JACOB,JOSEFSON,BUFFALO,SABRES
