Date,Injury,Firstname,Lastname,City,TeamName
"Feb 21, 2018",Missed 1 game (lower body injury).,ROBIN,LEHNER,BUFFALO,SABRES
"Feb 19, 2018","Lower body injury, day-to-day.",ROBIN,LEHNER,BUFFALO,SABRES
"Jul 25, 2017",Re-signed as a restricted free agent by the Buffalo Sabres to a one-year contract.,ROBIN,LEHNER,BUFFALO,SABRES
"Jul 05, 2017",Filed for salary arbitration.,ROBIN,LEHNER,BUFFALO,SABRES
"Jun 26, 2017",Buffalo Sabres tendered a qualifying offer.,ROBIN,LEHNER,BUFFALO,SABRES
"Feb 28, 2017",Missed 1 game (upper body injury).,ROBIN,LEHNER,BUFFALO,SABRES
"Feb 26, 2017","Upper body injury, day-to-day.",ROBIN,LEHNER,BUFFALO,SABRES
"Jan 16, 2017",Missed 3 games (flu).,ROBIN,LEHNER,BUFFALO,SABRES
"Jan 10, 2017","Flu, day-to-day.",ROBIN,LEHNER,BUFFALO,SABRES
"Dec 02, 2016",Missed 1 game (hip injury).,ROBIN,LEHNER,BUFFALO,SABRES
"Nov 30, 2016","Hip injury, day-to-day.",ROBIN,LEHNER,BUFFALO,SABRES
"Oct 28, 2016",Missed 2 games (illness).,ROBIN,LEHNER,BUFFALO,SABRES
"Oct 25, 2016","Illness, day-to-day.",ROBIN,LEHNER,BUFFALO,SABRES
"Apr 09, 2016",Missed the last 11 regular season games (ankle injury).,ROBIN,LEHNER,BUFFALO,SABRES
"Mar 18, 2016","Ankle injury, day-to-day.",ROBIN,LEHNER,BUFFALO,SABRES
"Jan 14, 2016",Recalled from his conditioning assignment with the Rochester Americans (AHL).,ROBIN,LEHNER,BUFFALO,SABRES
"Jan 08, 2016",Missed 39 games (lower body injury).,ROBIN,LEHNER,BUFFALO,SABRES
"Jan 05, 2016",Assigned to the Rochester Americans (AHL) for conditioning purposes.,ROBIN,LEHNER,BUFFALO,SABRES
"Oct 10, 2015","Lower body injury, injured reserve.",ROBIN,LEHNER,BUFFALO,SABRES
"Jun 26, 2015",Acquired from the Ottawa Senators.,ROBIN,LEHNER,BUFFALO,SABRES
"Apr 26, 2015",Missed the last 27 regular season and all 6 playoff games (concussion).,ROBIN,LEHNER,BUFFALO,SABRES
"Feb 19, 2015","Upper body injury, injured reserve.",ROBIN,LEHNER,BUFFALO,SABRES
"Feb 18, 2015","Upper body injury, day-to-day.",ROBIN,LEHNER,BUFFALO,SABRES
"Dec 10, 2014",Missed 3 games (undisclosed).,ROBIN,LEHNER,BUFFALO,SABRES
"Dec 04, 2014","Undisclosed, injured reserve.",ROBIN,LEHNER,BUFFALO,SABRES
"Nov 01, 2014",Missed 1 game (personal reasons).,ROBIN,LEHNER,BUFFALO,SABRES
"Oct 30, 2014","Personal reasons, injured reserve.",ROBIN,LEHNER,BUFFALO,SABRES
"Jul 31, 2014",Re-signed as a restricted free agent by the Ottawa Senators to a three-year contract.,ROBIN,LEHNER,BUFFALO,SABRES
"Jun 30, 2014",Ottawa Senators tendered a qualifying offer.,ROBIN,LEHNER,BUFFALO,SABRES
"Feb 22, 2013",Recalled from Binghamton (AHL).,ROBIN,LEHNER,BUFFALO,SABRES
"Jan 22, 2013",Assigned to Binghamton (AHL).,ROBIN,LEHNER,BUFFALO,SABRES
"Jan 12, 2013",Recalled from Binghamton (AHL).,ROBIN,LEHNER,BUFFALO,SABRES
"Apr 16, 2012",Recalled from Binghamton (AHL).,ROBIN,LEHNER,BUFFALO,SABRES
"Mar 05, 2012",Assigned to Binghamton (AHL).,ROBIN,LEHNER,BUFFALO,SABRES
"Feb 24, 2012",Recalled from Binghamton (AHL).,ROBIN,LEHNER,BUFFALO,SABRES
"Nov 04, 2011",Assigned to Binghamton (AHL).,ROBIN,LEHNER,BUFFALO,SABRES
"Oct 29, 2011",Recalled from Binghamton (AHL) on an emergency basis.,ROBIN,LEHNER,BUFFALO,SABRES
"Oct 01, 2011",Assigned to Binghamton (AHL).,ROBIN,LEHNER,BUFFALO,SABRES
"Feb 28, 2011",Assigned to Binghamton (AHL).,ROBIN,LEHNER,BUFFALO,SABRES
"Feb 14, 2011",Recalled from Binghamton (AHL).,ROBIN,LEHNER,BUFFALO,SABRES
"Feb 13, 2011",Assigned to Binghamton (AHL).,ROBIN,LEHNER,BUFFALO,SABRES
"Jan 31, 2011",Recalled from Binghamton (AHL).,ROBIN,LEHNER,BUFFALO,SABRES
"Jan 15, 2011",Assigned to Binghamton (AHL).,ROBIN,LEHNER,BUFFALO,SABRES
"Jan 12, 2011",Recalled from Binghamton (AHL) on an emergency basis.,ROBIN,LEHNER,BUFFALO,SABRES
"Jan 09, 2011",Assigned to Binghamton (AHL).,ROBIN,LEHNER,BUFFALO,SABRES
"Jan 07, 2011",Recalled from Binghamton (AHL).,ROBIN,LEHNER,BUFFALO,SABRES
"Dec 10, 2010",Loaned to Sweden's national junior team for the 2011 IIHF World Junior Hockey Championship.,ROBIN,LEHNER,BUFFALO,SABRES
"Nov 01, 2010",Assigned to Binghamton (AHL).,ROBIN,LEHNER,BUFFALO,SABRES
"Oct 16, 2010",Recalled from Binghamton (AHL) on an emergency basis.,ROBIN,LEHNER,BUFFALO,SABRES
"Oct 02, 2010",Assigned to Binghamton (AHL).,ROBIN,LEHNER,BUFFALO,SABRES
"Mar 29, 2010",Signed by the Ottawa Senators to a three-year entry-level contract.,ROBIN,LEHNER,BUFFALO,SABRES
"Sep 19, 2009",Returned to his junior team (Sault Ste. Marie-OHL).,ROBIN,LEHNER,BUFFALO,SABRES
