Date,Injury,Firstname,Lastname,City,TeamName
"Dec 27, 2017",Missed 1 game (personal reasons).,RYAN,O'REILLY,BUFFALO,SABRES
"Dec 23, 2017","Personal reasons, day-to-day.",RYAN,O'REILLY,BUFFALO,SABRES
"Jan 05, 2017",Missed 4 games (appendectomy).,RYAN,O'REILLY,BUFFALO,SABRES
"Jan 03, 2017","Appendectomy, injured reserve.",RYAN,O'REILLY,BUFFALO,SABRES
"Dec 27, 2016","Appendectomy, sidelined indefinitely.",RYAN,O'REILLY,BUFFALO,SABRES
"Nov 23, 2016",Missed 5 games (upper body injury).,RYAN,O'REILLY,BUFFALO,SABRES
"Nov 12, 2016","Upper body injury, day-to-day.",RYAN,O'REILLY,BUFFALO,SABRES
"Nov 11, 2016",Missed 1 game (undisclosed).,RYAN,O'REILLY,BUFFALO,SABRES
"Nov 09, 2016","Undisclosed, day-to-day.",RYAN,O'REILLY,BUFFALO,SABRES
"Mar 16, 2016",Missed 11 games (lower body injury).,RYAN,O'REILLY,BUFFALO,SABRES
"Feb 22, 2016","Lower body injury, injured reserve.",RYAN,O'REILLY,BUFFALO,SABRES
"Feb 21, 2016","Lower body injury, sidelined indefinitely.",RYAN,O'REILLY,BUFFALO,SABRES
"Jul 03, 2015",Signed by the Buffalo Sabres to a seven-year contract extension.,RYAN,O'REILLY,BUFFALO,SABRES
"Jun 26, 2015",Acquired from the Colorado Avalanche.,RYAN,O'REILLY,BUFFALO,SABRES
"Jul 23, 2014",Signed by the Colorado Avalanche to a two-year contract extension.,RYAN,O'REILLY,BUFFALO,SABRES
"Jan 11, 2014",Missed 2 games (bruised shoulder).,RYAN,O'REILLY,BUFFALO,SABRES
"Jan 08, 2014","Bruised shoulder, day-to-day.",RYAN,O'REILLY,BUFFALO,SABRES
"Feb 28, 2013",Re-signed as a restricted free agent by the Colorado Avalanche to a two-year contract.,RYAN,O'REILLY,BUFFALO,SABRES
"Feb 28, 2013",Signed by the Calgary Flames to a two-year offer sheet.,RYAN,O'REILLY,BUFFALO,SABRES
"Dec 07, 2012",Signed with Metallurg Magnitogorsk (KHL).,RYAN,O'REILLY,BUFFALO,SABRES
"Jan 31, 2012",Missed 1 game (flu).,RYAN,O'REILLY,BUFFALO,SABRES
"Jan 24, 2012","Flu, day-to-day.",RYAN,O'REILLY,BUFFALO,SABRES
"Feb 07, 2011",Missed 7 games (head injury).,RYAN,O'REILLY,BUFFALO,SABRES
"Jan 14, 2011","Head injury, day-to-day.",RYAN,O'REILLY,BUFFALO,SABRES
"Feb 10, 2010",Missed 1 game (foot injury).,RYAN,O'REILLY,BUFFALO,SABRES
"Feb 08, 2010","Foot injury, day-to-day.",RYAN,O'REILLY,BUFFALO,SABRES
"Sep 21, 2009",Signed by the Colorado Avalanche to a three-year entry level contract.,RYAN,O'REILLY,BUFFALO,SABRES
