Date,Injury,Firstname,Lastname,City,TeamName
"Jun 30, 2017",Acquired from the Minnesota Wild.,JASON,POMINVILLE,BUFFALO,SABRES
"Mar 05, 2017",Missed 3 games (mumps).,JASON,POMINVILLE,BUFFALO,SABRES
"Feb 27, 2017","Mumps, day-to-day.",JASON,POMINVILLE,BUFFALO,SABRES
"Mar 24, 2016",Missed 7 games (lower body injury).,JASON,POMINVILLE,BUFFALO,SABRES
"Mar 09, 2016","Lower body injury, day-to-day.",JASON,POMINVILLE,BUFFALO,SABRES
"Oct 03, 2013",Signed by the Minnesota Wild to a five-year contract extension.,JASON,POMINVILLE,BUFFALO,SABRES
"May 07, 2013",Missed the last 2 regular season and first 3 playoff games (concussion).,JASON,POMINVILLE,BUFFALO,SABRES
"Apr 26, 2013","Concussion, day-to-day.",JASON,POMINVILLE,BUFFALO,SABRES
"Apr 03, 2013",Acquired from the Buffalo Sabres.,JASON,POMINVILLE,BUFFALO,SABRES
"Dec 04, 2012",Signed with Adler Mannheim (Germany).,JASON,POMINVILLE,BUFFALO,SABRES
"Apr 26, 2011",Missed the last 2 playoff games (lacerated left leg).,JASON,POMINVILLE,BUFFALO,SABRES
"Apr 24, 2011","Lacerated left leg, day-to-day.",JASON,POMINVILLE,BUFFALO,SABRES
"Nov 03, 2010",Missed 9 games (concussion).,JASON,POMINVILLE,BUFFALO,SABRES
"Oct 13, 2010","Concussion, sidelined indefinitely.",JASON,POMINVILLE,BUFFALO,SABRES
"Sep 18, 2008",Re-signed by the Buffalo Sabres to a five-year contract extension.,JASON,POMINVILLE,BUFFALO,SABRES
"Jul 27, 2006",Re-signed as a restricted free agent by the Buffalo Sabres to a multi-year contract.,JASON,POMINVILLE,BUFFALO,SABRES
"Nov 26, 2005",Recalled from Rochester (AHL).,JASON,POMINVILLE,BUFFALO,SABRES
"Nov 05, 2005",Assigned to Rochester (AHL).,JASON,POMINVILLE,BUFFALO,SABRES
"Nov 03, 2005",Recalled from Rochester (AHL).,JASON,POMINVILLE,BUFFALO,SABRES
"Oct 03, 2005",Waived by the Buffalo Sabres for the purpose of assigning him to Rochester (AHL).,JASON,POMINVILLE,BUFFALO,SABRES
"Aug 15, 2005",Re-signed as a restricted free agent by the Buffalo Sabres to a one-year contract.,JASON,POMINVILLE,BUFFALO,SABRES
"Sep 15, 2004",Assigned to Rochester (AHL).,JASON,POMINVILLE,BUFFALO,SABRES
"Dec 30, 2003",Assigned to Rochester (AHL).,JASON,POMINVILLE,BUFFALO,SABRES
"Dec 26, 2003",Recalled from Rochester (AHL).,JASON,POMINVILLE,BUFFALO,SABRES
"Sep 20, 2003",Assigned to Rochester (AHL).,JASON,POMINVILLE,BUFFALO,SABRES
"Sep 23, 2002",Assigned to Rochester (AHL).,JASON,POMINVILLE,BUFFALO,SABRES
"Aug 08, 2002",Signed by the Buffalo Sabres.,JASON,POMINVILLE,BUFFALO,SABRES
"Sep 17, 2001",Returned to Shawinigan (QMJHL).,JASON,POMINVILLE,BUFFALO,SABRES
