Date,Injury,Firstname,Lastname,City,TeamName
"Jul 01, 2017",Signed as an unrestricted free agent by the Buffalo Sabres to a one-year contract.,BENOIT,POULIOT,BUFFALO,SABRES
"Jun 29, 2017",Placed on waivers by the Edmonton Oilers for the purpose of buying him out.,BENOIT,POULIOT,BUFFALO,SABRES
"Mar 10, 2017",Missed 10 games (undisclosed).,BENOIT,POULIOT,BUFFALO,SABRES
"Feb 18, 2017","Undisclosed, injured reserve.",BENOIT,POULIOT,BUFFALO,SABRES
"Feb 14, 2017","Undisclosed, day-to-day.",BENOIT,POULIOT,BUFFALO,SABRES
"Apr 09, 2016",Missed the last 18 regular season games (shoulder injury).,BENOIT,POULIOT,BUFFALO,SABRES
"Feb 29, 2016","Shoulder injury, sidelined indefinitely.",BENOIT,POULIOT,BUFFALO,SABRES
"Dec 19, 2015",Missed 8 games (lower body injury).,BENOIT,POULIOT,BUFFALO,SABRES
"Dec 05, 2015","Lower body injury, injured reserve.",BENOIT,POULIOT,BUFFALO,SABRES
"Dec 02, 2015","Lower body injury, day-to-day.",BENOIT,POULIOT,BUFFALO,SABRES
"Nov 14, 2015",Missed 1 game (illness).,BENOIT,POULIOT,BUFFALO,SABRES
"Nov 12, 2015","Illness, day-to-day.",BENOIT,POULIOT,BUFFALO,SABRES
"Mar 09, 2015",Missed 1 game (illness).,BENOIT,POULIOT,BUFFALO,SABRES
"Mar 08, 2015","Illness, day-to-day.",BENOIT,POULIOT,BUFFALO,SABRES
"Feb 14, 2015",Missed 5 games (foot injury).,BENOIT,POULIOT,BUFFALO,SABRES
"Feb 10, 2015","Foot injury, injured reserve.",BENOIT,POULIOT,BUFFALO,SABRES
"Feb 04, 2015","Foot injury, day-to-day.",BENOIT,POULIOT,BUFFALO,SABRES
"Jan 02, 2015",Missed 18 games (broken foot).,BENOIT,POULIOT,BUFFALO,SABRES
"Nov 27, 2014","Broken foot, injured reserve.",BENOIT,POULIOT,BUFFALO,SABRES
"Nov 21, 2014","Broken foot, sidelined indefinitely.",BENOIT,POULIOT,BUFFALO,SABRES
"Jul 01, 2014",Signed as an unrestricted free agent by the Edmonton Oilers to a five-year contract.,BENOIT,POULIOT,BUFFALO,SABRES
"Jul 05, 2013",Signed as an unrestricted free agent by the New York Rangers.,BENOIT,POULIOT,BUFFALO,SABRES
"Jul 01, 2013",Tampa Bay Lightning did not tender a qualifying offer.,BENOIT,POULIOT,BUFFALO,SABRES
"Mar 26, 2013",Missed 11 games (sprained right shoulder).,BENOIT,POULIOT,BUFFALO,SABRES
"Mar 04, 2013","Sprained right shoulder, injured reserve.",BENOIT,POULIOT,BUFFALO,SABRES
"Jul 01, 2012",Re-signed as an unrestricted free agent by the Tampa Bay Lightning to a one-year contract.,BENOIT,POULIOT,BUFFALO,SABRES
"Jun 23, 2012",Acquired from the Boston Bruins.,BENOIT,POULIOT,BUFFALO,SABRES
"Mar 15, 2012",Missed 2 games (lower body injury).,BENOIT,POULIOT,BUFFALO,SABRES
"Mar 11, 2012","Lower body injury, day-to-day.",BENOIT,POULIOT,BUFFALO,SABRES
"Nov 07, 2011",Missed 3 games (illness).,BENOIT,POULIOT,BUFFALO,SABRES
"Oct 29, 2011","Illness, day-to-day.",BENOIT,POULIOT,BUFFALO,SABRES
"Jul 01, 2011",Signed as an unrestricted free agent by the Boston Bruins to a one-year contract.,BENOIT,POULIOT,BUFFALO,SABRES
"Jun 27, 2011",Montreal Canadiens did not tender a qualifying offer.,BENOIT,POULIOT,BUFFALO,SABRES
"Jan 21, 2011",Missed 2 games (flu).,BENOIT,POULIOT,BUFFALO,SABRES
"Jan 17, 2011","Flu, day-to-day.",BENOIT,POULIOT,BUFFALO,SABRES
"Jun 28, 2010",Re-signed by the Montreal Canadiens to a one-year contract.,BENOIT,POULIOT,BUFFALO,SABRES
"Mar 02, 2010",Missed 5 games (upper body injury).,BENOIT,POULIOT,BUFFALO,SABRES
"Feb 06, 2010","Upper body injury, day-to-day.",BENOIT,POULIOT,BUFFALO,SABRES
"Dec 21, 2009",Recalled from Hamilton (AHL).,BENOIT,POULIOT,BUFFALO,SABRES
"Dec 10, 2009",Assigned to Hamilton (AHL) on a conditioning assignment.,BENOIT,POULIOT,BUFFALO,SABRES
