Date,Injury,Firstname,Lastname,City,TeamName
"Nov 24, 2017",Missed 9 games (upper body injury).,RASMUS,RISTOLAINEN,BUFFALO,SABRES
"Nov 10, 2017","Upper body injury, injured reserve.",RASMUS,RISTOLAINEN,BUFFALO,SABRES
"Nov 04, 2017","Upper body injury, day-to-day.",RASMUS,RISTOLAINEN,BUFFALO,SABRES
"Mar 29, 2017",Missed 3 games (suspended by nhl).,RASMUS,RISTOLAINEN,BUFFALO,SABRES
"Mar 23, 2017",Suspended by the NHL for 3 games.,RASMUS,RISTOLAINEN,BUFFALO,SABRES
"Mar 23, 2017","Fined $90,000 by the NHL.",RASMUS,RISTOLAINEN,BUFFALO,SABRES
"Oct 11, 2016",Re-signed as a restricted free agent by the Buffalo Sabres to a six-year contract.,RASMUS,RISTOLAINEN,BUFFALO,SABRES
"Jun 27, 2016",Buffalo Sabres tendered a qualifying offer.,RASMUS,RISTOLAINEN,BUFFALO,SABRES
"Apr 03, 2015",Missed 1 game (flu).,RASMUS,RISTOLAINEN,BUFFALO,SABRES
"Apr 01, 2015","Flu, day-to-day.",RASMUS,RISTOLAINEN,BUFFALO,SABRES
"Jan 01, 2015",Missed 2 games (flu).,RASMUS,RISTOLAINEN,BUFFALO,SABRES
"Dec 29, 2014","Flu, day-to-day.",RASMUS,RISTOLAINEN,BUFFALO,SABRES
"Apr 15, 2014",Assigned to the Rochester Americans (AHL).,RASMUS,RISTOLAINEN,BUFFALO,SABRES
"Mar 27, 2014",Recalled from the Rochester Americans (AHL).,RASMUS,RISTOLAINEN,BUFFALO,SABRES
"Mar 24, 2014",Assigned to the Rochester Americans (AHL).,RASMUS,RISTOLAINEN,BUFFALO,SABRES
"Mar 15, 2014",Recalled from the Rochester Americans (AHL) on an emergency basis.,RASMUS,RISTOLAINEN,BUFFALO,SABRES
"Nov 19, 2013",Assigned to Rochester (AHL).,RASMUS,RISTOLAINEN,BUFFALO,SABRES
"Oct 21, 2013",Recalled from Rochester (AHL).,RASMUS,RISTOLAINEN,BUFFALO,SABRES
"Oct 19, 2013",Assigned to Rochester (AHL).,RASMUS,RISTOLAINEN,BUFFALO,SABRES
"Jul 12, 2013",Signed by the Buffalo Sabres to a three-year entry-level contract.,RASMUS,RISTOLAINEN,BUFFALO,SABRES
