Date,Injury,Firstname,Lastname,City,TeamName
"Mar 02, 2018","Upper body injury, day-to-day.",EVAN,RODRIGUES,BUFFALO,SABRES
"Dec 04, 2017",Recalled from the Rochester Americans (AHL).,EVAN,RODRIGUES,BUFFALO,SABRES
"Nov 18, 2017",Assigned to the Rochester Americans (AHL).,EVAN,RODRIGUES,BUFFALO,SABRES
"Nov 18, 2017",Missed 19 games (hand injury).,EVAN,RODRIGUES,BUFFALO,SABRES
"Oct 03, 2017","Hand injury, injured reserve.",EVAN,RODRIGUES,BUFFALO,SABRES
"Jul 27, 2017",Re-signed as a restricted free agent by the Buffalo Sabres to a two-year contract.,EVAN,RODRIGUES,BUFFALO,SABRES
"Jun 26, 2017",Buffalo Sabres tendered a qualifying offer.,EVAN,RODRIGUES,BUFFALO,SABRES
"Apr 11, 2017",Assigned to the Rochester Americans (AHL).,EVAN,RODRIGUES,BUFFALO,SABRES
"Feb 24, 2017",Recalled from the Rochester Americans (AHL).,EVAN,RODRIGUES,BUFFALO,SABRES
"Feb 20, 2017",Assigned to the Rochester Americans (AHL).,EVAN,RODRIGUES,BUFFALO,SABRES
"Feb 11, 2017",Recalled from the Rochester Americans (AHL).,EVAN,RODRIGUES,BUFFALO,SABRES
"Feb 10, 2017",Assigned to the Rochester Americans (AHL).,EVAN,RODRIGUES,BUFFALO,SABRES
"Feb 09, 2017",Recalled from the Rochester Americans (AHL).,EVAN,RODRIGUES,BUFFALO,SABRES
"Nov 18, 2016",Assigned to the Rochester Americans (AHL).,EVAN,RODRIGUES,BUFFALO,SABRES
"Nov 15, 2016",Recalled from the Rochester Americans (AHL).,EVAN,RODRIGUES,BUFFALO,SABRES
"Oct 01, 2016",Assigned to the Rochester Americans (AHL).,EVAN,RODRIGUES,BUFFALO,SABRES
"Apr 10, 2016",Assigned to the Rochester Americans (AHL).,EVAN,RODRIGUES,BUFFALO,SABRES
"Apr 07, 2016",Recalled from the Rochester Americans (AHL).,EVAN,RODRIGUES,BUFFALO,SABRES
"Oct 02, 2015",Assigned to the Rochester Americans (AHL).,EVAN,RODRIGUES,BUFFALO,SABRES
"Apr 22, 2015",Signed as an undrafted free agent by the Buffalo Sabres to a two-year entry-level contract.,EVAN,RODRIGUES,BUFFALO,SABRES
