Date,Injury,Firstname,Lastname,City,TeamName
"Dec 04, 2017",Acquired from the Detroit Red Wings.,SCOTT,WILSON,BUFFALO,SABRES
"Oct 21, 2017",Acquired from the Pittsburgh Penguins.,SCOTT,WILSON,BUFFALO,SABRES
"Mar 26, 2017",Missed 1 game (lower body injury).,SCOTT,WILSON,BUFFALO,SABRES
"Mar 24, 2017","Lower body injury, day-to-day.",SCOTT,WILSON,BUFFALO,SABRES
"Jun 12, 2016",Missed the last 15 regular season and all 24 playoff games (lower body injury).,SCOTT,WILSON,BUFFALO,SABRES
"Mar 24, 2016","Lower body injury, injured reserve.",SCOTT,WILSON,BUFFALO,SABRES
"Mar 14, 2016",Signed by the Pittsburgh Penguins to a two-year contract extension.,SCOTT,WILSON,BUFFALO,SABRES
"Mar 13, 2016","Undisclosed, day-to-day.",SCOTT,WILSON,BUFFALO,SABRES
"Feb 01, 2016",Recalled from the Wilkes-Barre/Scranton Penguins (AHL).,SCOTT,WILSON,BUFFALO,SABRES
"Jan 27, 2016",Assigned to the Wilkes-Barre/Scranton Penguins (AHL).,SCOTT,WILSON,BUFFALO,SABRES
"Jan 26, 2016",Recalled from the Wilkes-Barre/Scranton Penguins (AHL).,SCOTT,WILSON,BUFFALO,SABRES
"Jan 07, 2016",Assigned to the Wilkes-Barre/Scranton Penguins (AHL).,SCOTT,WILSON,BUFFALO,SABRES
"Dec 26, 2015",Recalled from the Wilkes-Barre/Scranton Penguins (AHL).,SCOTT,WILSON,BUFFALO,SABRES
"Dec 22, 2015",Assigned to the Wilkes-Barre/Scranton Penguins (AHL).,SCOTT,WILSON,BUFFALO,SABRES
"Dec 19, 2015",Recalled from the Wilkes-Barre/Scranton Penguins (AHL).,SCOTT,WILSON,BUFFALO,SABRES
"Sep 30, 2015",Assigned to the Wilkes-Barre/Scranton Penguins (AHL).,SCOTT,WILSON,BUFFALO,SABRES
"Apr 26, 2015",Assigned to the Wilkes-Barre/Scranton Penguins (AHL).,SCOTT,WILSON,BUFFALO,SABRES
"Apr 14, 2015",Recalled from the Wilkes-Barre/Scranton Penguins (AHL).,SCOTT,WILSON,BUFFALO,SABRES
"Jan 27, 2015",Assigned to the Wilkes-Barre/Scranton Penguins (AHL).,SCOTT,WILSON,BUFFALO,SABRES
"Jan 26, 2015",Recalled from the Wilkes-Barre/Scranton Penguins (AHL).,SCOTT,WILSON,BUFFALO,SABRES
"Jan 16, 2015",Assigned to the Wilkes-Barre/Scranton Penguins (AHL).,SCOTT,WILSON,BUFFALO,SABRES
"Jan 16, 2015",Missed 18 games (leg injury).,SCOTT,WILSON,BUFFALO,SABRES
"Dec 08, 2014","Leg injury, injured reserve.",SCOTT,WILSON,BUFFALO,SABRES
"Dec 03, 2014","Leg injury, sidelined indefinitely.",SCOTT,WILSON,BUFFALO,SABRES
"Dec 02, 2014",Recalled from the Wilkes-Barre/Scranton Penguins (AHL).,SCOTT,WILSON,BUFFALO,SABRES
"Sep 24, 2014",Assigned to the Wilkes-Barre/Scranton Penguins (AHL).,SCOTT,WILSON,BUFFALO,SABRES
"Apr 02, 2014",Signed by the Pittsburgh Penguins to a two-year entry-level contract.,SCOTT,WILSON,BUFFALO,SABRES
