Date,Injury,Firstname,Lastname,City,TeamName
"Feb 28, 2018",Missed 10 games (suspended by nhl).,ALEXANDRE,BURROWS,OTTAWA,SENATORS
"Feb 25, 2018",Placed on waivers by the Ottawa Senators.,ALEXANDRE,BURROWS,OTTAWA,SENATORS
"Feb 07, 2018",Suspended by the NHL for 10 games.,ALEXANDRE,BURROWS,OTTAWA,SENATORS
"Feb 07, 2018","Fined $134,000 by the NHL.",ALEXANDRE,BURROWS,OTTAWA,SENATORS
"Dec 10, 2017","Fined $5,000 by the NHL.",ALEXANDRE,BURROWS,OTTAWA,SENATORS
"May 25, 2017",Missed the last 4 playoff games (lower body injury).,ALEXANDRE,BURROWS,OTTAWA,SENATORS
"May 19, 2017","Lower body injury, day-to-day.",ALEXANDRE,BURROWS,OTTAWA,SENATORS
"Apr 01, 2017",Missed 1 game (upper body injury).,ALEXANDRE,BURROWS,OTTAWA,SENATORS
"Mar 30, 2017","Upper body injury, day-to-day.",ALEXANDRE,BURROWS,OTTAWA,SENATORS
"Feb 27, 2017",Acquired from the Vancouver Canucks.,ALEXANDRE,BURROWS,OTTAWA,SENATORS
"Feb 27, 2017",Signed by the Ottawa Senators to a two-year contract extension.,ALEXANDRE,BURROWS,OTTAWA,SENATORS
"Jan 07, 2017",Missed 1 game (illness).,ALEXANDRE,BURROWS,OTTAWA,SENATORS
"Jan 06, 2017","Illness, day-to-day.",ALEXANDRE,BURROWS,OTTAWA,SENATORS
"Jan 04, 2017",Missed 1 game (eye injury).,ALEXANDRE,BURROWS,OTTAWA,SENATORS
"Jan 02, 2017","Eye injury, day-to-day.",ALEXANDRE,BURROWS,OTTAWA,SENATORS
"Nov 02, 2016",Missed 3 games (neck injury).,ALEXANDRE,BURROWS,OTTAWA,SENATORS
"Oct 24, 2016","Neck injury, injured reserve.",ALEXANDRE,BURROWS,OTTAWA,SENATORS
"Mar 15, 2016",Missed 1 game (undisclosed).,ALEXANDRE,BURROWS,OTTAWA,SENATORS
"Mar 14, 2016","Undisclosed, day-to-day.",ALEXANDRE,BURROWS,OTTAWA,SENATORS
"Dec 28, 2015",Missed 1 game (upper body injury).,ALEXANDRE,BURROWS,OTTAWA,SENATORS
"Dec 26, 2015","Upper body injury, day-to-day.",ALEXANDRE,BURROWS,OTTAWA,SENATORS
"Nov 18, 2015",Missed 1 game (personal reasons).,ALEXANDRE,BURROWS,OTTAWA,SENATORS
"Nov 16, 2015","Personal reasons, day-to-day.",ALEXANDRE,BURROWS,OTTAWA,SENATORS
"Apr 25, 2015",Missed the last 3 playoff games (upper body injury).,ALEXANDRE,BURROWS,OTTAWA,SENATORS
"Apr 21, 2015","Upper body injury, day-to-day.",ALEXANDRE,BURROWS,OTTAWA,SENATORS
"Mar 17, 2015",Missed 1 game (lower body injury).,ALEXANDRE,BURROWS,OTTAWA,SENATORS
"Mar 14, 2015","Lower body injury, day-to-day.",ALEXANDRE,BURROWS,OTTAWA,SENATORS
"Mar 05, 2015",Missed 6 games (lower body injury).,ALEXANDRE,BURROWS,OTTAWA,SENATORS
"Feb 20, 2015","Lower body injury, day-to-day.",ALEXANDRE,BURROWS,OTTAWA,SENATORS
"Nov 25, 2014",Missed 2 games (upper body injury).,ALEXANDRE,BURROWS,OTTAWA,SENATORS
"Nov 20, 2014","Upper body injury, day-to-day.",ALEXANDRE,BURROWS,OTTAWA,SENATORS
"Nov 05, 2014",Missed 3 games (suspended by nhl).,ALEXANDRE,BURROWS,OTTAWA,SENATORS
"Oct 31, 2014",Suspended by the NHL for 3 games.,ALEXANDRE,BURROWS,OTTAWA,SENATORS
"Mar 26, 2014",Missed 1 game (hand injury).,ALEXANDRE,BURROWS,OTTAWA,SENATORS
"Mar 21, 2014","Hand injury, day-to-day.",ALEXANDRE,BURROWS,OTTAWA,SENATORS
"Jan 18, 2014",Missed 20 games (broken jaw).,ALEXANDRE,BURROWS,OTTAWA,SENATORS
"Dec 06, 2013","Broken jaw, injured reserve.",ALEXANDRE,BURROWS,OTTAWA,SENATORS
"Dec 03, 2013","Broken jaw, sidelined indefinitely.",ALEXANDRE,BURROWS,OTTAWA,SENATORS
"Oct 28, 2013",Missed 12 games (bruised foot).,ALEXANDRE,BURROWS,OTTAWA,SENATORS
"Oct 08, 2013","Bruised foot, injured reserve.",ALEXANDRE,BURROWS,OTTAWA,SENATORS
"Oct 05, 2013","Bruised foot, sidelined indefinitely.",ALEXANDRE,BURROWS,OTTAWA,SENATORS
"Sep 14, 2012",Signed by the Vancouver Canucks to a four-year contract extension.,ALEXANDRE,BURROWS,OTTAWA,SENATORS
"Nov 11, 2011",Missed 2 games (back injury).,ALEXANDRE,BURROWS,OTTAWA,SENATORS
"Nov 06, 2011","Back injury, day-to-day.",ALEXANDRE,BURROWS,OTTAWA,SENATORS
"Nov 02, 2010",Missed 10 games (shoulder surgery).,ALEXANDRE,BURROWS,OTTAWA,SENATORS
"Sep 17, 2010","Shoulder surgery, injured reserve.",ALEXANDRE,BURROWS,OTTAWA,SENATORS
"Mar 03, 2009",Signed by the Vancouver Canucks to a four-year contract extension.,ALEXANDRE,BURROWS,OTTAWA,SENATORS
"Apr 15, 2007",Missed Game 2 of Round One against the Dallas Stars (head injury).,ALEXANDRE,BURROWS,OTTAWA,SENATORS
"Apr 13, 2007","Head injury, day-to-day.",ALEXANDRE,BURROWS,OTTAWA,SENATORS
"Dec 30, 2006",Missed 1 game (hip injury).,ALEXANDRE,BURROWS,OTTAWA,SENATORS
"Dec 27, 2006","Hip injury, day-to-day.",ALEXANDRE,BURROWS,OTTAWA,SENATORS
"Sep 08, 2006",Re-signed as a restricted free agent by the Vancouver Canucks.,ALEXANDRE,BURROWS,OTTAWA,SENATORS
"Jan 02, 2006",Recalled from Manitoba (AHL).,ALEXANDRE,BURROWS,OTTAWA,SENATORS
