Date,Injury,Firstname,Lastname,City,TeamName
"Jun 28, 2017",Signed by the Ottawa Senators to a three-year contract extension.,MIKE,CONDON,OTTAWA,SENATORS
"Nov 02, 2016",Acquired from the Pittsburgh Penguins.,MIKE,CONDON,OTTAWA,SENATORS
"Oct 11, 2016",Claimed off waivers from the Montreal Canadiens.,MIKE,CONDON,OTTAWA,SENATORS
"Oct 10, 2016",Placed on waivers by the Montreal Canadiens for the purpose of being assigned to the St. John's IceCaps (AHL).,MIKE,CONDON,OTTAWA,SENATORS
"Apr 19, 2015",Recalled from the Hamilton Bulldogs (AHL).,MIKE,CONDON,OTTAWA,SENATORS
"Feb 05, 2015",Signed by the Montreal Canadiens to a two-year contract extension.,MIKE,CONDON,OTTAWA,SENATORS
"Sep 28, 2014",Assigned to the Hamilton Bulldogs (AHL).,MIKE,CONDON,OTTAWA,SENATORS
"May 22, 2014",Recalled from the Wheeling Nailers (ECHL).,MIKE,CONDON,OTTAWA,SENATORS
"Mar 11, 2014",Re-assigned to the Wheeling Nailers (ECHL).,MIKE,CONDON,OTTAWA,SENATORS
"Feb 26, 2014",Re-assigned to the Hamilton Bulldogs (AHL).,MIKE,CONDON,OTTAWA,SENATORS
"Jan 07, 2014",Re-assigned to the Wheeling Nailers (ECHL).,MIKE,CONDON,OTTAWA,SENATORS
"Dec 16, 2013",Re-assigned to Hamilton (AHL).,MIKE,CONDON,OTTAWA,SENATORS
"Sep 29, 2013",Re-assigned to Wheeling (ECHL).,MIKE,CONDON,OTTAWA,SENATORS
"May 08, 2013",Signed as a free agent by the Montreal Canadiens to a two-year entry-level contract.,MIKE,CONDON,OTTAWA,SENATORS
"Apr 07, 2013",Loaned to Houston (AHL).,MIKE,CONDON,OTTAWA,SENATORS
"Mar 20, 2013",Signed by the Ontario Reign (ECHL).,MIKE,CONDON,OTTAWA,SENATORS
