Date,Injury,Firstname,Lastname,City,TeamName
"Feb 21, 2018",Missed 2 games (personal reasons).,RYAN,DZINGEL,OTTAWA,SENATORS
"Feb 17, 2018","Personal reasons, day-to-day.",RYAN,DZINGEL,OTTAWA,SENATORS
"Jul 21, 2017",Re-signed as a restricted free agent by the Ottawa Senators to a two-year contract.,RYAN,DZINGEL,OTTAWA,SENATORS
"Jul 05, 2017",Filed for salary arbitration.,RYAN,DZINGEL,OTTAWA,SENATORS
"Jun 26, 2017",Ottawa Senators tendered a qualifying offer.,RYAN,DZINGEL,OTTAWA,SENATORS
"May 13, 2017",Missed the last 2 playoff games (undisclosed).,RYAN,DZINGEL,OTTAWA,SENATORS
"May 06, 2017","Undisclosed, day-to-day.",RYAN,DZINGEL,OTTAWA,SENATORS
"Jul 05, 2016",Re-signed as a restricted free agent by the Ottawa Senators to a one-year contract.,RYAN,DZINGEL,OTTAWA,SENATORS
"Jun 28, 2016",Ottawa Senators tendered a qualifying offer.,RYAN,DZINGEL,OTTAWA,SENATORS
"Feb 06, 2016",Recalled from the Binghamton Senators (AHL).,RYAN,DZINGEL,OTTAWA,SENATORS
"Dec 23, 2015",Assigned to the Binghamton Senators (AHL).,RYAN,DZINGEL,OTTAWA,SENATORS
"Dec 21, 2015",Recalled from the Binghamton Senators (AHL).,RYAN,DZINGEL,OTTAWA,SENATORS
"Sep 28, 2015",Assigned to the Binghamton Senators (AHL).,RYAN,DZINGEL,OTTAWA,SENATORS
"Sep 29, 2014",Assigned to the Binghamton Senators (AHL).,RYAN,DZINGEL,OTTAWA,SENATORS
"Apr 02, 2014",Signed by the Ottawa Senators to a two-year entry-level contract.,RYAN,DZINGEL,OTTAWA,SENATORS
"Apr 02, 2014",Signed with the Binghamton Senators (AHL) to an amateur try-out contract.,RYAN,DZINGEL,OTTAWA,SENATORS
