Date,Injury,Firstname,Lastname,City,TeamName
"Feb 15, 2018",Recalled from the Belleville Senators (AHL).,BEN,HARPUR,OTTAWA,SENATORS
"Feb 09, 2018",Signed by the Ottawa Senators to a two-year contract extension.,BEN,HARPUR,OTTAWA,SENATORS
"Jan 11, 2018",Assigned to the Belleville Senators (AHL).,BEN,HARPUR,OTTAWA,SENATORS
"Dec 27, 2017",Recalled from the Belleville Senators (AHL).,BEN,HARPUR,OTTAWA,SENATORS
"Dec 24, 2017",Assigned to the Belleville Senators (AHL).,BEN,HARPUR,OTTAWA,SENATORS
"Dec 18, 2017",Recalled from the Belleville Senators (AHL).,BEN,HARPUR,OTTAWA,SENATORS
"Dec 13, 2017",Assigned to the Belleville Senators (AHL).,BEN,HARPUR,OTTAWA,SENATORS
"Nov 17, 2017",Recalled from the Belleville Senators (AHL).,BEN,HARPUR,OTTAWA,SENATORS
"Nov 13, 2017",Assigned to the Belleville Senators (AHL).,BEN,HARPUR,OTTAWA,SENATORS
"Nov 03, 2017",Recalled from the Belleville Senators (AHL).,BEN,HARPUR,OTTAWA,SENATORS
"Oct 22, 2017",Assigned to the Belleville Senators (AHL).,BEN,HARPUR,OTTAWA,SENATORS
"Oct 22, 2017",Missed 6 games (shoulder injury).,BEN,HARPUR,OTTAWA,SENATORS
"Oct 09, 2017","Shoulder injury, injured reserve.",BEN,HARPUR,OTTAWA,SENATORS
"Oct 07, 2017",Recalled from the Belleville Senators (AHL).,BEN,HARPUR,OTTAWA,SENATORS
"Oct 01, 2017",Assigned to the Belleville Senators (AHL).,BEN,HARPUR,OTTAWA,SENATORS
"Apr 02, 2017",Recalled from the Binghamton Senators (AHL).,BEN,HARPUR,OTTAWA,SENATORS
"Dec 19, 2016",Assigned to the Binghamton Senators (AHL).,BEN,HARPUR,OTTAWA,SENATORS
"Dec 13, 2016",Recalled from the Binghamton Senators (AHL).,BEN,HARPUR,OTTAWA,SENATORS
"Oct 01, 2016",Assigned to the Binghamton Senators (AHL).,BEN,HARPUR,OTTAWA,SENATORS
"Apr 11, 2016",Assigned to the Binghamton Senators (AHL).,BEN,HARPUR,OTTAWA,SENATORS
"Apr 05, 2016",Recalled from the Binghamton Senators (AHL).,BEN,HARPUR,OTTAWA,SENATORS
"Apr 03, 2016",Assigned to the Binghamton Senators (AHL).,BEN,HARPUR,OTTAWA,SENATORS
"Mar 31, 2016",Recalled from the Binghamton Senators (AHL).,BEN,HARPUR,OTTAWA,SENATORS
"Feb 01, 2016",Re-assigned to the Binghamton Senators (AHL).,BEN,HARPUR,OTTAWA,SENATORS
"Jan 19, 2016",Re-assigned to the Evansville Icemen (ECHL).,BEN,HARPUR,OTTAWA,SENATORS
"Sep 28, 2015",Assigned to the Binghamton Senators (AHL).,BEN,HARPUR,OTTAWA,SENATORS
"Nov 06, 2014",Signed by the Ottawa Senators to a three-year entry-level contract.,BEN,HARPUR,OTTAWA,SENATORS
"Sep 23, 2014",Returned to his junior team (Guelph Storm-OHL).,BEN,HARPUR,OTTAWA,SENATORS
"Sep 17, 2013",Returned to his junior team (Guelph-OHL).,BEN,HARPUR,OTTAWA,SENATORS
