Date,Injury,Firstname,Lastname,City,TeamName
"Feb 26, 2017",Missed 2 games (groin).,MIKE,HOFFMAN,OTTAWA,SENATORS
"Feb 21, 2017","Groin, day-to-day.",MIKE,HOFFMAN,OTTAWA,SENATORS
"Jan 26, 2017",Missed 1 game (illness).,MIKE,HOFFMAN,OTTAWA,SENATORS
"Jan 24, 2017","Illness, day-to-day.",MIKE,HOFFMAN,OTTAWA,SENATORS
"Dec 19, 2016",Missed 2 games (suspended by nhl).,MIKE,HOFFMAN,OTTAWA,SENATORS
"Dec 16, 2016","Fined $57,638 by the NHL.",MIKE,HOFFMAN,OTTAWA,SENATORS
"Dec 16, 2016",Suspended by the NHL for 2 games.,MIKE,HOFFMAN,OTTAWA,SENATORS
"Nov 22, 2016",Missed 2 games (undisclosed).,MIKE,HOFFMAN,OTTAWA,SENATORS
"Nov 17, 2016","Undisclosed, day-to-day.",MIKE,HOFFMAN,OTTAWA,SENATORS
"Jul 27, 2016",Re-signed as a restricted free agent by the Ottawa Senators to a four-year contract.,MIKE,HOFFMAN,OTTAWA,SENATORS
"Jul 05, 2016",Filed for salary arbitration.,MIKE,HOFFMAN,OTTAWA,SENATORS
"Jun 28, 2016",Ottawa Senators tendered a qualifying offer.,MIKE,HOFFMAN,OTTAWA,SENATORS
"Nov 03, 2015",Missed 4 games (lower body injury).,MIKE,HOFFMAN,OTTAWA,SENATORS
"Oct 23, 2015","Lower body injury, day-to-day.",MIKE,HOFFMAN,OTTAWA,SENATORS
"Aug 03, 2015",Re-signed as a restricted free agent by the Ottawa Senators to a one-year contract.,MIKE,HOFFMAN,OTTAWA,SENATORS
"Jul 05, 2015",Filed for salary arbitration.,MIKE,HOFFMAN,OTTAWA,SENATORS
"Jun 19, 2014",Signed by the Ottawa Senators to a one-year contract extension.,MIKE,HOFFMAN,OTTAWA,SENATORS
"Feb 24, 2014",Recalled from the Binghamton Senators (AHL).,MIKE,HOFFMAN,OTTAWA,SENATORS
"Dec 11, 2013",Assigned to Binghamton (AHL).,MIKE,HOFFMAN,OTTAWA,SENATORS
"Dec 02, 2013",Recalled from Binghamton (AHL).,MIKE,HOFFMAN,OTTAWA,SENATORS
"Sep 30, 2013",Assigned to Binghamton (AHL).,MIKE,HOFFMAN,OTTAWA,SENATORS
"Jul 18, 2013",Re-signed as a restricted free agent by the Ottawa Senators to a one-year contract.,MIKE,HOFFMAN,OTTAWA,SENATORS
"Jun 26, 2013",Ottawa Senators tendered a qualifying offer.,MIKE,HOFFMAN,OTTAWA,SENATORS
"May 24, 2013",Missed the last 12 regular season and first 10 playoff games (collarbone).,MIKE,HOFFMAN,OTTAWA,SENATORS
"Apr 12, 2013","Collarbone, sidelined indefinitely.",MIKE,HOFFMAN,OTTAWA,SENATORS
"Apr 05, 2013","Upper body injury, day-to-day.",MIKE,HOFFMAN,OTTAWA,SENATORS
"Mar 26, 2013",Recalled from Binghamton (AHL).,MIKE,HOFFMAN,OTTAWA,SENATORS
"Jan 17, 2013",Assigned to Binghamton (AHL).,MIKE,HOFFMAN,OTTAWA,SENATORS
"Jan 12, 2013",Recalled from Binghamton (AHL).,MIKE,HOFFMAN,OTTAWA,SENATORS
"Apr 16, 2012",Recalled from Binghamton (AHL).,MIKE,HOFFMAN,OTTAWA,SENATORS
"Dec 24, 2011",Assigned to Binghamton (AHL).,MIKE,HOFFMAN,OTTAWA,SENATORS
"Dec 22, 2011",Recalled from Binghamton (AHL).,MIKE,HOFFMAN,OTTAWA,SENATORS
"Oct 01, 2011",Assigned to Binghamton (AHL).,MIKE,HOFFMAN,OTTAWA,SENATORS
"Sep 29, 2010",Assigned to Binghamton (AHL).,MIKE,HOFFMAN,OTTAWA,SENATORS
"Jul 21, 2010",Signed by the Ottawa Senators to a three-year entry-level contract.,MIKE,HOFFMAN,OTTAWA,SENATORS
"Sep 19, 2009",Returned to his junior team (Saint John-QMJHL).,MIKE,HOFFMAN,OTTAWA,SENATORS
"Sep 30, 2008",Released by the Philadelphia Flyers.,MIKE,HOFFMAN,OTTAWA,SENATORS
"Sep 18, 2008",Invited to training camp by the Philadelphia Flyers.,MIKE,HOFFMAN,OTTAWA,SENATORS
