Date,Injury,Firstname,Lastname,City,TeamName
"Feb 17, 2018",Recalled from the Belleville Senators (AHL).,MAX,MCCORMICK,OTTAWA,SENATORS
"Feb 14, 2018",Assigned to the Belleville Senators (AHL).,MAX,MCCORMICK,OTTAWA,SENATORS
"Feb 12, 2018",Recalled from the Belleville Senators (AHL).,MAX,MCCORMICK,OTTAWA,SENATORS
"Feb 09, 2018",Assigned to the Belleville Senators (AHL).,MAX,MCCORMICK,OTTAWA,SENATORS
"Feb 06, 2018",Recalled from the Belleville Senators (AHL).,MAX,MCCORMICK,OTTAWA,SENATORS
"Oct 31, 2017",Assigned to the Belleville Senators (AHL).,MAX,MCCORMICK,OTTAWA,SENATORS
"Oct 30, 2017",Recalled from the Belleville Senators (AHL).,MAX,MCCORMICK,OTTAWA,SENATORS
"Oct 28, 2017",Assigned to the Belleville Senators (AHL).,MAX,MCCORMICK,OTTAWA,SENATORS
"Oct 23, 2017",Recalled from the Belleville Senators (AHL).,MAX,MCCORMICK,OTTAWA,SENATORS
"Oct 02, 2017",Assigned to the Belleville Senators (AHL).,MAX,MCCORMICK,OTTAWA,SENATORS
"Oct 01, 2017",Placed on waivers by the Ottawa Senators.,MAX,MCCORMICK,OTTAWA,SENATORS
"Jun 27, 2017",Signed by the Ottawa Senators to a two-year contract extension.,MAX,MCCORMICK,OTTAWA,SENATORS
"Apr 17, 2017",Recalled from the Binghamton Senators (AHL).,MAX,MCCORMICK,OTTAWA,SENATORS
"Feb 25, 2017",Assigned to the Binghamton Senators (AHL).,MAX,MCCORMICK,OTTAWA,SENATORS
"Feb 20, 2017",Recalled from the Binghamton Senators (AHL).,MAX,MCCORMICK,OTTAWA,SENATORS
"Dec 02, 2016",Assigned to the Binghamton Senators (AHL).,MAX,MCCORMICK,OTTAWA,SENATORS
"Nov 27, 2016",Recalled from the Binghamton Senators (AHL).,MAX,MCCORMICK,OTTAWA,SENATORS
"Nov 25, 2016",Assigned to the Binghamton Senators (AHL).,MAX,MCCORMICK,OTTAWA,SENATORS
"Nov 17, 2016",Recalled from the Binghamton Senators (AHL).,MAX,MCCORMICK,OTTAWA,SENATORS
"Nov 06, 2016",Assigned to the Binghamton Senators (AHL).,MAX,MCCORMICK,OTTAWA,SENATORS
"Nov 03, 2016",Recalled from the Binghamton Senators (AHL).,MAX,MCCORMICK,OTTAWA,SENATORS
"Oct 05, 2016",Assigned to the Binghamton Senators (AHL).,MAX,MCCORMICK,OTTAWA,SENATORS
"Jul 01, 2016",Re-signed as a restricted free agent by the Ottawa Senators to a one-year contract.,MAX,MCCORMICK,OTTAWA,SENATORS
"Jun 28, 2016",Ottawa Senators tendered a qualifying offer.,MAX,MCCORMICK,OTTAWA,SENATORS
"Feb 05, 2016",Assigned to the Binghamton Senators (AHL).,MAX,MCCORMICK,OTTAWA,SENATORS
"Feb 01, 2016",Recalled from the Binghamton Senators (AHL).,MAX,MCCORMICK,OTTAWA,SENATORS
"Jan 27, 2016",Assigned to the Binghamton Senators (AHL).,MAX,MCCORMICK,OTTAWA,SENATORS
"Dec 27, 2015",Recalled from the Binghamton Senators (AHL).,MAX,MCCORMICK,OTTAWA,SENATORS
"Nov 01, 2015",Assigned to the Binghamton Senators (AHL).,MAX,MCCORMICK,OTTAWA,SENATORS
"Oct 23, 2015",Recalled from the Binghamton Senators (AHL).,MAX,MCCORMICK,OTTAWA,SENATORS
"Sep 30, 2015",Assigned to the Binghamton Senators (AHL).,MAX,MCCORMICK,OTTAWA,SENATORS
"Sep 29, 2014",Assigned to the Binghamton Senators (AHL).,MAX,MCCORMICK,OTTAWA,SENATORS
"May 28, 2014",Signed by the Ottawa Senators to a two-year entry-level contract.,MAX,MCCORMICK,OTTAWA,SENATORS
