Date,Injury,Firstname,Lastname,City,TeamName
"Jun 26, 2017",Signed by the Ottawa Senators to a two-year contract extension.,TOM,PYATT,OTTAWA,SENATORS
"Apr 28, 2017",Missed the last 3 playoff games (upper body injury).,TOM,PYATT,OTTAWA,SENATORS
"Apr 21, 2017","Upper body injury, day-to-day.",TOM,PYATT,OTTAWA,SENATORS
"May 24, 2016",Signed as a free agent by the Ottawa Senators to a one-year two-way contract.,TOM,PYATT,OTTAWA,SENATORS
"Aug 04, 2014",Signed with the Geneve-Servette HC of the Switzerland National League A.,TOM,PYATT,OTTAWA,SENATORS
"Dec 21, 2013",Missed 33 games (broken collar bone).,TOM,PYATT,OTTAWA,SENATORS
"Oct 09, 2013","Broken collar bone, injured reserve.",TOM,PYATT,OTTAWA,SENATORS
"Apr 21, 2013",Missed 2 games (upper body injury).,TOM,PYATT,OTTAWA,SENATORS
"Apr 16, 2013","Upper body injury, day-to-day.",TOM,PYATT,OTTAWA,SENATORS
"Mar 16, 2013",Missed 1 game (upper body injury).,TOM,PYATT,OTTAWA,SENATORS
"Mar 14, 2013","Upper body injury, day-to-day.",TOM,PYATT,OTTAWA,SENATORS
"Jan 31, 2012",Missed 3 games (lower body injury).,TOM,PYATT,OTTAWA,SENATORS
"Jan 20, 2012","Lower body injury, day-to-day.",TOM,PYATT,OTTAWA,SENATORS
"Jan 09, 2012",Signed by the Tampa Bay Lightning to a two-year contract extension.,TOM,PYATT,OTTAWA,SENATORS
"Jul 06, 2011",Signed as an unrestricted free agent by the Tampa Bay Lightning.,TOM,PYATT,OTTAWA,SENATORS
"Jun 27, 2011",Montreal Canadiens did not tender a qualifying offer.,TOM,PYATT,OTTAWA,SENATORS
"Jun 28, 2010",Re-signed by the Montreal Canadiens to a one-year contract.,TOM,PYATT,OTTAWA,SENATORS
"Feb 28, 2010",Recalled from Hamilton (AHL).,TOM,PYATT,OTTAWA,SENATORS
"Feb 14, 2010",Assigned to Hamilton (AHL).,TOM,PYATT,OTTAWA,SENATORS
"Feb 08, 2010",Recalled from Hamilton (AHL).,TOM,PYATT,OTTAWA,SENATORS
"Dec 18, 2009",Assigned to Hamilton (AHL).,TOM,PYATT,OTTAWA,SENATORS
"Nov 04, 2009",Recalled from Hamilton (AHL).,TOM,PYATT,OTTAWA,SENATORS
"Oct 01, 2009",Assigned to Hamilton (AHL).,TOM,PYATT,OTTAWA,SENATORS
"Jun 30, 2009",Acquired from the New York Rangers.,TOM,PYATT,OTTAWA,SENATORS
"Sep 26, 2008",Assigned to Hartford (AHL).,TOM,PYATT,OTTAWA,SENATORS
"Feb 26, 2008",Re-assigned to Charlotte (ECHL).,TOM,PYATT,OTTAWA,SENATORS
"Sep 20, 2007",Assigned to Hartford (AHL).,TOM,PYATT,OTTAWA,SENATORS
"Apr 04, 2007",Signed by the Hartford Wolf Pack (AHL) to an amateur tryout contract.,TOM,PYATT,OTTAWA,SENATORS
"Mar 12, 2007",Signed by the New York Rangers.,TOM,PYATT,OTTAWA,SENATORS
"Sep 18, 2006",Assigned to Saginaw (OHL).,TOM,PYATT,OTTAWA,SENATORS
"Sep 16, 2005",Returned to his junior team (Saginaw-OHL).,TOM,PYATT,OTTAWA,SENATORS
