Date,Injury,Firstname,Lastname,City,TeamName
"Feb 22, 2018",Missed 10 games (hand injury).,BOBBY,RYAN,OTTAWA,SENATORS
"Feb 05, 2018","Hand injury, injured reserve.",BOBBY,RYAN,OTTAWA,SENATORS
"Feb 02, 2018","Hand injury, day-to-day.",BOBBY,RYAN,OTTAWA,SENATORS
"Jan 18, 2018",Missed 1 game (hand injury).,BOBBY,RYAN,OTTAWA,SENATORS
"Jan 10, 2018","Hand injury, day-to-day.",BOBBY,RYAN,OTTAWA,SENATORS
"Dec 27, 2017",Missed 1 game (finger injury).,BOBBY,RYAN,OTTAWA,SENATORS
"Dec 22, 2017","Finger injury, day-to-day.",BOBBY,RYAN,OTTAWA,SENATORS
"Nov 13, 2017",Missed 8 games (broken finger).,BOBBY,RYAN,OTTAWA,SENATORS
"Oct 24, 2017","Broken finger, injured reserve.",BOBBY,RYAN,OTTAWA,SENATORS
"Apr 09, 2017",Missed 3 games (upper body injury).,BOBBY,RYAN,OTTAWA,SENATORS
"Apr 04, 2017","Upper body injury, day-to-day.",BOBBY,RYAN,OTTAWA,SENATORS
"Mar 14, 2017",Missed 11 games (right index finger).,BOBBY,RYAN,OTTAWA,SENATORS
"Feb 21, 2017","Right index finger, injured reserve.",BOBBY,RYAN,OTTAWA,SENATORS
"Feb 19, 2017","Right index finger, sidelined indefinitely.",BOBBY,RYAN,OTTAWA,SENATORS
"Jan 08, 2017",Missed 1 game (undisclosed).,BOBBY,RYAN,OTTAWA,SENATORS
"Jan 07, 2017","Undisclosed, day-to-day.",BOBBY,RYAN,OTTAWA,SENATORS
"Dec 07, 2016",Missed 3 games (hand injury).,BOBBY,RYAN,OTTAWA,SENATORS
"Dec 01, 2016","Hand injury, injured reserve.",BOBBY,RYAN,OTTAWA,SENATORS
"Nov 24, 2016",Missed 2 games (broken finger).,BOBBY,RYAN,OTTAWA,SENATORS
"Nov 19, 2016","Broken finger, sidelined indefinitely.",BOBBY,RYAN,OTTAWA,SENATORS
"Dec 26, 2015",Missed 1 game (hand injury).,BOBBY,RYAN,OTTAWA,SENATORS
"Dec 22, 2015","Hand injury, day-to-day.",BOBBY,RYAN,OTTAWA,SENATORS
"Feb 12, 2015",Missed 1 game (lower body injury).,BOBBY,RYAN,OTTAWA,SENATORS
"Feb 10, 2015","Lower body injury, day-to-day.",BOBBY,RYAN,OTTAWA,SENATORS
"Dec 04, 2014",Missed 2 games (broken finger).,BOBBY,RYAN,OTTAWA,SENATORS
"Nov 29, 2014","Broken finger, sidelined indefinitely.",BOBBY,RYAN,OTTAWA,SENATORS
"Nov 09, 2014",Missed 1 game (wrist injury).,BOBBY,RYAN,OTTAWA,SENATORS
"Nov 08, 2014","Wrist injury, day-to-day.",BOBBY,RYAN,OTTAWA,SENATORS
"Oct 02, 2014",Signed by the Ottawa Senators to a seven-year contract extension.,BOBBY,RYAN,OTTAWA,SENATORS
"Apr 13, 2014",Missed the last 12 regular season games (sports hernia).,BOBBY,RYAN,OTTAWA,SENATORS
"Mar 27, 2014","Sports hernia, remainder of the regular season.",BOBBY,RYAN,OTTAWA,SENATORS
"Mar 24, 2014","Lower body injury, day-to-day.",BOBBY,RYAN,OTTAWA,SENATORS
"Jul 05, 2013",Acquired from the Anaheim Ducks.,BOBBY,RYAN,OTTAWA,SENATORS
"Apr 27, 2013",Missed 2 games (illness).,BOBBY,RYAN,OTTAWA,SENATORS
"Apr 22, 2013","Illness, day-to-day.",BOBBY,RYAN,OTTAWA,SENATORS
"Nov 21, 2012",Signed with Mora IK (Sweden).,BOBBY,RYAN,OTTAWA,SENATORS
"Apr 22, 2011",Missed 2 playoff games (suspension).,BOBBY,RYAN,OTTAWA,SENATORS
"Apr 16, 2011",Suspended by the NHL for two games.,BOBBY,RYAN,OTTAWA,SENATORS
"Sep 14, 2010",Re-signed as a restricted free agent by the Anaheim Ducks to a five-year contract.,BOBBY,RYAN,OTTAWA,SENATORS
"Mar 23, 2010",Missed 1 game (flu).,BOBBY,RYAN,OTTAWA,SENATORS
"Mar 21, 2010","Flu, day-to-day.",BOBBY,RYAN,OTTAWA,SENATORS
"Nov 15, 2008",Recalled from Iowa (AHL).,BOBBY,RYAN,OTTAWA,SENATORS
"Oct 03, 2008",Assigned to Iowa (AHL).,BOBBY,RYAN,OTTAWA,SENATORS
"Apr 18, 2008",Assigned to Portland (AHL).,BOBBY,RYAN,OTTAWA,SENATORS
"Mar 07, 2008",Recalled from Portland (AHL).,BOBBY,RYAN,OTTAWA,SENATORS
"Jan 09, 2008",Assigned to Portland (AHL).,BOBBY,RYAN,OTTAWA,SENATORS
"Dec 15, 2007",Recalled from Portland (AHL).,BOBBY,RYAN,OTTAWA,SENATORS
"Oct 06, 2007",Assigned to Portland (AHL).,BOBBY,RYAN,OTTAWA,SENATORS
"Apr 18, 2007",Recalled from Portland (AHL).,BOBBY,RYAN,OTTAWA,SENATORS
"Mar 31, 2007",Signed by the Portland Pirates (AHL) to an amateur tryout contract.,BOBBY,RYAN,OTTAWA,SENATORS
"Sep 26, 2006",Returned to his junior team (Owen Sound-OHL).,BOBBY,RYAN,OTTAWA,SENATORS
"Apr 17, 2006",Re-assigned to Portland (AHL).,BOBBY,RYAN,OTTAWA,SENATORS
"Mar 08, 2006",Signed by the Mighty Ducks of Anaheim to a three-year contract.,BOBBY,RYAN,OTTAWA,SENATORS
"Sep 24, 2005",Returned to his junior team (Owen Sound-OHL).,BOBBY,RYAN,OTTAWA,SENATORS
