Date,Injury,Firstname,Lastname,City,TeamName
"Jan 05, 2018",Missed 5 games (shoulder injury).,ZACK,SMITH,OTTAWA,SENATORS
"Dec 23, 2017","Shoulder injury, injured reserve.",ZACK,SMITH,OTTAWA,SENATORS
"Nov 25, 2017",Missed 6 games (thumb injury).,ZACK,SMITH,OTTAWA,SENATORS
"Nov 13, 2017","Thumb injury, injured reserve.",ZACK,SMITH,OTTAWA,SENATORS
"Nov 12, 2017","Thumb injury, sidelined indefinitely.",ZACK,SMITH,OTTAWA,SENATORS
"Nov 11, 2017","Thumb injury, day-to-day.",ZACK,SMITH,OTTAWA,SENATORS
"Oct 27, 2017",Missed 3 games (upper body injury).,ZACK,SMITH,OTTAWA,SENATORS
"Oct 21, 2017","Upper body injury, injured reserve.",ZACK,SMITH,OTTAWA,SENATORS
"Apr 12, 2017",Missed the last 6 regular season games (upper body injury).,ZACK,SMITH,OTTAWA,SENATORS
"Apr 03, 2017","Upper body injury, remainder of the regular season.",ZACK,SMITH,OTTAWA,SENATORS
"Apr 01, 2017","Upper body injury, day-to-day.",ZACK,SMITH,OTTAWA,SENATORS
"Jan 23, 2017",Signed by the Ottawa Senators to a four-year contract extension.,ZACK,SMITH,OTTAWA,SENATORS
"Jan 07, 2017",Missed 2 games (upper body injury).,ZACK,SMITH,OTTAWA,SENATORS
"Dec 28, 2016","Upper body injury, injured reserve.",ZACK,SMITH,OTTAWA,SENATORS
"Dec 17, 2015","Fined $2,000 by the NHL.",ZACK,SMITH,OTTAWA,SENATORS
"Mar 22, 2015",Recalled from the Binghamton Senators (AHL).,ZACK,SMITH,OTTAWA,SENATORS
"Mar 19, 2015",Assigned to the Binghamton Senators (AHL) for conditioning purposes.,ZACK,SMITH,OTTAWA,SENATORS
"Mar 17, 2015",Missed 39 games (wrist injury).,ZACK,SMITH,OTTAWA,SENATORS
"Dec 15, 2014","Wrist injury, injured reserve.",ZACK,SMITH,OTTAWA,SENATORS
"Nov 26, 2012",Signed with the Frederikshavn White Hawks (Denmark).,ZACK,SMITH,OTTAWA,SENATORS
"Sep 05, 2012",Signed by the Ottawa Senators to a four-year contract extension.,ZACK,SMITH,OTTAWA,SENATORS
"May 19, 2011",Re-signed by the Ottawa Senators to a two-year contract.,ZACK,SMITH,OTTAWA,SENATORS
"Apr 10, 2011",Assigned to Binghamton (AHL).,ZACK,SMITH,OTTAWA,SENATORS
"Dec 28, 2010",Recalled from Binghamton (AHL).,ZACK,SMITH,OTTAWA,SENATORS
"Nov 08, 2010",Assigned to Binghamton (AHL).,ZACK,SMITH,OTTAWA,SENATORS
"Nov 06, 2010",Recalled from Binghamton (AHL).,ZACK,SMITH,OTTAWA,SENATORS
"Nov 05, 2010",Assigned to Binghamton (AHL).,ZACK,SMITH,OTTAWA,SENATORS
"Oct 23, 2010",Recalled from Binghamton (AHL).,ZACK,SMITH,OTTAWA,SENATORS
"Oct 20, 2010",Assigned to Binghamton (AHL).,ZACK,SMITH,OTTAWA,SENATORS
"Apr 10, 2010",Recalled from Binghamton (AHL).,ZACK,SMITH,OTTAWA,SENATORS
"Mar 31, 2010",Assigned to Binghamton (AHL).,ZACK,SMITH,OTTAWA,SENATORS
"Mar 21, 2010",Recalled from Binghamton (AHL).,ZACK,SMITH,OTTAWA,SENATORS
"Mar 07, 2010",Assigned to Binghamton (AHL).,ZACK,SMITH,OTTAWA,SENATORS
"Mar 06, 2010",Recalled from Binghamton (AHL).,ZACK,SMITH,OTTAWA,SENATORS
"Jan 22, 2010",Assigned to Binghamton (AHL).,ZACK,SMITH,OTTAWA,SENATORS
"Jan 08, 2010",Recalled from Binghamton (AHL).,ZACK,SMITH,OTTAWA,SENATORS
"Sep 28, 2009",Assigned to Binghamton (AHL).,ZACK,SMITH,OTTAWA,SENATORS
"Nov 30, 2008",Assigned to Binghamton (AHL).,ZACK,SMITH,OTTAWA,SENATORS
"Nov 28, 2008",Recalled from Binghamton (AHL).,ZACK,SMITH,OTTAWA,SENATORS
"Sep 28, 2008",Assigned to Binghamton (AHL).,ZACK,SMITH,OTTAWA,SENATORS
"Aug 14, 2008",Signed by the Ottawa Senators to an entry-level contract.,ZACK,SMITH,OTTAWA,SENATORS
