Date,Injury,Firstname,Lastname,City,TeamName
"Feb 27, 2018",Missed 1 game (illness).,JUSTIN,BRAUN,SAN,JOSESHARKS
"Feb 25, 2018","Illness, day-to-day.",JUSTIN,BRAUN,SAN,JOSESHARKS
"Dec 01, 2015",Missed 2 games (upper body injury).,JUSTIN,BRAUN,SAN,JOSESHARKS
"Nov 28, 2015","Upper body injury, injured reserve.",JUSTIN,BRAUN,SAN,JOSESHARKS
"Nov 25, 2015","Upper body injury, day-to-day.",JUSTIN,BRAUN,SAN,JOSESHARKS
"Apr 11, 2015",Missed 1 game (illness).,JUSTIN,BRAUN,SAN,JOSESHARKS
"Feb 17, 2015",Missed 11 games (upper body injury).,JUSTIN,BRAUN,SAN,JOSESHARKS
"Jan 20, 2015","Upper body injury, injured reserve.",JUSTIN,BRAUN,SAN,JOSESHARKS
"Sep 17, 2014",Signed by the San Jose Sharks to a five-year contract extension.,JUSTIN,BRAUN,SAN,JOSESHARKS
"Nov 23, 2012",Signed with Tappara Tampere (Finland).,JUSTIN,BRAUN,SAN,JOSESHARKS
"Jun 26, 2012",Re-signed by the San Jose Sharks to a three-year contract.,JUSTIN,BRAUN,SAN,JOSESHARKS
"Dec 06, 2011",Recalled from Worcester (AHL).,JUSTIN,BRAUN,SAN,JOSESHARKS
"Nov 29, 2011",Assigned to Worcester (AHL).,JUSTIN,BRAUN,SAN,JOSESHARKS
"Oct 22, 2011",Recalled from Worcester (AHL).,JUSTIN,BRAUN,SAN,JOSESHARKS
"Oct 03, 2011",Assigned to Worcester (AHL).,JUSTIN,BRAUN,SAN,JOSESHARKS
"Feb 19, 2011",Recalled from Worcester (AHL).,JUSTIN,BRAUN,SAN,JOSESHARKS
"Jan 18, 2011",Assigned to Worcester (AHL).,JUSTIN,BRAUN,SAN,JOSESHARKS
"Jan 11, 2011",Recalled from Worcester (AHL).,JUSTIN,BRAUN,SAN,JOSESHARKS
"Dec 29, 2010",Assigned to Worcester (AHL).,JUSTIN,BRAUN,SAN,JOSESHARKS
"Nov 24, 2010",Recalled from Worcester (AHL).,JUSTIN,BRAUN,SAN,JOSESHARKS
"Sep 26, 2010",Assigned to Worcester (AHL).,JUSTIN,BRAUN,SAN,JOSESHARKS
"Mar 25, 2010",Signed by the San Jose Sharks to a two-year entry-level contract.,JUSTIN,BRAUN,SAN,JOSESHARKS
