Date,Injury,Firstname,Lastname,City,TeamName
"Jan 14, 2018",Missed 3 games (flu).,DYLAN,DEMELO,SAN,JOSESHARKS
"Jan 07, 2018","Flu, injured reserve.",DYLAN,DEMELO,SAN,JOSESHARKS
"Mar 05, 2017",Missed 22 games (wrist injury).,DYLAN,DEMELO,SAN,JOSESHARKS
"Jan 14, 2017","Wrist injury, injured reserve.",DYLAN,DEMELO,SAN,JOSESHARKS
"Jan 11, 2017","Wrist injury, day-to-day.",DYLAN,DEMELO,SAN,JOSESHARKS
"Jul 11, 2016",Re-signed as a restricted free agent by the San Jose Sharks to a two-year contract.,DYLAN,DEMELO,SAN,JOSESHARKS
"Jun 27, 2016",San Jose Sharks tendered a qualifying offer.,DYLAN,DEMELO,SAN,JOSESHARKS
"Mar 19, 2016",Recalled from the San Jose Barracuda (AHL).,DYLAN,DEMELO,SAN,JOSESHARKS
"Mar 16, 2016",Assigned to the San Jose Barracuda (AHL).,DYLAN,DEMELO,SAN,JOSESHARKS
"Mar 15, 2016",Recalled from the San Jose Barracuda (AHL).,DYLAN,DEMELO,SAN,JOSESHARKS
"Mar 14, 2016",Assigned to the San Jose Barracuda (AHL).,DYLAN,DEMELO,SAN,JOSESHARKS
"Mar 05, 2016",Recalled from the San Jose Barracuda (AHL).,DYLAN,DEMELO,SAN,JOSESHARKS
"Mar 04, 2016",Assigned to the San Jose Barracuda (AHL).,DYLAN,DEMELO,SAN,JOSESHARKS
"Mar 03, 2016",Recalled from the San Jose Barracuda (AHL).,DYLAN,DEMELO,SAN,JOSESHARKS
"Feb 29, 2016",Assigned to the San Jose Barracuda (AHL).,DYLAN,DEMELO,SAN,JOSESHARKS
"Dec 04, 2015",Recalled from the San Jose Barracuda (AHL).,DYLAN,DEMELO,SAN,JOSESHARKS
"Nov 29, 2015",Assigned to the San Jose Barracuda (AHL).,DYLAN,DEMELO,SAN,JOSESHARKS
"Nov 28, 2015",Recalled from the San Jose Barracuda (AHL).,DYLAN,DEMELO,SAN,JOSESHARKS
"Nov 03, 2015",Assigned to the San Jose Barracuda (AHL).,DYLAN,DEMELO,SAN,JOSESHARKS
"Oct 30, 2015",Recalled from the San Jose Barracuda (AHL).,DYLAN,DEMELO,SAN,JOSESHARKS
"Oct 21, 2015",Assigned to the San Jose Barracuda (AHL).,DYLAN,DEMELO,SAN,JOSESHARKS
"Feb 15, 2015",Assigned to the Worcester Sharks (AHL).,DYLAN,DEMELO,SAN,JOSESHARKS
"Feb 08, 2015",Recalled from the Worcester Sharks (AHL).,DYLAN,DEMELO,SAN,JOSESHARKS
"Jan 22, 2015",Assigned to the Worcester Sharks (AHL).,DYLAN,DEMELO,SAN,JOSESHARKS
"Jan 20, 2015",Recalled from the Worcester Sharks (AHL).,DYLAN,DEMELO,SAN,JOSESHARKS
"Sep 29, 2014",Assigned to the Worcester Sharks (AHL).,DYLAN,DEMELO,SAN,JOSESHARKS
"Apr 22, 2014",Recalled from the Worcester Sharks (AHL).,DYLAN,DEMELO,SAN,JOSESHARKS
"Sep 17, 2013",Assigned to Worcester (AHL).,DYLAN,DEMELO,SAN,JOSESHARKS
"May 01, 2013",Recalled from Worcester (AHL).,DYLAN,DEMELO,SAN,JOSESHARKS
"Apr 03, 2013",Re-assigned to Worcester (AHL).,DYLAN,DEMELO,SAN,JOSESHARKS
"Apr 20, 2012",Signed by the San Jose Sharks to an entry-level contract.,DYLAN,DEMELO,SAN,JOSESHARKS
"Sep 17, 2011",Returned to his junior team (Mississauga-OHL).,DYLAN,DEMELO,SAN,JOSESHARKS
