Date,Injury,Firstname,Lastname,City,TeamName
"Mar 01, 2018","Lower body injury, day-to-day.",ERIC,FEHR,SAN,JOSESHARKS
"Feb 21, 2018",Recalled from the San Jose Barracuda (AHL).,ERIC,FEHR,SAN,JOSESHARKS
"Feb 20, 2018",Assigned to the San Jose Barracuda (AHL).,ERIC,FEHR,SAN,JOSESHARKS
"Feb 20, 2018",Acquired from the Toronto Maple Leafs.,ERIC,FEHR,SAN,JOSESHARKS
"Nov 07, 2017",Loaned to the San Diego Gulls (AHL).,ERIC,FEHR,SAN,JOSESHARKS
"Oct 28, 2017",Assigned to the Toronto Marlies (AHL).,ERIC,FEHR,SAN,JOSESHARKS
"Oct 23, 2017",Placed on waivers by the Toronto Maple Leafs.,ERIC,FEHR,SAN,JOSESHARKS
"Apr 23, 2017",Missed the last 10 regular season and all 6 playoff games (upper body injury).,ERIC,FEHR,SAN,JOSESHARKS
"Mar 23, 2017","Upper body injury, day-to-day.",ERIC,FEHR,SAN,JOSESHARKS
"Mar 01, 2017",Acquired from the Pittsburgh Penguins.,ERIC,FEHR,SAN,JOSESHARKS
"Feb 28, 2017",Placed on waivers by the Pittsburgh Penguins.,ERIC,FEHR,SAN,JOSESHARKS
"May 06, 2016",Missed the last playoff game (undisclosed).,ERIC,FEHR,SAN,JOSESHARKS
"May 04, 2016","Undisclosed, day-to-day.",ERIC,FEHR,SAN,JOSESHARKS
"Mar 11, 2016",Missed 17 games (lower body injury).,ERIC,FEHR,SAN,JOSESHARKS
"Feb 04, 2016","Lower body injury, injured reserve.",ERIC,FEHR,SAN,JOSESHARKS
"Oct 31, 2015",Missed 10 games (elbow injury).,ERIC,FEHR,SAN,JOSESHARKS
"Oct 06, 2015","Elbow injury, injured reserve.",ERIC,FEHR,SAN,JOSESHARKS
"Jul 28, 2015",Signed as an unrestricted free agent by the Pittsburgh Penguins to a three-year contract.,ERIC,FEHR,SAN,JOSESHARKS
"May 13, 2015",Missed the last 11 playoff games (upper body injury).,ERIC,FEHR,SAN,JOSESHARKS
"Apr 20, 2015","Upper body injury, day-to-day.",ERIC,FEHR,SAN,JOSESHARKS
"Apr 15, 2015",Missed the last 3 regular season games (upper body injury).,ERIC,FEHR,SAN,JOSESHARKS
"Apr 05, 2015","Upper body injury, day-to-day.",ERIC,FEHR,SAN,JOSESHARKS
"Jan 17, 2015",Missed 1 game (lower body injury).,ERIC,FEHR,SAN,JOSESHARKS
"Jan 16, 2015","Lower body injury, day-to-day.",ERIC,FEHR,SAN,JOSESHARKS
"Apr 24, 2013",Signed by the Washington Capitals to a two-year contract extension.,ERIC,FEHR,SAN,JOSESHARKS
"Apr 04, 2013",Missed 4 games (upper body injury).,ERIC,FEHR,SAN,JOSESHARKS
"Mar 30, 2013","Upper body injury, injured reserve.",ERIC,FEHR,SAN,JOSESHARKS
"Mar 26, 2013","Upper body injury, day-to-day.",ERIC,FEHR,SAN,JOSESHARKS
"Jan 12, 2013",Signed as an unrestricted free agent by the Washington Capitals to a one-year contract.,ERIC,FEHR,SAN,JOSESHARKS
"Oct 23, 2012",Signed with HPK Hameenlinna (Finland).,ERIC,FEHR,SAN,JOSESHARKS
"Apr 07, 2012",Missed the last 11 regular season games (upper body injury).,ERIC,FEHR,SAN,JOSESHARKS
"Mar 18, 2012","Upper body injury, day-to-day.",ERIC,FEHR,SAN,JOSESHARKS
"Dec 13, 2011",Missed 5 games (right shoulder injury).,ERIC,FEHR,SAN,JOSESHARKS
"Dec 01, 2011","Right shoulder injury, day-to-day.",ERIC,FEHR,SAN,JOSESHARKS
"Nov 19, 2011",Missed 19 games (right shoulder surgery).,ERIC,FEHR,SAN,JOSESHARKS
"Oct 05, 2011","Right shoulder surgery, injured reserve.",ERIC,FEHR,SAN,JOSESHARKS
"Jul 08, 2011",Acquired from the Washington Capitals.,ERIC,FEHR,SAN,JOSESHARKS
"Mar 26, 2011",Missed 1 game (shoulder injury).,ERIC,FEHR,SAN,JOSESHARKS
"Mar 25, 2011","Shoulder injury, day-to-day.",ERIC,FEHR,SAN,JOSESHARKS
"Mar 22, 2011",Missed 2 games (upper body injury).,ERIC,FEHR,SAN,JOSESHARKS
"Mar 16, 2011","Upper body injury, day-to-day.",ERIC,FEHR,SAN,JOSESHARKS
"Mar 09, 2011",Missed 22 games (shoulder injury).,ERIC,FEHR,SAN,JOSESHARKS
"Jan 26, 2011","Shoulder injury, injured reserve.",ERIC,FEHR,SAN,JOSESHARKS
"Jan 15, 2011","Shoulder injury, sidelined indefinitely.",ERIC,FEHR,SAN,JOSESHARKS
"Dec 28, 2010",Missed 1 game (personal reasons).,ERIC,FEHR,SAN,JOSESHARKS
"Dec 26, 2010","Personal reasons, day-to-day.",ERIC,FEHR,SAN,JOSESHARKS
"Dec 23, 2010",Missed 1 game (personal reasons).,ERIC,FEHR,SAN,JOSESHARKS
"Dec 21, 2010","Personal reasons, day-to-day.",ERIC,FEHR,SAN,JOSESHARKS
"Jul 08, 2010",Re-signed as a restricted free agent by the Washington Capitals to a two-year contract.,ERIC,FEHR,SAN,JOSESHARKS
"Jul 05, 2010",Filed for salary arbitration.,ERIC,FEHR,SAN,JOSESHARKS
"Nov 07, 2009",Missed 6 games (rib injury).,ERIC,FEHR,SAN,JOSESHARKS
"Oct 27, 2009","Rib injury, day-to-day.",ERIC,FEHR,SAN,JOSESHARKS
"Oct 08, 2009",Missed 3 games (shoulder surgery).,ERIC,FEHR,SAN,JOSESHARKS
"Sep 14, 2009","Shoulder surgery, sidelined indefinitely.",ERIC,FEHR,SAN,JOSESHARKS
"Jul 15, 2009",Re-signed as a restricted free agent by the Washington Capitals to a one-year contract.,ERIC,FEHR,SAN,JOSESHARKS
"Jun 29, 2009",Washington Capitals tendered a qualifying offer.,ERIC,FEHR,SAN,JOSESHARKS
"May 13, 2009",Missed 5 playoff games (undisclosed).,ERIC,FEHR,SAN,JOSESHARKS
"May 06, 2009","Undisclosed, day-to-day.",ERIC,FEHR,SAN,JOSESHARKS
"Dec 18, 2008",Missed 5 games (left shoulder injury).,ERIC,FEHR,SAN,JOSESHARKS
"Dec 07, 2008","Left shoulder injury, sidelined indefinitely.",ERIC,FEHR,SAN,JOSESHARKS
"Jul 10, 2008",Re-signed as a restricted free agent by the Washington Capitals to a one-year contract.,ERIC,FEHR,SAN,JOSESHARKS
"Apr 23, 2008",Assigned to Hershey (AHL).,ERIC,FEHR,SAN,JOSESHARKS
"Feb 22, 2008",Recalled from Hershey (AHL).,ERIC,FEHR,SAN,JOSESHARKS
"Feb 20, 2008",Assigned to Hershey (AHL).,ERIC,FEHR,SAN,JOSESHARKS
"Feb 04, 2008",Recalled from Hershey (AHL).,ERIC,FEHR,SAN,JOSESHARKS
"Jan 09, 2008",Missed 42 games (back injury) and assigned to Hershey (AHL).,ERIC,FEHR,SAN,JOSESHARKS
"Oct 03, 2007","Back injury, sidelined indefinitely.",ERIC,FEHR,SAN,JOSESHARKS
"Apr 07, 2007",Missed 15 games (back injury) and assigned to Hershey (AHL).,ERIC,FEHR,SAN,JOSESHARKS
"Mar 15, 2007","Back injury, day-to-day.",ERIC,FEHR,SAN,JOSESHARKS
"Mar 14, 2007",Recalled from Hershey (AHL).,ERIC,FEHR,SAN,JOSESHARKS
"Feb 27, 2007",Assigned to Hershey (AHL).,ERIC,FEHR,SAN,JOSESHARKS
"Feb 27, 2007",Missed 3 games (back injury).,ERIC,FEHR,SAN,JOSESHARKS
"Feb 24, 2007","Back injury, day-to-day.",ERIC,FEHR,SAN,JOSESHARKS
"Jan 27, 2007",Recalled from Hershey (AHL).,ERIC,FEHR,SAN,JOSESHARKS
"Nov 30, 2006",Assigned to Hershey (AHL).,ERIC,FEHR,SAN,JOSESHARKS
"Nov 23, 2006",Recalled from Hershey (AHL).,ERIC,FEHR,SAN,JOSESHARKS
"Sep 24, 2006",Assigned to Hershey (AHL).,ERIC,FEHR,SAN,JOSESHARKS
"Apr 19, 2006",Assigned to Hershey (AHL).,ERIC,FEHR,SAN,JOSESHARKS
"Apr 05, 2006",Recalled from Hershey (AHL).,ERIC,FEHR,SAN,JOSESHARKS
"Feb 07, 2006",Assigned to Hershey (AHL).,ERIC,FEHR,SAN,JOSESHARKS
"Feb 03, 2006",Recalled from Hershey (AHL).,ERIC,FEHR,SAN,JOSESHARKS
"Dec 19, 2005",Assigned to Hershey (AHL).,ERIC,FEHR,SAN,JOSESHARKS
"Dec 18, 2005",Recalled from Hershey (AHL).,ERIC,FEHR,SAN,JOSESHARKS
"Sep 27, 2005",Assigned to Hershey (AHL).,ERIC,FEHR,SAN,JOSESHARKS
"Jul 28, 2005","Signed by the Washington Capitals to a three-year, entry-level contract.",ERIC,FEHR,SAN,JOSESHARKS
