Date,Injury,Firstname,Lastname,City,TeamName
"Jan 05, 2018",Missed 11 games (lower body injury).,BARCLAY,GOODROW,SAN,JOSESHARKS
"Dec 14, 2017","Lower body injury, injured reserve.",BARCLAY,GOODROW,SAN,JOSESHARKS
"Dec 09, 2017","Lower body injury, day-to-day.",BARCLAY,GOODROW,SAN,JOSESHARKS
"Dec 02, 2017",Missed 7 games (upper body injury).,BARCLAY,GOODROW,SAN,JOSESHARKS
"Nov 18, 2017","Upper body injury, injured reserve.",BARCLAY,GOODROW,SAN,JOSESHARKS
"Aug 07, 2017",Re-signed as a restricted free agent by the San Jose Sharks to a two-year contract.,BARCLAY,GOODROW,SAN,JOSESHARKS
"Jun 26, 2017",San Jose Sharks tendered a qualifying offer.,BARCLAY,GOODROW,SAN,JOSESHARKS
"Apr 09, 2017",Assigned to the San Jose Barracuda (AHL).,BARCLAY,GOODROW,SAN,JOSESHARKS
"Apr 08, 2017",Recalled from the San Jose Barracuda (AHL).,BARCLAY,GOODROW,SAN,JOSESHARKS
"Feb 27, 2017",Assigned to the San Jose Barracuda (AHL).,BARCLAY,GOODROW,SAN,JOSESHARKS
"Feb 24, 2017",Recalled from the San Jose Barracuda (AHL).,BARCLAY,GOODROW,SAN,JOSESHARKS
"Jan 26, 2017",Assigned to the San Jose Barracuda (AHL).,BARCLAY,GOODROW,SAN,JOSESHARKS
"Jan 21, 2017",Recalled from the San Jose Barracuda (AHL).,BARCLAY,GOODROW,SAN,JOSESHARKS
"Jan 20, 2017",Assigned to the San Jose Barracuda (AHL).,BARCLAY,GOODROW,SAN,JOSESHARKS
"Jan 17, 2017",Recalled from the San Jose Barracuda (AHL).,BARCLAY,GOODROW,SAN,JOSESHARKS
"Nov 27, 2016",Assigned to the San Jose Barracuda (AHL).,BARCLAY,GOODROW,SAN,JOSESHARKS
"Nov 25, 2016",Recalled from the San Jose Barracuda (AHL).,BARCLAY,GOODROW,SAN,JOSESHARKS
"Oct 11, 2016",Assigned to the San Jose Barracuda (AHL).,BARCLAY,GOODROW,SAN,JOSESHARKS
"May 01, 2016",Recalled from the San Jose Barracuda (AHL).,BARCLAY,GOODROW,SAN,JOSESHARKS
"Feb 22, 2016",Assigned to the San Jose Barracuda (AHL).,BARCLAY,GOODROW,SAN,JOSESHARKS
"Feb 21, 2016",Recalled from the San Jose Barracuda (AHL).,BARCLAY,GOODROW,SAN,JOSESHARKS
"Dec 20, 2015",Assigned to the San Jose Barracuda (AHL).,BARCLAY,GOODROW,SAN,JOSESHARKS
"Dec 15, 2015",Recalled from the San Jose Barracuda (AHL).,BARCLAY,GOODROW,SAN,JOSESHARKS
"Nov 04, 2015",Assigned to the San Jose Barracuda (AHL).,BARCLAY,GOODROW,SAN,JOSESHARKS
"Apr 08, 2015",Assigned to the Worcester Sharks (AHL).,BARCLAY,GOODROW,SAN,JOSESHARKS
"Mar 02, 2015",Recalled from the Worcester Sharks (AHL).,BARCLAY,GOODROW,SAN,JOSESHARKS
"Mar 02, 2015",Assigned to the Worcester Sharks (AHL).,BARCLAY,GOODROW,SAN,JOSESHARKS
"Jan 27, 2015",Recalled from the Worcester Sharks (AHL).,BARCLAY,GOODROW,SAN,JOSESHARKS
"Jan 22, 2015",Assigned to the Worcester Sharks (AHL).,BARCLAY,GOODROW,SAN,JOSESHARKS
"Oct 28, 2014",Missed 10 games (undisclosed).,BARCLAY,GOODROW,SAN,JOSESHARKS
"Oct 07, 2014","Undisclosed, injured reserve.",BARCLAY,GOODROW,SAN,JOSESHARKS
"Mar 06, 2014",Signed as an undrafted free agent by the San Jose Sharks to a three-year entry-level contract.,BARCLAY,GOODROW,SAN,JOSESHARKS
"Sep 16, 2013",Returned to his junior team (North Bay-OHL).,BARCLAY,GOODROW,SAN,JOSESHARKS
"Sep 11, 2013",Invited to training camp by the Detroit Red Wings.,BARCLAY,GOODROW,SAN,JOSESHARKS
"Apr 10, 2013",Signed by the Connecticut Whale (AHL) to an amateur try-out contract.,BARCLAY,GOODROW,SAN,JOSESHARKS
