Date,Injury,Firstname,Lastname,City,TeamName
"Mar 24, 2017",Missed 2 games (upper body injury).,JANNIK,HANSEN,SAN,JOSESHARKS
"Mar 20, 2017","Upper body injury, day-to-day.",JANNIK,HANSEN,SAN,JOSESHARKS
"Mar 08, 2017",Missed 3 games (visa issues).,JANNIK,HANSEN,SAN,JOSESHARKS
"Mar 01, 2017","Visa issues, day-to-day.",JANNIK,HANSEN,SAN,JOSESHARKS
"Feb 28, 2017",Acquired from the Vancouver Canucks.,JANNIK,HANSEN,SAN,JOSESHARKS
"Feb 04, 2017",Missed 17 games (lower body injury).,JANNIK,HANSEN,SAN,JOSESHARKS
"Dec 28, 2016","Lower body injury, injured reserve.",JANNIK,HANSEN,SAN,JOSESHARKS
"Dec 23, 2016","Lower body injury, sidelined indefinitely.",JANNIK,HANSEN,SAN,JOSESHARKS
"Dec 11, 2016",Missed 16 games (fractured ribs).,JANNIK,HANSEN,SAN,JOSESHARKS
"Nov 07, 2016","Shoulder injury, injured reserve.",JANNIK,HANSEN,SAN,JOSESHARKS
"Mar 24, 2016",Missed 11 games (undisclosed).,JANNIK,HANSEN,SAN,JOSESHARKS
"Mar 01, 2016","Undisclosed, day-to-day.",JANNIK,HANSEN,SAN,JOSESHARKS
"Jan 17, 2016",Missed 4 games (upper body injury).,JANNIK,HANSEN,SAN,JOSESHARKS
"Jan 09, 2016","Upper body injury, injured reserve.",JANNIK,HANSEN,SAN,JOSESHARKS
"Dec 31, 2015","Fined $2,000 by the NHL.",JANNIK,HANSEN,SAN,JOSESHARKS
"Dec 31, 2014","Fined $5,000 by the NHL.",JANNIK,HANSEN,SAN,JOSESHARKS
"Dec 28, 2014",Missed 1 game (upper body injury).,JANNIK,HANSEN,SAN,JOSESHARKS
"Dec 22, 2014","Upper body injury, day-to-day.",JANNIK,HANSEN,SAN,JOSESHARKS
"Nov 17, 2013",Missed 10 games (upper body injury).,JANNIK,HANSEN,SAN,JOSESHARKS
"Oct 23, 2013","Upper body injury, injured reserve.",JANNIK,HANSEN,SAN,JOSESHARKS
"Sep 29, 2013",Signed by the Vancouver Canucks to a four-year contract extension.,JANNIK,HANSEN,SAN,JOSESHARKS
"Feb 22, 2013",Missed 1 game (suspended by nhl).,JANNIK,HANSEN,SAN,JOSESHARKS
"Feb 20, 2013",Suspended by the NHL for 1 game.,JANNIK,HANSEN,SAN,JOSESHARKS
"Oct 30, 2012",Signed with Tappara Tampere (Finland).,JANNIK,HANSEN,SAN,JOSESHARKS
"Jul 28, 2011",Re-signed as a restricted free agent by the Vancouver Canucks to a three-year contract.,JANNIK,HANSEN,SAN,JOSESHARKS
"Jul 22, 2010",Re-signed as a restricted free agent by the Vancouver Canucks.,JANNIK,HANSEN,SAN,JOSESHARKS
"Jul 05, 2010",Filed for salary arbitration.,JANNIK,HANSEN,SAN,JOSESHARKS
"Feb 08, 2010",Recalled from Manitoba (AHL).,JANNIK,HANSEN,SAN,JOSESHARKS
"Jan 28, 2010",Assigned to Manitoba (AHL) on a conditioning assignment.,JANNIK,HANSEN,SAN,JOSESHARKS
"Nov 12, 2009",Missed 19 games (broken right hand).,JANNIK,HANSEN,SAN,JOSESHARKS
"Sep 29, 2009","Broken right hand, mid-November.",JANNIK,HANSEN,SAN,JOSESHARKS
"Aug 05, 2009",Re-signed as a restricted free agent by the Vancouver Canucks.,JANNIK,HANSEN,SAN,JOSESHARKS
"Mar 26, 2009",Missed 14 games (broken finger).,JANNIK,HANSEN,SAN,JOSESHARKS
"Feb 20, 2009","Broken finger, late March.",JANNIK,HANSEN,SAN,JOSESHARKS
"Jan 08, 2009",Recalled from Manitoba (AHL).,JANNIK,HANSEN,SAN,JOSESHARKS
"Jan 05, 2009",Assigned to Manitoba (AHL).,JANNIK,HANSEN,SAN,JOSESHARKS
"Nov 12, 2008",Missed 4 games (groin).,JANNIK,HANSEN,SAN,JOSESHARKS
"Nov 02, 2008","Groin, day-to-day.",JANNIK,HANSEN,SAN,JOSESHARKS
"Apr 04, 2008",Assigned to Manitoba (AHL).,JANNIK,HANSEN,SAN,JOSESHARKS
"Apr 03, 2008",Recalled from Manitoba (AHL).,JANNIK,HANSEN,SAN,JOSESHARKS
"Nov 19, 2007",Assigned to Manitoba (AHL).,JANNIK,HANSEN,SAN,JOSESHARKS
"Oct 31, 2007",Recalled from Manitoba (AHL).,JANNIK,HANSEN,SAN,JOSESHARKS
"Oct 01, 2007",Assigned to Manitoba (AHL).,JANNIK,HANSEN,SAN,JOSESHARKS
"Sep 21, 2007","Broken thumb, sidelined indefinitely.",JANNIK,HANSEN,SAN,JOSESHARKS
"May 04, 2007",Assigned to Manitoba (AHL).,JANNIK,HANSEN,SAN,JOSESHARKS
"Apr 12, 2007",Recalled from Manitoba (AHL).,JANNIK,HANSEN,SAN,JOSESHARKS
"Oct 02, 2006",Assigned to Manitoba (AHL).,JANNIK,HANSEN,SAN,JOSESHARKS
"Jul 24, 2006",Re-signed by the Vancouver Canucks.,JANNIK,HANSEN,SAN,JOSESHARKS
"Sep 18, 2005",Returned to his junior team (Portland-WHL).,JANNIK,HANSEN,SAN,JOSESHARKS
