Date,Injury,Firstname,Lastname,City,TeamName
"Feb 26, 2018",Recalled from the San Jose Barracuda (AHL).,TIM,HEED,SAN,JOSESHARKS
"Feb 26, 2018",Assigned to the San Jose Barracuda (AHL).,TIM,HEED,SAN,JOSESHARKS
"Feb 11, 2018",Recalled from the San Jose Barracuda (AHL).,TIM,HEED,SAN,JOSESHARKS
"Feb 10, 2018",Assigned to the San Jose Barracuda (AHL).,TIM,HEED,SAN,JOSESHARKS
"Feb 08, 2018",Recalled from the San Jose Barracuda (AHL).,TIM,HEED,SAN,JOSESHARKS
"Feb 07, 2018",Assigned to the San Jose Barracuda (AHL).,TIM,HEED,SAN,JOSESHARKS
"Dec 09, 2017",Missed 4 games (upper body injury).,TIM,HEED,SAN,JOSESHARKS
"Dec 02, 2017","Upper body injury, injured reserve.",TIM,HEED,SAN,JOSESHARKS
"Dec 01, 2017","Upper body injury, day-to-day.",TIM,HEED,SAN,JOSESHARKS
"Jun 17, 2017",Signed by the San Jose Sharks to a two-year two-way contract extension.,TIM,HEED,SAN,JOSESHARKS
"Apr 09, 2017",Assigned to the San Jose Barracuda (AHL).,TIM,HEED,SAN,JOSESHARKS
"Apr 08, 2017",Recalled from the San Jose Barracuda (AHL).,TIM,HEED,SAN,JOSESHARKS
"Mar 16, 2017",Assigned to the San Jose Barracuda (AHL).,TIM,HEED,SAN,JOSESHARKS
"Mar 12, 2017",Recalled from the San Jose Barracuda (AHL).,TIM,HEED,SAN,JOSESHARKS
"Mar 11, 2017",Assigned to the San Jose Barracuda (AHL).,TIM,HEED,SAN,JOSESHARKS
"Mar 09, 2017",Recalled from the San Jose Barracuda (AHL).,TIM,HEED,SAN,JOSESHARKS
"Feb 28, 2017",Assigned to the San Jose Barracuda (AHL).,TIM,HEED,SAN,JOSESHARKS
"Feb 24, 2017",Recalled from the San Jose Barracuda (AHL).,TIM,HEED,SAN,JOSESHARKS
"Feb 16, 2017",Assigned to the San Jose Barracuda (AHL).,TIM,HEED,SAN,JOSESHARKS
"Feb 15, 2017",Recalled from the San Jose Barracuda (AHL).,TIM,HEED,SAN,JOSESHARKS
"Feb 13, 2017",Assigned to the San Jose Barracuda (AHL).,TIM,HEED,SAN,JOSESHARKS
"Feb 10, 2017",Recalled from the San Jose Barracuda (AHL).,TIM,HEED,SAN,JOSESHARKS
"Feb 05, 2017",Assigned to the San Jose Barracuda (AHL).,TIM,HEED,SAN,JOSESHARKS
"Jan 31, 2017",Recalled from the San Jose Barracuda (AHL).,TIM,HEED,SAN,JOSESHARKS
"Jan 27, 2017",Assigned to the San Jose Barracuda (AHL).,TIM,HEED,SAN,JOSESHARKS
"Jan 26, 2017",Recalled from the San Jose Barracuda (AHL).,TIM,HEED,SAN,JOSESHARKS
"Jan 25, 2017",Assigned to the San Jose Barracuda (AHL).,TIM,HEED,SAN,JOSESHARKS
"Jan 21, 2017",Recalled from the San Jose Barracuda (AHL).,TIM,HEED,SAN,JOSESHARKS
"Jan 20, 2017",Assigned to the San Jose Barracuda (AHL).,TIM,HEED,SAN,JOSESHARKS
"Jan 17, 2017",Recalled from the San Jose Barracuda (AHL).,TIM,HEED,SAN,JOSESHARKS
"Jan 16, 2017",Assigned to the San Jose Barracuda (AHL).,TIM,HEED,SAN,JOSESHARKS
"Jan 07, 2017",Recalled from the San Jose Barracuda (AHL).,TIM,HEED,SAN,JOSESHARKS
"Jan 06, 2017",Assigned to the San Jose Barracuda (AHL).,TIM,HEED,SAN,JOSESHARKS
"Jan 05, 2017",Recalled from the San Jose Barracuda (AHL).,TIM,HEED,SAN,JOSESHARKS
"Oct 06, 2016",Assigned to the San Jose Barracuda (AHL).,TIM,HEED,SAN,JOSESHARKS
"May 21, 2016",Signed as a free agent by the San Jose Sharks to a one-year contract.,TIM,HEED,SAN,JOSESHARKS
"May 17, 2013",Signed with Skelleftea AIK (Sweden).,TIM,HEED,SAN,JOSESHARKS
"Sep 14, 2012",Assigned to Vaxjo Lakers HC (Swedish Elite League).,TIM,HEED,SAN,JOSESHARKS
"May 30, 2012",Signed by the Anaheim Ducks to a three-year entry-level contract.,TIM,HEED,SAN,JOSESHARKS
