Date,Injury,Firstname,Lastname,City,TeamName
"Feb 26, 2018",Acquired from the Buffalo Sabres.,EVANDER,KANE,SAN,JOSESHARKS
"Feb 16, 2017",Missed 1 game (illness).,EVANDER,KANE,SAN,JOSESHARKS
"Feb 14, 2017","Illness, day-to-day.",EVANDER,KANE,SAN,JOSESHARKS
"Nov 09, 2016",Missed 11 games (cracked ribs).,EVANDER,KANE,SAN,JOSESHARKS
"Nov 01, 2016","Cracked ribs, injured reserve.",EVANDER,KANE,SAN,JOSESHARKS
"Oct 16, 2016","Rib injury, sidelined indefinitely.",EVANDER,KANE,SAN,JOSESHARKS
"Apr 09, 2016",Missed the last 6 regular season games (upper body injury).,EVANDER,KANE,SAN,JOSESHARKS
"Mar 29, 2016","Upper body injury, day-to-day.",EVANDER,KANE,SAN,JOSESHARKS
"Feb 16, 2016",Missed 1 game (suspended by team).,EVANDER,KANE,SAN,JOSESHARKS
"Feb 15, 2016","Fined $28,225 by the Buffalo Sabres.",EVANDER,KANE,SAN,JOSESHARKS
"Feb 15, 2016",Suspended by the Buffalo Sabres for 1 game.,EVANDER,KANE,SAN,JOSESHARKS
"Nov 19, 2015",Missed 10 games (knee injury).,EVANDER,KANE,SAN,JOSESHARKS
"Oct 27, 2015","Knee injury, injured reserve.",EVANDER,KANE,SAN,JOSESHARKS
"Apr 11, 2015",Missed the last 30 regular season games (left shoulder surgery).,EVANDER,KANE,SAN,JOSESHARKS
"Feb 11, 2015",Acquired from the Winnipeg Jets.,EVANDER,KANE,SAN,JOSESHARKS
"Feb 05, 2015","Undisclosed, injured reserve.",EVANDER,KANE,SAN,JOSESHARKS
"Jan 10, 2015",Missed 5 games (lower body injury).,EVANDER,KANE,SAN,JOSESHARKS
"Jan 05, 2015","Lower body injury, injured reserve.",EVANDER,KANE,SAN,JOSESHARKS
"Dec 29, 2014","Lower body injury, sidelined indefinitely.",EVANDER,KANE,SAN,JOSESHARKS
"Dec 13, 2014",Missed 2 games (suspended by nhl).,EVANDER,KANE,SAN,JOSESHARKS
"Dec 08, 2014",Suspended by the NHL for 2 games.,EVANDER,KANE,SAN,JOSESHARKS
"Oct 30, 2014",Missed 8 games (sprained right knee).,EVANDER,KANE,SAN,JOSESHARKS
"Oct 17, 2014","Sprained right knee, injured reserve.",EVANDER,KANE,SAN,JOSESHARKS
"Oct 11, 2014","Lower body injury, sidelined indefinitely.",EVANDER,KANE,SAN,JOSESHARKS
"Feb 26, 2014",Missed 6 games (hand infection).,EVANDER,KANE,SAN,JOSESHARKS
"Feb 03, 2014","Hand infection, injured reserve.",EVANDER,KANE,SAN,JOSESHARKS
"Jan 28, 2014","Hand infection, sidelined indefinitely.",EVANDER,KANE,SAN,JOSESHARKS
"Jan 21, 2014",Missed 4 games (hand injury).,EVANDER,KANE,SAN,JOSESHARKS
"Jan 16, 2014","Hand injury, injured reserve.",EVANDER,KANE,SAN,JOSESHARKS
"Jan 10, 2014","Hand injury, day-to-day.",EVANDER,KANE,SAN,JOSESHARKS
"Dec 16, 2013",Missed 6 games (lower body injury).,EVANDER,KANE,SAN,JOSESHARKS
"Dec 02, 2013","Lower body injury, day-to-day.",EVANDER,KANE,SAN,JOSESHARKS
"Nov 08, 2013",Missed 2 games (lower body injury).,EVANDER,KANE,SAN,JOSESHARKS
"Nov 04, 2013","Lower body injury, day-to-day.",EVANDER,KANE,SAN,JOSESHARKS
"Nov 16, 2012",Released by HC Dinamo Minsk (KHL).,EVANDER,KANE,SAN,JOSESHARKS
"Sep 28, 2012",Signed with HC Dinamo Minsk (KHL).,EVANDER,KANE,SAN,JOSESHARKS
"Sep 15, 2012",Re-signed as a restricted free agent by the Winnipeg Jets to a six-year contract.,EVANDER,KANE,SAN,JOSESHARKS
"Feb 07, 2012",Missed 7 games (concussion).,EVANDER,KANE,SAN,JOSESHARKS
"Jan 24, 2012","Concussion, injured reserve.",EVANDER,KANE,SAN,JOSESHARKS
"Jan 21, 2012","Concussion, day-to-day.",EVANDER,KANE,SAN,JOSESHARKS
"Oct 19, 2011",Missed 1 game (lower body injury).,EVANDER,KANE,SAN,JOSESHARKS
"Oct 17, 2011","Lower body injury, day-to-day.",EVANDER,KANE,SAN,JOSESHARKS
"Feb 01, 2011",Missed 4 games (lower body injury).,EVANDER,KANE,SAN,JOSESHARKS
"Jan 20, 2011","Lower body injury, day-to-day.",EVANDER,KANE,SAN,JOSESHARKS
"Jan 14, 2011",Missed 2 games (lower body injury).,EVANDER,KANE,SAN,JOSESHARKS
"Jan 09, 2011","Lower body injury, injured reserve.",EVANDER,KANE,SAN,JOSESHARKS
