Date,Injury,Firstname,Lastname,City,TeamName
"Nov 28, 2017",Missed 4 games (upper body injury).,MELKER,KARLSSON,SAN,JOSESHARKS
"Nov 20, 2017","Upper body injury, day-to-day.",MELKER,KARLSSON,SAN,JOSESHARKS
"May 12, 2017",Signed by the San Jose Sharks to a three-year contract extension.,MELKER,KARLSSON,SAN,JOSESHARKS
"Mar 28, 2017",Missed 8 games (lower body injury).,MELKER,KARLSSON,SAN,JOSESHARKS
"Mar 12, 2017","Lower body injury, day-to-day.",MELKER,KARLSSON,SAN,JOSESHARKS
"Nov 29, 2016",Missed 7 games (ankle injury).,MELKER,KARLSSON,SAN,JOSESHARKS
"Nov 26, 2016","Ankle injury, injured reserve.",MELKER,KARLSSON,SAN,JOSESHARKS
"Nov 15, 2016","Ankle injury, day-to-day.",MELKER,KARLSSON,SAN,JOSESHARKS
"Mar 07, 2016",Missed 2 games (undisclosed).,MELKER,KARLSSON,SAN,JOSESHARKS
"Mar 03, 2016","Undisclosed, day-to-day.",MELKER,KARLSSON,SAN,JOSESHARKS
"Dec 22, 2015",Missed 1 game (flu).,MELKER,KARLSSON,SAN,JOSESHARKS
"Dec 20, 2015","Flu, day-to-day.",MELKER,KARLSSON,SAN,JOSESHARKS
"Nov 09, 2015",Recalled from the San Jose Barracuda (AHL).,MELKER,KARLSSON,SAN,JOSESHARKS
"Oct 05, 2015",Assigned to the San Jose Barracuda (AHL).,MELKER,KARLSSON,SAN,JOSESHARKS
"Jun 27, 2015",Re-signed by the San Jose Sharks to a two-year contract.,MELKER,KARLSSON,SAN,JOSESHARKS
"Dec 09, 2014",Recalled from the Worcester Sharks (AHL).,MELKER,KARLSSON,SAN,JOSESHARKS
"Sep 29, 2014",Assigned to the Worcester Sharks (AHL).,MELKER,KARLSSON,SAN,JOSESHARKS
"May 30, 2014",Signed as an undrafted free agent by the San Jose Sharks to a one-year entry-level contract.,MELKER,KARLSSON,SAN,JOSESHARKS
