Date,Injury,Firstname,Lastname,City,TeamName
"Jul 30, 2013",Signed by the San Jose Sharks to a five-year contract extension.,JOE,PAVELSKI,SAN,JOSESHARKS
"Oct 04, 2012",Signed with HC Dinamo Minsk (KHL).,JOE,PAVELSKI,SAN,JOSESHARKS
"Jan 13, 2011",Missed 8 games (lower body injury).,JOE,PAVELSKI,SAN,JOSESHARKS
"Dec 29, 2010","Lower body injury, day-to-day.",JOE,PAVELSKI,SAN,JOSESHARKS
"Jun 24, 2010",Re-signed by the San Jose Sharks to a four-year contract.,JOE,PAVELSKI,SAN,JOSESHARKS
"Nov 07, 2009",Missed 15 games (foot injury).,JOE,PAVELSKI,SAN,JOSESHARKS
"Oct 05, 2009","Foot injury, sidelined indefinitely.",JOE,PAVELSKI,SAN,JOSESHARKS
"Dec 18, 2008",Missed 2 games (lower body injury).,JOE,PAVELSKI,SAN,JOSESHARKS
"Dec 15, 2008","Lower body injury, day-to-day.",JOE,PAVELSKI,SAN,JOSESHARKS
"Jun 25, 2008",Re-signed by the San Jose Sharks to a two-year contract.,JOE,PAVELSKI,SAN,JOSESHARKS
"Mar 22, 2007",Missed 2 games (foot injury).,JOE,PAVELSKI,SAN,JOSESHARKS
"Mar 18, 2007","Foot injury, day-to-day.",JOE,PAVELSKI,SAN,JOSESHARKS
"Feb 21, 2007",Missed 8 games (foot injury).,JOE,PAVELSKI,SAN,JOSESHARKS
"Feb 01, 2007","Foot injury, day-to-day.",JOE,PAVELSKI,SAN,JOSESHARKS
"Nov 22, 2006",Recalled from Worcester (AHL).,JOE,PAVELSKI,SAN,JOSESHARKS
"Sep 25, 2006",Assigned to Worcester (AHL).,JOE,PAVELSKI,SAN,JOSESHARKS
"Jul 14, 2006",Signed by the San Jose Sharks.,JOE,PAVELSKI,SAN,JOSESHARKS
