Date,Injury,Firstname,Lastname,City,TeamName
"Dec 22, 2017",Recalled from the San Jose Barracuda (AHL).,JOAKIM,RYAN,SAN,JOSESHARKS
"Dec 21, 2017",Assigned to the San Jose Barracuda (AHL).,JOAKIM,RYAN,SAN,JOSESHARKS
"Dec 19, 2017",Recalled from the San Jose Barracuda (AHL).,JOAKIM,RYAN,SAN,JOSESHARKS
"Dec 18, 2017",Assigned to the San Jose Barracuda (AHL).,JOAKIM,RYAN,SAN,JOSESHARKS
"Oct 12, 2017",Recalled from the San Jose Barracuda (AHL).,JOAKIM,RYAN,SAN,JOSESHARKS
"Oct 03, 2017",Assigned to the San Jose Barracuda (AHL).,JOAKIM,RYAN,SAN,JOSESHARKS
"Jun 17, 2017",Signed by the San Jose Sharks to a two-year contract extension.,JOAKIM,RYAN,SAN,JOSESHARKS
"Mar 06, 2017",Assigned to the San Jose Barracuda (AHL).,JOAKIM,RYAN,SAN,JOSESHARKS
"Mar 05, 2017",Recalled from the San Jose Barracuda (AHL).,JOAKIM,RYAN,SAN,JOSESHARKS
"Feb 10, 2017",Assigned to the San Jose Barracuda (AHL).,JOAKIM,RYAN,SAN,JOSESHARKS
"Feb 06, 2017",Recalled from the San Jose Barracuda (AHL).,JOAKIM,RYAN,SAN,JOSESHARKS
"Oct 03, 2016",Assigned to the San Jose Barracuda (AHL).,JOAKIM,RYAN,SAN,JOSESHARKS
"Sep 21, 2015",Assigned to the San Jose Barracuda (AHL).,JOAKIM,RYAN,SAN,JOSESHARKS
"Mar 27, 2015",Re-assigned to the Worcester Sharks (AHL).,JOAKIM,RYAN,SAN,JOSESHARKS
"Mar 26, 2015",Signed by the San Jose Sharks to a two-year entry-level contract.,JOAKIM,RYAN,SAN,JOSESHARKS
