Date,Injury,Firstname,Lastname,City,TeamName
"Jul 10, 2017",Re-signed as a restricted free agent by the San Jose Sharks to a one-year contract.,CHRIS,TIERNEY,SAN,JOSESHARKS
"Jun 26, 2017",San Jose Sharks tendered a qualifying offer.,CHRIS,TIERNEY,SAN,JOSESHARKS
"Mar 28, 2017",Missed 1 game (upper body injury).,CHRIS,TIERNEY,SAN,JOSESHARKS
"Mar 25, 2017","Upper body injury, day-to-day.",CHRIS,TIERNEY,SAN,JOSESHARKS
"Mar 21, 2017",Missed 1 game (flu).,CHRIS,TIERNEY,SAN,JOSESHARKS
"Mar 20, 2017","Flu, day-to-day.",CHRIS,TIERNEY,SAN,JOSESHARKS
"Apr 07, 2016",Missed 1 game (undisclosed).,CHRIS,TIERNEY,SAN,JOSESHARKS
"Apr 05, 2016","Undisclosed, day-to-day.",CHRIS,TIERNEY,SAN,JOSESHARKS
"Jan 08, 2016",Recalled from the San Jose Barracuda (AHL).,CHRIS,TIERNEY,SAN,JOSESHARKS
"Jan 03, 2016",Assigned to the San Jose Barracuda (AHL).,CHRIS,TIERNEY,SAN,JOSESHARKS
"Apr 12, 2015",Assigned to the Worcester Sharks (AHL).,CHRIS,TIERNEY,SAN,JOSESHARKS
"Mar 02, 2015",Recalled from the Worcester Sharks (AHL).,CHRIS,TIERNEY,SAN,JOSESHARKS
"Mar 02, 2015",Assigned to the Worcester Sharks (AHL).,CHRIS,TIERNEY,SAN,JOSESHARKS
"Mar 01, 2015",Recalled from the Worcester Sharks (AHL).,CHRIS,TIERNEY,SAN,JOSESHARKS
"Feb 28, 2015",Assigned to the Worcester Sharks (AHL).,CHRIS,TIERNEY,SAN,JOSESHARKS
"Feb 04, 2015",Recalled from the Worcester Sharks (AHL).,CHRIS,TIERNEY,SAN,JOSESHARKS
"Dec 30, 2014",Assigned to the Worcester Sharks (AHL).,CHRIS,TIERNEY,SAN,JOSESHARKS
"Dec 11, 2014",Recalled from the Worcester Sharks (AHL).,CHRIS,TIERNEY,SAN,JOSESHARKS
"Nov 06, 2014",Assigned to the Worcester Sharks (AHL).,CHRIS,TIERNEY,SAN,JOSESHARKS
"Sep 16, 2013",Returned to his junior team (London-OHL).,CHRIS,TIERNEY,SAN,JOSESHARKS
"Apr 02, 2013",Signed by the San Jose Sharks to a three-year entry-level contract.,CHRIS,TIERNEY,SAN,JOSESHARKS
