Date,Injury,Firstname,Lastname,City,TeamName
"Nov 08, 2017",Missed 1 game (head injury).,MARC-EDOUARD,VLASIC,SAN,JOSESHARKS
"Nov 02, 2017","Head injury, day-to-day.",MARC-EDOUARD,VLASIC,SAN,JOSESHARKS
"Jul 01, 2017",Signed by the San Jose Sharks to an eight-year contract extension.,MARC-EDOUARD,VLASIC,SAN,JOSESHARKS
"Mar 28, 2017",Missed 1 game (illness).,MARC-EDOUARD,VLASIC,SAN,JOSESHARKS
"Mar 25, 2017","Illness, day-to-day.",MARC-EDOUARD,VLASIC,SAN,JOSESHARKS
"Mar 24, 2017",Missed 1 game (flu).,MARC-EDOUARD,VLASIC,SAN,JOSESHARKS
"Mar 21, 2017","Flu, day-to-day.",MARC-EDOUARD,VLASIC,SAN,JOSESHARKS
"Jan 10, 2017",Missed 4 games (facial injury).,MARC-EDOUARD,VLASIC,SAN,JOSESHARKS
"Jan 03, 2017","Facial injury, injured reserve.",MARC-EDOUARD,VLASIC,SAN,JOSESHARKS
"Dec 31, 2016","Facial injury, day-to-day.",MARC-EDOUARD,VLASIC,SAN,JOSESHARKS
"Dec 16, 2016","Fined $5,000 by the NHL.",MARC-EDOUARD,VLASIC,SAN,JOSESHARKS
"Dec 14, 2016",Missed 1 game (lower body injury).,MARC-EDOUARD,VLASIC,SAN,JOSESHARKS
"Dec 13, 2016","Lower body injury, day-to-day.",MARC-EDOUARD,VLASIC,SAN,JOSESHARKS
"Apr 12, 2016",Missed the last 12 regular season games (lower body injury).,MARC-EDOUARD,VLASIC,SAN,JOSESHARKS
"Mar 19, 2016","Lower body injury, day-to-day.",MARC-EDOUARD,VLASIC,SAN,JOSESHARKS
"Dec 12, 2015",Missed 3 games (lower body injury).,MARC-EDOUARD,VLASIC,SAN,JOSESHARKS
"Dec 05, 2015","Undisclosed, day-to-day.",MARC-EDOUARD,VLASIC,SAN,JOSESHARKS
"Apr 11, 2015",Missed the last 7 regular season games (lower body injury).,MARC-EDOUARD,VLASIC,SAN,JOSESHARKS
"Mar 29, 2015","Lower body injury, day-to-day.",MARC-EDOUARD,VLASIC,SAN,JOSESHARKS
"Feb 15, 2015",Missed 4 games (upper body injury).,MARC-EDOUARD,VLASIC,SAN,JOSESHARKS
"Feb 08, 2015","Upper body injury, injured reserve.",MARC-EDOUARD,VLASIC,SAN,JOSESHARKS
"Feb 07, 2015","Upper body injury, day-to-day.",MARC-EDOUARD,VLASIC,SAN,JOSESHARKS
"Dec 13, 2014",Missed 1 game (upper body injury).,MARC-EDOUARD,VLASIC,SAN,JOSESHARKS
"Dec 11, 2014","Upper body injury, day-to-day.",MARC-EDOUARD,VLASIC,SAN,JOSESHARKS
"Apr 30, 2014",Missed the last 2 playoff games (upper body injury).,MARC-EDOUARD,VLASIC,SAN,JOSESHARKS
"Apr 28, 2014","Upper body injury, day-to-day.",MARC-EDOUARD,VLASIC,SAN,JOSESHARKS
"Apr 04, 2013","Fined $8,378.38 by the NHL.",MARC-EDOUARD,VLASIC,SAN,JOSESHARKS
"Jul 11, 2012",Signed by the San Jose Sharks to a five-year contract extension.,MARC-EDOUARD,VLASIC,SAN,JOSESHARKS
"Feb 22, 2011",Missed 1 game (upper body injury).,MARC-EDOUARD,VLASIC,SAN,JOSESHARKS
"Feb 19, 2011","Upper body injury, day-to-day.",MARC-EDOUARD,VLASIC,SAN,JOSESHARKS
"Apr 02, 2010",Missed 1 game (knee injury).,MARC-EDOUARD,VLASIC,SAN,JOSESHARKS
"Mar 31, 2010","Knee injury, day-to-day.",MARC-EDOUARD,VLASIC,SAN,JOSESHARKS
"Mar 21, 2010",Missed 17 games (lower body injury).,MARC-EDOUARD,VLASIC,SAN,JOSESHARKS
"Jan 30, 2010","Lower body injury, day-to-day.",MARC-EDOUARD,VLASIC,SAN,JOSESHARKS
"Aug 27, 2008",Signed by the San Jose Sharks to a four-year contract extension.,MARC-EDOUARD,VLASIC,SAN,JOSESHARKS
"Jan 28, 2008",Recalled from Worcester (AHL).,MARC-EDOUARD,VLASIC,SAN,JOSESHARKS
"Jan 25, 2008",Assigned to Worcester (AHL).,MARC-EDOUARD,VLASIC,SAN,JOSESHARKS
"Jan 15, 2007",Missed 1 game (upper body injury).,MARC-EDOUARD,VLASIC,SAN,JOSESHARKS
"Jan 13, 2007","Upper body injury, day-to-day.",MARC-EDOUARD,VLASIC,SAN,JOSESHARKS
"Jun 02, 2006",Signed by the San Jose Sharks.,MARC-EDOUARD,VLASIC,SAN,JOSESHARKS
"Sep 12, 2005",Returned to his junior team (Quebec-QMJHL).,MARC-EDOUARD,VLASIC,SAN,JOSESHARKS
