Date,Injury,Firstname,Lastname,City,TeamName
"Feb 05, 2018",Missed 1 game (facial injury).,BEN,BISHOP,DALLAS,STARS
"Feb 02, 2018","Facial injury, day-to-day.",BEN,BISHOP,DALLAS,STARS
"Dec 08, 2017",Missed 1 game (sore back).,BEN,BISHOP,DALLAS,STARS
"Dec 06, 2017","Sore back, day-to-day.",BEN,BISHOP,DALLAS,STARS
"May 12, 2017",Signed by the Dallas Stars to a six-year contract extension.,BEN,BISHOP,DALLAS,STARS
"May 09, 2017",Acquired from the Los Angeles Kings.,BEN,BISHOP,DALLAS,STARS
"Feb 26, 2017",Acquired from the Tampa Bay Lightning.,BEN,BISHOP,DALLAS,STARS
"Jan 11, 2017",Missed 9 games (lower body injury).,BEN,BISHOP,DALLAS,STARS
"Dec 22, 2016","Lower body injury, injured reserve.",BEN,BISHOP,DALLAS,STARS
"May 26, 2016",Missed the last 6 playoff games (lower body injury).,BEN,BISHOP,DALLAS,STARS
"May 16, 2016","Lower body injury, day-to-day.",BEN,BISHOP,DALLAS,STARS
"Jun 13, 2015",Missed the last playoff game (undisclosed).,BEN,BISHOP,DALLAS,STARS
"Jun 10, 2015","Undisclosed, day-to-day.",BEN,BISHOP,DALLAS,STARS
"Jan 02, 2015",Missed 1 game (lower body injury).,BEN,BISHOP,DALLAS,STARS
"Dec 31, 2014","Lower body injury, day-to-day.",BEN,BISHOP,DALLAS,STARS
"Dec 27, 2014",Missed 4 games (lower body injury).,BEN,BISHOP,DALLAS,STARS
"Dec 16, 2014","Lower body injury, day-to-day.",BEN,BISHOP,DALLAS,STARS
"Aug 02, 2014",Signed by the Tampa Bay Lightning to a two-year contract extension.,BEN,BISHOP,DALLAS,STARS
"Apr 22, 2014",Missed the last 3 regular season and first 4 playoff games (wrist injury).,BEN,BISHOP,DALLAS,STARS
"Apr 09, 2014","Wrist injury, day-to-day.",BEN,BISHOP,DALLAS,STARS
"Jan 13, 2014",Missed 3 games (sprained right wrist).,BEN,BISHOP,DALLAS,STARS
"Jan 09, 2014","Sprained right wrist, injured reserve.",BEN,BISHOP,DALLAS,STARS
"Jan 07, 2014","Upper body injury, day-to-day.",BEN,BISHOP,DALLAS,STARS
"Oct 15, 2013",Missed 1 game (lower body injury).,BEN,BISHOP,DALLAS,STARS
"Oct 12, 2013","Lower body injury, day-to-day.",BEN,BISHOP,DALLAS,STARS
"Apr 15, 2013",Signed by the Tampa Bay Lightning to a two-year contract extension.,BEN,BISHOP,DALLAS,STARS
"Apr 03, 2013",Acquired from the Ottawa Senators.,BEN,BISHOP,DALLAS,STARS
"Jan 12, 2013",Recalled from Binghamton (AHL).,BEN,BISHOP,DALLAS,STARS
"Oct 15, 2012",Signed by the Binghamton Senators (AHL).,BEN,BISHOP,DALLAS,STARS
"Apr 05, 2012",Missed 4 games (lower body injury).,BEN,BISHOP,DALLAS,STARS
"Mar 26, 2012","Lower body injury, remainder of the regular season.",BEN,BISHOP,DALLAS,STARS
"Mar 05, 2012",Recalled from Binghamton (AHL).,BEN,BISHOP,DALLAS,STARS
"Feb 27, 2012",Assigned to Binghamton (AHL).,BEN,BISHOP,DALLAS,STARS
"Feb 26, 2012",Acquired from the St. Louis Blues.,BEN,BISHOP,DALLAS,STARS
"Feb 20, 2012",Assigned to Peoria (AHL).,BEN,BISHOP,DALLAS,STARS
"Feb 18, 2012",Recalled from Peoria (AHL).,BEN,BISHOP,DALLAS,STARS
"Oct 01, 2011",Assigned to Peoria (AHL).,BEN,BISHOP,DALLAS,STARS
"Jul 05, 2011",Re-signed as a restricted free agent by the St. Louis Blues to a one-year contract.,BEN,BISHOP,DALLAS,STARS
"Jun 28, 2011",St. Louis Blues tendered a qualifying offer.,BEN,BISHOP,DALLAS,STARS
"Mar 08, 2011",Assigned to Peoria (AHL).,BEN,BISHOP,DALLAS,STARS
"Feb 17, 2011",Recalled from Peoria (AHL).,BEN,BISHOP,DALLAS,STARS
"Feb 07, 2011",Assigned to Peoria (AHL).,BEN,BISHOP,DALLAS,STARS
"Feb 04, 2011",Recalled from Peoria (AHL).,BEN,BISHOP,DALLAS,STARS
"Sep 30, 2010",Assigned to Peoria (AHL).,BEN,BISHOP,DALLAS,STARS
"Jan 07, 2010",Assigned to Peoria (AHL).,BEN,BISHOP,DALLAS,STARS
"Jan 05, 2010",Recalled from Peoria (AHL).,BEN,BISHOP,DALLAS,STARS
"Oct 05, 2009",Assigned to Peoria (AHL).,BEN,BISHOP,DALLAS,STARS
"Mar 04, 2009",Recalled from Peoria (AHL).,BEN,BISHOP,DALLAS,STARS
"Dec 19, 2008",Assigned to Peoria (AHL).,BEN,BISHOP,DALLAS,STARS
"Dec 11, 2008",Recalled from Peoria (AHL).,BEN,BISHOP,DALLAS,STARS
"Nov 09, 2008",Assigned to Peoria (AHL).,BEN,BISHOP,DALLAS,STARS
"Nov 06, 2008",Missed 3 games (lower body injury).,BEN,BISHOP,DALLAS,STARS
"Oct 30, 2008","Lower body injury, day-to-day.",BEN,BISHOP,DALLAS,STARS
"Oct 19, 2008",Recalled from Peoria (AHL).,BEN,BISHOP,DALLAS,STARS
"Sep 27, 2008",Assigned to Peoria (AHL).,BEN,BISHOP,DALLAS,STARS
"Mar 11, 2008",Assigned to Peoria (AHL).,BEN,BISHOP,DALLAS,STARS
