Date,Injury,Firstname,Lastname,City,TeamName
"Feb 26, 2018",Recalled from the Texas Stars (AHL).,JASON,DICKINSON,DALLAS,STARS
"Feb 18, 2018",Assigned to the Texas Stars (AHL).,JASON,DICKINSON,DALLAS,STARS
"Feb 16, 2018",Recalled from the Texas Stars (AHL).,JASON,DICKINSON,DALLAS,STARS
"Feb 12, 2018",Assigned to the Texas Stars (AHL).,JASON,DICKINSON,DALLAS,STARS
"Jan 29, 2018",Recalled from the Texas Stars (AHL).,JASON,DICKINSON,DALLAS,STARS
"Jan 26, 2018",Assigned to the Texas Stars (AHL).,JASON,DICKINSON,DALLAS,STARS
"Jan 22, 2018",Recalled from the Texas Stars (AHL).,JASON,DICKINSON,DALLAS,STARS
"Jan 05, 2018",Assigned to the Texas Stars (AHL).,JASON,DICKINSON,DALLAS,STARS
"Dec 29, 2017",Recalled from the Texas Stars (AHL).,JASON,DICKINSON,DALLAS,STARS
"Dec 16, 2017",Assigned to the Texas Stars (AHL).,JASON,DICKINSON,DALLAS,STARS
"Dec 10, 2017",Recalled from the Texas Stars (AHL).,JASON,DICKINSON,DALLAS,STARS
"Dec 04, 2017",Assigned to the Texas Stars (AHL).,JASON,DICKINSON,DALLAS,STARS
"Dec 03, 2017",Recalled from the Texas Stars (AHL).,JASON,DICKINSON,DALLAS,STARS
"Nov 15, 2017",Assigned to the Texas Stars (AHL).,JASON,DICKINSON,DALLAS,STARS
"Nov 01, 2017",Recalled from the Texas Stars (AHL).,JASON,DICKINSON,DALLAS,STARS
"Oct 02, 2017",Assigned to the Texas Stars (AHL).,JASON,DICKINSON,DALLAS,STARS
"Apr 09, 2017",Assigned to the Texas Stars (AHL).,JASON,DICKINSON,DALLAS,STARS
"Mar 25, 2017",Recalled from the Texas Stars (AHL).,JASON,DICKINSON,DALLAS,STARS
"Dec 28, 2016",Assigned to the Texas Stars (AHL).,JASON,DICKINSON,DALLAS,STARS
"Dec 26, 2016",Recalled from the Texas Stars (AHL).,JASON,DICKINSON,DALLAS,STARS
"Dec 09, 2016",Assigned to the Texas Stars (AHL).,JASON,DICKINSON,DALLAS,STARS
"Dec 06, 2016",Recalled from the Texas Stars (AHL).,JASON,DICKINSON,DALLAS,STARS
"Oct 23, 2016",Assigned to the Texas Stars (AHL).,JASON,DICKINSON,DALLAS,STARS
"Oct 11, 2016","Undisclosed, injured/non-roster list.",JASON,DICKINSON,DALLAS,STARS
"May 05, 2016",Recalled from the Texas Stars (AHL).,JASON,DICKINSON,DALLAS,STARS
"Apr 08, 2016",Assigned to the Texas Stars (AHL).,JASON,DICKINSON,DALLAS,STARS
"Apr 07, 2016",Recalled from the Texas Stars (AHL) on an emergency basis.,JASON,DICKINSON,DALLAS,STARS
"Oct 03, 2015",Assigned to the Texas Stars (AHL).,JASON,DICKINSON,DALLAS,STARS
"Apr 16, 2015",Re-assigned to the Texas Stars (AHL).,JASON,DICKINSON,DALLAS,STARS
"Sep 28, 2014",Returned to his junior team (Guelph Storm-OHL).,JASON,DICKINSON,DALLAS,STARS
"May 29, 2014",Signed by the Dallas Stars to a three-year entry-level contract.,JASON,DICKINSON,DALLAS,STARS
