Date,Injury,Firstname,Lastname,City,TeamName
"Feb 26, 2018",Assigned to the Texas Stars (AHL).,REMI,ELIE,DALLAS,STARS
"Feb 26, 2018",Recalled from the Texas Stars (AHL).,REMI,ELIE,DALLAS,STARS
"Jan 05, 2018",Missed 2 games (illness).,REMI,ELIE,DALLAS,STARS
"Jan 02, 2018","Illness, day-to-day.",REMI,ELIE,DALLAS,STARS
"Oct 10, 2017",Recalled from the Texas Stars (AHL).,REMI,ELIE,DALLAS,STARS
"Oct 02, 2017",Assigned to the Texas Stars (AHL).,REMI,ELIE,DALLAS,STARS
"Apr 09, 2017",Assigned to the Texas Stars (AHL).,REMI,ELIE,DALLAS,STARS
"Mar 03, 2017",Recalled from the Texas Stars (AHL).,REMI,ELIE,DALLAS,STARS
"Mar 01, 2017",Assigned to the Texas Stars (AHL).,REMI,ELIE,DALLAS,STARS
"Feb 25, 2017",Recalled from the Texas Stars (AHL).,REMI,ELIE,DALLAS,STARS
"Oct 06, 2016",Assigned to the Texas Stars (AHL).,REMI,ELIE,DALLAS,STARS
"Oct 03, 2015",Assigned to the Texas Stars (AHL).,REMI,ELIE,DALLAS,STARS
"Sep 28, 2014",Signed by the Dallas Stars to a three-year entry-level contract.,REMI,ELIE,DALLAS,STARS
"Sep 23, 2014",Returned to his junior team (Belleville Bulls-OHL).,REMI,ELIE,DALLAS,STARS
