Date,Injury,Firstname,Lastname,City,TeamName
"Nov 10, 2017",Missed 1 game (lower body injury).,RADEK,FAKSA,DALLAS,STARS
"Nov 06, 2017","Lower body injury, day-to-day.",RADEK,FAKSA,DALLAS,STARS
"Jul 10, 2017",Re-signed as a restricted free agent by the Dallas Stars to a three-year contract.,RADEK,FAKSA,DALLAS,STARS
"Jun 26, 2017",Dallas Stars tendered a qualifying offer.,RADEK,FAKSA,DALLAS,STARS
"Jan 31, 2017",Missed 2 games (lower body injury).,RADEK,FAKSA,DALLAS,STARS
"Jan 23, 2017","Lower body injury, day-to-day.",RADEK,FAKSA,DALLAS,STARS
"Feb 05, 2016",Recalled from the Texas Stars (AHL).,RADEK,FAKSA,DALLAS,STARS
"Jan 10, 2016",Assigned to the Texas Stars (AHL).,RADEK,FAKSA,DALLAS,STARS
"Dec 30, 2015",Recalled from the Texas Stars (AHL).,RADEK,FAKSA,DALLAS,STARS
"Nov 15, 2015",Assigned to the Texas Stars (AHL).,RADEK,FAKSA,DALLAS,STARS
"Oct 16, 2015",Recalled from the Texas Stars (AHL).,RADEK,FAKSA,DALLAS,STARS
"Oct 03, 2015",Assigned to the Texas Stars (AHL).,RADEK,FAKSA,DALLAS,STARS
"Sep 30, 2014",Assigned to the Texas Stars (AHL).,RADEK,FAKSA,DALLAS,STARS
"Apr 02, 2014",Re-assigned to the Texas Stars (AHL).,RADEK,FAKSA,DALLAS,STARS
"Sep 21, 2013",Returned to his junior team (Kitchener-OHL).,RADEK,FAKSA,DALLAS,STARS
"Apr 16, 2013",Re-assigned to Texas (AHL).,RADEK,FAKSA,DALLAS,STARS
"Jan 16, 2013",Returned to his junior team (Kitchener-OHL).,RADEK,FAKSA,DALLAS,STARS
"Jan 13, 2013",Recalled from Kitchener (OHL).,RADEK,FAKSA,DALLAS,STARS
"Sep 14, 2012",Returned to his junior team (Kitchener-OHL).,RADEK,FAKSA,DALLAS,STARS
"Jul 09, 2012",Signed by the Dallas Stars to a three-year entry-level contract.,RADEK,FAKSA,DALLAS,STARS
