Date,Injury,Firstname,Lastname,City,TeamName
"Oct 14, 2017",Missed 2 games (groin).,DAN,HAMHUIS,DALLAS,STARS
"Oct 10, 2017","Groin, day-to-day.",DAN,HAMHUIS,DALLAS,STARS
"Mar 26, 2017",Missed 1 game (undisclosed).,DAN,HAMHUIS,DALLAS,STARS
"Mar 24, 2017","Undisclosed, day-to-day.",DAN,HAMHUIS,DALLAS,STARS
"Jul 01, 2016",Signed as an unrestricted free agent by the Dallas Stars to a two-year contract.,DAN,HAMHUIS,DALLAS,STARS
"Feb 06, 2016",Missed 21 games (facial injury).,DAN,HAMHUIS,DALLAS,STARS
"Dec 15, 2015","Facial injury, injured reserve.",DAN,HAMHUIS,DALLAS,STARS
"Dec 10, 2015","Facial injury, sidelined indefinitely.",DAN,HAMHUIS,DALLAS,STARS
"Nov 02, 2015",Missed 3 games (lower body injury).,DAN,HAMHUIS,DALLAS,STARS
"Oct 29, 2015","Lower body injury, injured reserve.",DAN,HAMHUIS,DALLAS,STARS
"Oct 27, 2015","Undisclosed, day-to-day.",DAN,HAMHUIS,DALLAS,STARS
"Jan 15, 2015",Missed 21 games (lower body injury).,DAN,HAMHUIS,DALLAS,STARS
"Nov 23, 2014","Lower body injury, injured reserve.",DAN,HAMHUIS,DALLAS,STARS
"Nov 22, 2014","Lower body injury, sidelined indefinitely.",DAN,HAMHUIS,DALLAS,STARS
"Feb 07, 2014",Missed 2 games (undisclosed).,DAN,HAMHUIS,DALLAS,STARS
"Feb 04, 2014","Undisclosed, day-to-day.",DAN,HAMHUIS,DALLAS,STARS
"Jun 15, 2011",Missed the last 26 playoff games (lower body injury).,DAN,HAMHUIS,DALLAS,STARS
"Jun 04, 2011","Lower body injury, day-to-day.",DAN,HAMHUIS,DALLAS,STARS
"Apr 09, 2011",Missed 5 games (concussion).,DAN,HAMHUIS,DALLAS,STARS
"Mar 29, 2011","Concussion, sidelined indefinitely.",DAN,HAMHUIS,DALLAS,STARS
"Feb 22, 2011",Missed 5 games (concussion).,DAN,HAMHUIS,DALLAS,STARS
"Feb 10, 2011","Concussion, day-to-day.",DAN,HAMHUIS,DALLAS,STARS
"Nov 09, 2010",Missed 8 games (foot injury).,DAN,HAMHUIS,DALLAS,STARS
"Oct 19, 2010","Foot injury, day-to-day.",DAN,HAMHUIS,DALLAS,STARS
"Jul 01, 2010",Signed as an unrestricted free agent by the Vancouver Canucks to a six-year contract.,DAN,HAMHUIS,DALLAS,STARS
"Jun 25, 2010",Acquired from the Philadelphia Flyers.,DAN,HAMHUIS,DALLAS,STARS
"Jun 19, 2010",Acquired from the Nashville Predators.,DAN,HAMHUIS,DALLAS,STARS
"Oct 28, 2009",Missed 4 games (upper body injury).,DAN,HAMHUIS,DALLAS,STARS
"Oct 17, 2009","Upper body injury, day-to-day.",DAN,HAMHUIS,DALLAS,STARS
"Nov 22, 2006",Missed 1 game (lower body injury).,DAN,HAMHUIS,DALLAS,STARS
"Nov 20, 2006","Lower body injury, day-to-day.",DAN,HAMHUIS,DALLAS,STARS
"Sep 21, 2006",Re-signed as a restricted free agent by the Nashville Predators to a four-year contract.,DAN,HAMHUIS,DALLAS,STARS
"Aug 16, 2005",Re-signed as a restricted free agent by the Nashville Predators to a one-year contract.,DAN,HAMHUIS,DALLAS,STARS
"Jul 31, 2005",Nashville Predators tendered a qualifying offer.,DAN,HAMHUIS,DALLAS,STARS
"Sep 15, 2004",Assigned to Milwaukee (AHL).,DAN,HAMHUIS,DALLAS,STARS
"Oct 03, 2002",Assigned to Milwaukee (AHL).,DAN,HAMHUIS,DALLAS,STARS
"Jul 07, 2002",Signed by the Nashville Predators.,DAN,HAMHUIS,DALLAS,STARS
"Sep 19, 2001",Returned to Prince George (WHL).,DAN,HAMHUIS,DALLAS,STARS
