Date,Injury,Firstname,Lastname,City,TeamName
"Feb 22, 2018","Lower body injury, day-to-day.",MARTIN,HANZAL,DALLAS,STARS
"Feb 21, 2018",Missed 1 game (general soreness).,MARTIN,HANZAL,DALLAS,STARS
"Feb 18, 2018","General soreness, day-to-day.",MARTIN,HANZAL,DALLAS,STARS
"Feb 11, 2018",Missed 1 game (lower body injury).,MARTIN,HANZAL,DALLAS,STARS
"Feb 09, 2018","Lower body injury, day-to-day.",MARTIN,HANZAL,DALLAS,STARS
"Feb 05, 2018",Missed 5 games (lower body injury).,MARTIN,HANZAL,DALLAS,STARS
"Feb 03, 2018","Lower body injury, injured reserve.",MARTIN,HANZAL,DALLAS,STARS
"Jan 22, 2018","Lower body injury, day-to-day.",MARTIN,HANZAL,DALLAS,STARS
"Jan 04, 2018",Missed 3 games (undisclosed).,MARTIN,HANZAL,DALLAS,STARS
"Dec 29, 2017","Undisclosed, day-to-day.",MARTIN,HANZAL,DALLAS,STARS
"Dec 13, 2017",Missed 7 games (hamstring).,MARTIN,HANZAL,DALLAS,STARS
"Dec 02, 2017","Hamstring, injured reserve.",MARTIN,HANZAL,DALLAS,STARS
"Nov 30, 2017","Undisclosed, day-to-day.",MARTIN,HANZAL,DALLAS,STARS
"Nov 24, 2017",Missed 2 games (hand injury).,MARTIN,HANZAL,DALLAS,STARS
"Nov 20, 2017","Hand injury, day-to-day.",MARTIN,HANZAL,DALLAS,STARS
"Nov 06, 2017",Missed 3 games (lower body injury).,MARTIN,HANZAL,DALLAS,STARS
"Oct 30, 2017","Lower body injury, day-to-day.",MARTIN,HANZAL,DALLAS,STARS
"Jul 01, 2017",Signed as an unrestricted free agent by the Dallas Stars to a three-year contract.,MARTIN,HANZAL,DALLAS,STARS
"Mar 18, 2017",Missed 3 games (strep throat).,MARTIN,HANZAL,DALLAS,STARS
"Mar 12, 2017","Illness, day-to-day.",MARTIN,HANZAL,DALLAS,STARS
