Date,Injury,Firstname,Lastname,City,TeamName
"Feb 11, 2018",Missed 1 game (upper body injury).,JULIUS,HONKA,DALLAS,STARS
"Feb 09, 2018","Upper body injury, day-to-day.",JULIUS,HONKA,DALLAS,STARS
"Jan 29, 2018",Recalled from the Texas Stars (AHL).,JULIUS,HONKA,DALLAS,STARS
"Jan 26, 2018",Assigned to the Texas Stars (AHL).,JULIUS,HONKA,DALLAS,STARS
"Nov 23, 2017",Recalled from the Texas Stars (AHL).,JULIUS,HONKA,DALLAS,STARS
"Nov 22, 2017",Assigned to the Texas Stars (AHL).,JULIUS,HONKA,DALLAS,STARS
"Nov 20, 2017",Recalled from the Texas Stars (AHL).,JULIUS,HONKA,DALLAS,STARS
"Oct 31, 2017",Assigned to the Texas Stars (AHL).,JULIUS,HONKA,DALLAS,STARS
"Apr 09, 2017",Assigned to the Texas Stars (AHL).,JULIUS,HONKA,DALLAS,STARS
"Mar 29, 2017",Recalled from the Texas Stars (AHL).,JULIUS,HONKA,DALLAS,STARS
"Feb 10, 2017",Assigned to the Texas Stars (AHL).,JULIUS,HONKA,DALLAS,STARS
"Jan 20, 2017",Recalled from the Texas Stars (AHL).,JULIUS,HONKA,DALLAS,STARS
"Dec 16, 2016",Assigned to the Texas Stars (AHL).,JULIUS,HONKA,DALLAS,STARS
"Dec 16, 2016",Missed 5 games (upper body injury).,JULIUS,HONKA,DALLAS,STARS
"Dec 09, 2016","Upper body injury, injured reserve.",JULIUS,HONKA,DALLAS,STARS
"Dec 07, 2016","Upper body injury, day-to-day.",JULIUS,HONKA,DALLAS,STARS
"Nov 20, 2016",Recalled from the Texas Stars (AHL).,JULIUS,HONKA,DALLAS,STARS
"Oct 09, 2016",Assigned to the Texas Stars (AHL).,JULIUS,HONKA,DALLAS,STARS
"May 05, 2016",Recalled from the Texas Stars (AHL).,JULIUS,HONKA,DALLAS,STARS
"Sep 28, 2015",Assigned to the Texas Stars (AHL).,JULIUS,HONKA,DALLAS,STARS
"Sep 30, 2014",Assigned to the Texas Stars (AHL).,JULIUS,HONKA,DALLAS,STARS
"Jul 13, 2014",Signed by the Dallas Stars to a three-year entry-level contract.,JULIUS,HONKA,DALLAS,STARS
