Date,Injury,Firstname,Lastname,City,TeamName
"Nov 24, 2017",Missed 2 games (personal reasons).,KARI,LEHTONEN,DALLAS,STARS
"Nov 20, 2017","Personal reasons, sidelined indefinitely.",KARI,LEHTONEN,DALLAS,STARS
"Dec 02, 2015",Missed 3 games (upper body injury).,KARI,LEHTONEN,DALLAS,STARS
"Nov 26, 2015","Upper body injury, injured reserve.",KARI,LEHTONEN,DALLAS,STARS
"Mar 18, 2014",Missed 3 games (concussion).,KARI,LEHTONEN,DALLAS,STARS
"Mar 10, 2014","Concussion, day-to-day.",KARI,LEHTONEN,DALLAS,STARS
"Oct 21, 2013",Missed 5 games (lower body injury).,KARI,LEHTONEN,DALLAS,STARS
"Oct 14, 2013","Lower body injury, injured reserve.",KARI,LEHTONEN,DALLAS,STARS
"Oct 12, 2013","Lower body injury, day-to-day.",KARI,LEHTONEN,DALLAS,STARS
"Apr 18, 2013",Missed 3 games (groin).,KARI,LEHTONEN,DALLAS,STARS
"Apr 12, 2013","Groin, day-to-day.",KARI,LEHTONEN,DALLAS,STARS
"Feb 28, 2013",Missed 5 games (strained groin).,KARI,LEHTONEN,DALLAS,STARS
"Feb 16, 2013","Strained groin, injured reserve.",KARI,LEHTONEN,DALLAS,STARS
"Sep 14, 2012",Signed by the Dallas Stars to a five-year contract extension.,KARI,LEHTONEN,DALLAS,STARS
"Dec 28, 2011",Missed 12 games (groin).,KARI,LEHTONEN,DALLAS,STARS
"Nov 27, 2011","Groin, injured reserve.",KARI,LEHTONEN,DALLAS,STARS
"Dec 16, 2010",Missed 4 games (back injury).,KARI,LEHTONEN,DALLAS,STARS
"Dec 08, 2010","Back injury, day-to-day.",KARI,LEHTONEN,DALLAS,STARS
"May 11, 2010",Signed by the Dallas Stars to a three-year contract extension.,KARI,LEHTONEN,DALLAS,STARS
"Feb 09, 2010",Acquired from the Atlanta Thrashers.,KARI,LEHTONEN,DALLAS,STARS
"Jan 24, 2010",Assigned to Chicago (AHL) on a conditioning assignment.,KARI,LEHTONEN,DALLAS,STARS
"Sep 16, 2009","Back surgery, sidelined indefinitely.",KARI,LEHTONEN,DALLAS,STARS
"Jul 15, 2009",Re-signed as a restricted free agent by the Atlanta Thrashers.,KARI,LEHTONEN,DALLAS,STARS
"Apr 11, 2009",Missed 6 games (upper body injury).,KARI,LEHTONEN,DALLAS,STARS
"Mar 28, 2009","Upper body injury, day-to-day.",KARI,LEHTONEN,DALLAS,STARS
"Dec 20, 2008",Missed 21 games (back injury).,KARI,LEHTONEN,DALLAS,STARS
"Nov 01, 2008","Back injury, day-to-day.",KARI,LEHTONEN,DALLAS,STARS
"Jul 16, 2008",Re-signed as a restricted free agent by the Atlanta Thrashers.,KARI,LEHTONEN,DALLAS,STARS
"Dec 01, 2007",Recalled from Chicago (AHL).,KARI,LEHTONEN,DALLAS,STARS
"Nov 26, 2007",Missed 16 games (groin) and assigned to Chicago (AHL).,KARI,LEHTONEN,DALLAS,STARS
"Oct 19, 2007","Groin, sidelined indefinitely.",KARI,LEHTONEN,DALLAS,STARS
"Sep 07, 2006",Re-signed as a restricted free agent by the Atlanta Thrashers to a two-year contract.,KARI,LEHTONEN,DALLAS,STARS
"Apr 18, 2006",Missed the last 6 games of the regular season (sprained ankle).,KARI,LEHTONEN,DALLAS,STARS
"Apr 07, 2006","Sprained ankle, sidelined indefinitely.",KARI,LEHTONEN,DALLAS,STARS
"Dec 26, 2005",Missed 35 games (groin).,KARI,LEHTONEN,DALLAS,STARS
"Oct 06, 2005","Groin, sidelined indefinitely.",KARI,LEHTONEN,DALLAS,STARS
"Sep 16, 2004",Assigned to Chicago (AHL).,KARI,LEHTONEN,DALLAS,STARS
"Apr 05, 2004",Assigned to Chicago (AHL).,KARI,LEHTONEN,DALLAS,STARS
"Mar 12, 2004",Recalled from Chicago (AHL).,KARI,LEHTONEN,DALLAS,STARS
"Sep 29, 2003",Assigned to Chicago (AHL).,KARI,LEHTONEN,DALLAS,STARS
"Jun 04, 2003",Signed by the Atlanta Thrashers.,KARI,LEHTONEN,DALLAS,STARS
