Date,Injury,Firstname,Lastname,City,TeamName
"Feb 16, 2018",Missed 14 games (knee surgery).,MARC,METHOT,DALLAS,STARS
"Jan 13, 2018","Knee surgery, injured reserve.",MARC,METHOT,DALLAS,STARS
"Jan 04, 2018",Missed 26 games (knee injury).,MARC,METHOT,DALLAS,STARS
"Nov 20, 2017","Knee injury, injured reserve.",MARC,METHOT,DALLAS,STARS
"Nov 09, 2017","Lower body injury, day-to-day.",MARC,METHOT,DALLAS,STARS
"Jun 26, 2017",Acquired from the Vegas Golden Knights.,MARC,METHOT,DALLAS,STARS
"Jun 21, 2017",Selected by the Vegas Golden Knights from the Ottawa Senators in the NHL Expansion Draft.,MARC,METHOT,DALLAS,STARS
"Apr 15, 2017",Missed the last 9 regular season and first playoff games (finger injury).,MARC,METHOT,DALLAS,STARS
"Mar 24, 2017","Finger injury, sidelined indefinitely.",MARC,METHOT,DALLAS,STARS
"Feb 18, 2017",Missed 1 game (illness).,MARC,METHOT,DALLAS,STARS
"Feb 16, 2017","Illness, day-to-day.",MARC,METHOT,DALLAS,STARS
"Dec 10, 2016",Missed 4 games (lower body injury).,MARC,METHOT,DALLAS,STARS
"Dec 01, 2016","Lower body injury, day-to-day.",MARC,METHOT,DALLAS,STARS
"Apr 09, 2016",Missed the last regular season game (flu).,MARC,METHOT,DALLAS,STARS
"Apr 09, 2016","Flu, day-to-day.",MARC,METHOT,DALLAS,STARS
"Apr 07, 2016",Missed 2 games (flu).,MARC,METHOT,DALLAS,STARS
"Apr 02, 2016","Flu, day-to-day.",MARC,METHOT,DALLAS,STARS
"Feb 04, 2016",Missed 6 games (lower body injury).,MARC,METHOT,DALLAS,STARS
"Jan 18, 2016","Lower body injury, day-to-day.",MARC,METHOT,DALLAS,STARS
"Oct 28, 2015",Missed 3 games (concussion).,MARC,METHOT,DALLAS,STARS
"Oct 20, 2015","Concussion, sidelined indefinitely.",MARC,METHOT,DALLAS,STARS
"Oct 17, 2015","Illness, day-to-day.",MARC,METHOT,DALLAS,STARS
"Feb 16, 2015",Signed by the Ottawa Senators to a four-year contract extension.,MARC,METHOT,DALLAS,STARS
"Jan 08, 2015",Missed 2 games (back injury).,MARC,METHOT,DALLAS,STARS
"Jan 05, 2015",Recalled from the Binghamton Senators (AHL).,MARC,METHOT,DALLAS,STARS
"Jan 04, 2015","Back injury, day-to-day.",MARC,METHOT,DALLAS,STARS
"Jan 03, 2015",Missed 10 games (back injury).,MARC,METHOT,DALLAS,STARS
"Jan 02, 2015",Assigned to the Binghamton Senators (AHL) for conditioning purposes.,MARC,METHOT,DALLAS,STARS
"Dec 15, 2014","Back injury, injured reserve.",MARC,METHOT,DALLAS,STARS
"Dec 07, 2014","Undisclosed, day-to-day.",MARC,METHOT,DALLAS,STARS
"Dec 04, 2014",Missed 24 games (back injury).,MARC,METHOT,DALLAS,STARS
"Oct 06, 2014","Back injury, injured reserve.",MARC,METHOT,DALLAS,STARS
"Dec 18, 2013",Missed 4 games (flu).,MARC,METHOT,DALLAS,STARS
"Dec 12, 2013","Flu, day-to-day.",MARC,METHOT,DALLAS,STARS
"Dec 03, 2013",Missed 1 game (flu).,MARC,METHOT,DALLAS,STARS
"Dec 01, 2013","Flu, day-to-day.",MARC,METHOT,DALLAS,STARS
"Mar 23, 2013",Missed 1 game (knee injury).,MARC,METHOT,DALLAS,STARS
"Mar 21, 2013","Knee injury, day-to-day.",MARC,METHOT,DALLAS,STARS
"Jul 01, 2012",Acquired from the Columbus Blue Jackets.,MARC,METHOT,DALLAS,STARS
"Apr 07, 2012",Missed the last 28 regular season games (broken jaw).,MARC,METHOT,DALLAS,STARS
"Feb 10, 2012","Broken jaw, injured reserve.",MARC,METHOT,DALLAS,STARS
"Feb 03, 2012",Missed 2 games (illness).,MARC,METHOT,DALLAS,STARS
"Jan 31, 2012","Illness, day-to-day.",MARC,METHOT,DALLAS,STARS
"Nov 03, 2011",Missed 5 games (thumb injury).,MARC,METHOT,DALLAS,STARS
"Oct 22, 2011","Thumb injury, day-to-day.",MARC,METHOT,DALLAS,STARS
"Oct 21, 2011",Missed 1 game (lower body injury).,MARC,METHOT,DALLAS,STARS
"Oct 18, 2011","Lower body injury, day-to-day.",MARC,METHOT,DALLAS,STARS
"Jul 05, 2011",Re-signed as a restricted free agent by the Columbus Blue Jackets to a four-year contract.,MARC,METHOT,DALLAS,STARS
"Mar 17, 2011",Missed 1 game (lower body injury).,MARC,METHOT,DALLAS,STARS
"Mar 15, 2011","Lower body injury, day-to-day.",MARC,METHOT,DALLAS,STARS
"Feb 22, 2011",Missed 1 game (undisclosed).,MARC,METHOT,DALLAS,STARS
"Feb 18, 2011","Undisclosed, day-to-day.",MARC,METHOT,DALLAS,STARS
"Dec 04, 2010",Missed 5 games (upper body injury).,MARC,METHOT,DALLAS,STARS
"Nov 23, 2010","Upper body injury, day-to-day.",MARC,METHOT,DALLAS,STARS
"Jan 28, 2010",Missed 3 games (illness).,MARC,METHOT,DALLAS,STARS
"Jan 21, 2010","Illness, day-to-day.",MARC,METHOT,DALLAS,STARS
"Jan 18, 2010",Missed 12 games (upper body injury).,MARC,METHOT,DALLAS,STARS
"Dec 26, 2009","Upper body injury, day-to-day.",MARC,METHOT,DALLAS,STARS
"Dec 05, 2009",Missed 2 games (upper body injury).,MARC,METHOT,DALLAS,STARS
"Dec 01, 2009","Upper body injury, day-to-day.",MARC,METHOT,DALLAS,STARS
"Jul 22, 2009",Re-signed as a restricted free agent by the Columbus Blue Jackets to a two-year contract.,MARC,METHOT,DALLAS,STARS
"Mar 18, 2009",Missed 2 games (upper body injury).,MARC,METHOT,DALLAS,STARS
"Mar 13, 2009","Upper body injury, day-to-day.",MARC,METHOT,DALLAS,STARS
"Feb 13, 2009",Missed 3 games (flu).,MARC,METHOT,DALLAS,STARS
"Feb 06, 2009","Flu, day-to-day.",MARC,METHOT,DALLAS,STARS
"Nov 14, 2008",Missed 1 game (knee injury).,MARC,METHOT,DALLAS,STARS
"Nov 12, 2008","Knee injury, day-to-day.",MARC,METHOT,DALLAS,STARS
"Jul 16, 2008",Re-signed as a restricted free agent by the Columbus Blue Jackets.,MARC,METHOT,DALLAS,STARS
"Apr 02, 2008",Assigned to Syracuse (AHL).,MARC,METHOT,DALLAS,STARS
"Mar 30, 2008",Recalled from Syracuse (AHL).,MARC,METHOT,DALLAS,STARS
"Feb 13, 2008",Assigned to Syracuse (AHL).,MARC,METHOT,DALLAS,STARS
"Jan 28, 2008",Recalled from Syracuse (AHL).,MARC,METHOT,DALLAS,STARS
"Jan 23, 2008",Assigned to Syracuse (AHL).,MARC,METHOT,DALLAS,STARS
"Jan 09, 2008",Recalled from Syracuse (AHL).,MARC,METHOT,DALLAS,STARS
"Dec 04, 2007",Assigned to Syracuse (AHL).,MARC,METHOT,DALLAS,STARS
"Nov 28, 2007",Recalled from Syracuse (AHL).,MARC,METHOT,DALLAS,STARS
"Oct 03, 2007",Assigned to Syracuse (AHL).,MARC,METHOT,DALLAS,STARS
"Apr 08, 2007",Assigned to Syracuse (AHL).,MARC,METHOT,DALLAS,STARS
"Feb 24, 2007",Recalled from Syracuse (AHL).,MARC,METHOT,DALLAS,STARS
"Sep 25, 2006",Assigned to Syracuse (AHL).,MARC,METHOT,DALLAS,STARS
"Sep 30, 2005",Assigned to Syracuse (AHL).,MARC,METHOT,DALLAS,STARS
"Jul 28, 2005","Signed by the Columbus Blue Jackets to a three-year, entry-level contract.",MARC,METHOT,DALLAS,STARS
"Sep 19, 2003",Returned to his junior team (London-OHL).,MARC,METHOT,DALLAS,STARS
