Date,Injury,Firstname,Lastname,City,TeamName
"Feb 27, 2017",Acquired from the Montreal Canadiens.,GREG,PATERYN,DALLAS,STARS
"Jan 31, 2017",Missed 24 games (fractured ankle).,GREG,PATERYN,DALLAS,STARS
"Dec 10, 2016","Fractured ankle, injured reserve.",GREG,PATERYN,DALLAS,STARS
"Dec 08, 2016","Fractured ankle, sidelined indefinitely.",GREG,PATERYN,DALLAS,STARS
"Nov 08, 2015",Recalled from the St. John's IceCaps (AHL).,GREG,PATERYN,DALLAS,STARS
"Nov 03, 2015",Assigned to the St. John's IceCaps (AHL) for conditioning purposes.,GREG,PATERYN,DALLAS,STARS
"Jul 01, 2015",Signed by the Montreal Canadiens to a two-year contract extension.,GREG,PATERYN,DALLAS,STARS
"Mar 13, 2015",Recalled from the Hamilton Bulldogs (AHL).,GREG,PATERYN,DALLAS,STARS
"Mar 02, 2015",Assigned to the Hamilton Bulldogs (AHL).,GREG,PATERYN,DALLAS,STARS
"Feb 15, 2015",Recalled from the Hamilton Bulldogs (AHL).,GREG,PATERYN,DALLAS,STARS
"Oct 02, 2014",Assigned to the Hamilton Bulldogs (AHL).,GREG,PATERYN,DALLAS,STARS
"May 08, 2014",Signed by the Montreal Canadiens to a two-year contract extension.,GREG,PATERYN,DALLAS,STARS
"Apr 21, 2014",Recalled from the Hamilton Bulldogs (AHL).,GREG,PATERYN,DALLAS,STARS
"Nov 13, 2013",Assigned to Hamilton (AHL).,GREG,PATERYN,DALLAS,STARS
"Nov 09, 2013",Recalled from Hamilton (AHL).,GREG,PATERYN,DALLAS,STARS
"Nov 08, 2013",Assigned to Hamilton (AHL).,GREG,PATERYN,DALLAS,STARS
"Oct 27, 2013",Recalled from Hamilton (AHL).,GREG,PATERYN,DALLAS,STARS
"Oct 26, 2013",Assigned to Hamilton (AHL).,GREG,PATERYN,DALLAS,STARS
"Oct 23, 2013",Recalled from Hamilton (AHL).,GREG,PATERYN,DALLAS,STARS
"Sep 26, 2013",Assigned to Hamilton (AHL).,GREG,PATERYN,DALLAS,STARS
"Apr 22, 2013",Recalled from Hamilton (AHL).,GREG,PATERYN,DALLAS,STARS
"Mar 13, 2013",Assigned to Hamilton (AHL).,GREG,PATERYN,DALLAS,STARS
"Mar 07, 2013",Recalled from Hamilton (AHL).,GREG,PATERYN,DALLAS,STARS
"Sep 17, 2012",Assigned to Hamilton (AHL).,GREG,PATERYN,DALLAS,STARS
"Mar 28, 2012",Signed by the Montreal Canadiens to a two-year entry-level contract.,GREG,PATERYN,DALLAS,STARS
"Jul 03, 2008",Acquired from the Toronto Maple Leafs.,GREG,PATERYN,DALLAS,STARS
