Date,Injury,Firstname,Lastname,City,TeamName
"Nov 13, 2017",Missed 2 games (undisclosed).,TYLER,PITLICK,DALLAS,STARS
"Nov 10, 2017","Undisclosed, injured reserve.",TYLER,PITLICK,DALLAS,STARS
"Nov 06, 2017","Undisclosed, day-to-day.",TYLER,PITLICK,DALLAS,STARS
"Jul 01, 2017",Signed as an unrestricted free agent by the Dallas Stars to a one-year contract.,TYLER,PITLICK,DALLAS,STARS
"May 10, 2017",Missed the last 48 regular season and all 13 playoff games (leg injury).,TYLER,PITLICK,DALLAS,STARS
"Dec 21, 2016","Leg injury, injured reserve.",TYLER,PITLICK,DALLAS,STARS
"Jun 17, 2016",Signed by the Edmonton Oilers to a one-year contract extension.,TYLER,PITLICK,DALLAS,STARS
"Oct 29, 2015",Assigned to the Bakersfield Condors (AHL).,TYLER,PITLICK,DALLAS,STARS
"Oct 28, 2015",Recalled from the Bakersfield Condors (AHL).,TYLER,PITLICK,DALLAS,STARS
"Sep 27, 2015",Placed on waivers by the Edmonton Oilers for the purpose of being assigned to the Bakersfield Condors (AHL).,TYLER,PITLICK,DALLAS,STARS
"Jul 16, 2015",Re-signed as a restricted free agent by the Edmonton Oilers to a one-year contract.,TYLER,PITLICK,DALLAS,STARS
"Apr 07, 2015",Missed 41 games (spleen).,TYLER,PITLICK,DALLAS,STARS
"Jan 02, 2015","Spleen, injured reserve.",TYLER,PITLICK,DALLAS,STARS
"Dec 01, 2014",Recalled from the Oklahoma City Barons (AHL).,TYLER,PITLICK,DALLAS,STARS
"Oct 05, 2014",Placed on waivers by the Edmonton Oilers for the purpose of being assigned to the Oklahoma City Barons (AHL).,TYLER,PITLICK,DALLAS,STARS
"Jul 15, 2014",Re-signed as a restricted free agent by the Edmonton Oilers to a one-year contract.,TYLER,PITLICK,DALLAS,STARS
"Jun 30, 2014",Edmonton Oilers tendered a qualifying offer.,TYLER,PITLICK,DALLAS,STARS
"Apr 13, 2014",Assigned to the Oklahoma City Barons (AHL).,TYLER,PITLICK,DALLAS,STARS
"Mar 19, 2014",Recalled from the Oklahoma City Barons (AHL) on an emergency basis.,TYLER,PITLICK,DALLAS,STARS
"Dec 09, 2013",Assigned to Oklahoma City (AHL).,TYLER,PITLICK,DALLAS,STARS
"Dec 09, 2013",Missed 19 games (sprained left knee).,TYLER,PITLICK,DALLAS,STARS
"Oct 28, 2013","Sprained left knee, injured reserve.",TYLER,PITLICK,DALLAS,STARS
"Oct 27, 2013","Sprained left knee, day-to-day.",TYLER,PITLICK,DALLAS,STARS
"Oct 21, 2013",Recalled from Oklahoma City (AHL).,TYLER,PITLICK,DALLAS,STARS
"Sep 24, 2013",Assigned to Oklahoma City (AHL).,TYLER,PITLICK,DALLAS,STARS
"Sep 15, 2012",Assigned to Oklahoma City (AHL).,TYLER,PITLICK,DALLAS,STARS
"Sep 26, 2011",Assigned to Oklahoma City (AHL).,TYLER,PITLICK,DALLAS,STARS
"Apr 13, 2011",Signed by the Edmonton Oilers to a three-year entry-level contract.,TYLER,PITLICK,DALLAS,STARS
"Sep 24, 2010",Returned to his junior team (Medicine Hat-WHL).,TYLER,PITLICK,DALLAS,STARS
