Date,Injury,Firstname,Lastname,City,TeamName
"Jul 11, 2017",Re-signed as a restricted free agent by the Dallas Stars to a one-year two-way contract.,GEMEL,SMITH,DALLAS,STARS
"Jun 26, 2017",Dallas Stars tendered a qualifying offer.,GEMEL,SMITH,DALLAS,STARS
"Apr 09, 2017",Assigned to the Texas Stars (AHL).,GEMEL,SMITH,DALLAS,STARS
"Mar 31, 2017",Recalled from the Texas Stars (AHL).,GEMEL,SMITH,DALLAS,STARS
"Nov 18, 2016",Assigned to the Texas Stars (AHL).,GEMEL,SMITH,DALLAS,STARS
"Oct 21, 2016",Recalled from the Texas Stars (AHL).,GEMEL,SMITH,DALLAS,STARS
"Oct 09, 2016",Assigned to the Texas Stars (AHL).,GEMEL,SMITH,DALLAS,STARS
"Dec 14, 2015",Re-assigned to the Texas Stars (AHL).,GEMEL,SMITH,DALLAS,STARS
"Dec 03, 2015",Re-assigned to the Idaho Steelheads (ECHL).,GEMEL,SMITH,DALLAS,STARS
"Sep 27, 2015",Assigned to the Texas Stars (AHL).,GEMEL,SMITH,DALLAS,STARS
"Sep 28, 2014",Assigned to the Texas Stars (AHL).,GEMEL,SMITH,DALLAS,STARS
"May 31, 2014",Signed by the Dallas Stars to a three-year entry-level contract.,GEMEL,SMITH,DALLAS,STARS
