Date,Injury,Firstname,Lastname,City,TeamName
"Mar 24, 2017",Missed 2 games (back injury).,JASON,SPEZZA,DALLAS,STARS
"Mar 20, 2017","Back injury, day-to-day.",JASON,SPEZZA,DALLAS,STARS
"Feb 14, 2017",Missed 5 games (upper body injury).,JASON,SPEZZA,DALLAS,STARS
"Feb 03, 2017","Upper body injury, injured reserve.",JASON,SPEZZA,DALLAS,STARS
"Nov 15, 2016",Missed 5 games (lower body injury).,JASON,SPEZZA,DALLAS,STARS
"Nov 06, 2016","Lower body injury, day-to-day.",JASON,SPEZZA,DALLAS,STARS
"Oct 29, 2016",Missed 2 games (lower body injury).,JASON,SPEZZA,DALLAS,STARS
"Oct 25, 2016","Undisclosed, day-to-day.",JASON,SPEZZA,DALLAS,STARS
"Apr 08, 2016",Missed 1 game (illness).,JASON,SPEZZA,DALLAS,STARS
"Apr 07, 2016","Illness, day-to-day.",JASON,SPEZZA,DALLAS,STARS
"Feb 18, 2016",Missed 6 games (upper body injury).,JASON,SPEZZA,DALLAS,STARS
"Feb 05, 2016","Upper body injury, injured reserve.",JASON,SPEZZA,DALLAS,STARS
"Nov 21, 2014",Signed by the Dallas Stars to a four-year contract extension.,JASON,SPEZZA,DALLAS,STARS
"Jul 01, 2014",Acquired from the Ottawa Senators.,JASON,SPEZZA,DALLAS,STARS
"Apr 04, 2014",Missed 2 games (lower body injury).,JASON,SPEZZA,DALLAS,STARS
"Mar 31, 2014","Lower body injury, day-to-day.",JASON,SPEZZA,DALLAS,STARS
"Jan 08, 2014",Missed 4 games (lower body injury).,JASON,SPEZZA,DALLAS,STARS
"Jan 02, 2014","Lower body injury, injured reserve.",JASON,SPEZZA,DALLAS,STARS
"Dec 28, 2013","Lower body injury, day-to-day.",JASON,SPEZZA,DALLAS,STARS
"Oct 12, 2013",Missed 1 game (strained groin).,JASON,SPEZZA,DALLAS,STARS
"Oct 09, 2013","Strained groin, day-to-day.",JASON,SPEZZA,DALLAS,STARS
"May 19, 2013",Missed the last 43 regular season and first 7 playoff games (back injury).,JASON,SPEZZA,DALLAS,STARS
"Feb 01, 2013","Back injury, injured reserve.",JASON,SPEZZA,DALLAS,STARS
"Jan 29, 2013","Back injury, day-to-day.",JASON,SPEZZA,DALLAS,STARS
"Sep 19, 2012",Signed with Rapperswil-Jona Lakers (Switzerland).,JASON,SPEZZA,DALLAS,STARS
"Apr 03, 2012",Missed 1 game (personal reasons).,JASON,SPEZZA,DALLAS,STARS
"Apr 01, 2012","Personal reasons, day-to-day.",JASON,SPEZZA,DALLAS,STARS
"Mar 23, 2012",Missed 1 game (flu).,JASON,SPEZZA,DALLAS,STARS
"Mar 20, 2012","Flu, day-to-day.",JASON,SPEZZA,DALLAS,STARS
"Feb 05, 2011",Missed 15 games (right shoulder injury).,JASON,SPEZZA,DALLAS,STARS
