Date,Injury,Firstname,Lastname,City,TeamName
"Feb 27, 2018",Missed 9 games (hand surgery).,JONAS,BRODIN,MINNESOTA,WILD
"Feb 07, 2018","Hand surgery, sidelined indefinitely.",JONAS,BRODIN,MINNESOTA,WILD
"Feb 18, 2017",Missed 14 games (broken finger).,JONAS,BRODIN,MINNESOTA,WILD
"Feb 13, 2017","Broken finger, injured reserve.",JONAS,BRODIN,MINNESOTA,WILD
"Jan 18, 2017","Broken finger, sidelined indefinitely.",JONAS,BRODIN,MINNESOTA,WILD
"Feb 29, 2016",Missed 12 games (broken foot).,JONAS,BRODIN,MINNESOTA,WILD
"Feb 06, 2016","Broken foot, injured reserve.",JONAS,BRODIN,MINNESOTA,WILD
"Nov 21, 2015",Missed 1 game (illness).,JONAS,BRODIN,MINNESOTA,WILD
"Nov 19, 2015","Illness, day-to-day.",JONAS,BRODIN,MINNESOTA,WILD
"Jan 02, 2015",Missed 2 games (upper body injury).,JONAS,BRODIN,MINNESOTA,WILD
"Dec 29, 2014","Upper body injury, day-to-day.",JONAS,BRODIN,MINNESOTA,WILD
"Nov 28, 2014",Missed 7 games (illness).,JONAS,BRODIN,MINNESOTA,WILD
"Nov 16, 2014","Illness, injured reserve.",JONAS,BRODIN,MINNESOTA,WILD
"Nov 13, 2014","Illness, day-to-day.",JONAS,BRODIN,MINNESOTA,WILD
"Nov 01, 2014",Missed 2 games (upper body injury).,JONAS,BRODIN,MINNESOTA,WILD
"Oct 28, 2014","Upper body injury, day-to-day.",JONAS,BRODIN,MINNESOTA,WILD
"Oct 12, 2014",Signed by the Minnesota Wild to a six-year contract extension.,JONAS,BRODIN,MINNESOTA,WILD
"Nov 01, 2013",Missed 3 games (cheekbone injury).,JONAS,BRODIN,MINNESOTA,WILD
"Oct 24, 2013","Cheekbone injury, sidelined indefinitely.",JONAS,BRODIN,MINNESOTA,WILD
"Jan 24, 2013",Recalled from Houston (AHL).,JONAS,BRODIN,MINNESOTA,WILD
"Sep 14, 2012",Assigned to Houston (AHL).,JONAS,BRODIN,MINNESOTA,WILD
"Jul 12, 2011",Signed by the Minnesota Wild to a three-year entry-level contract.,JONAS,BRODIN,MINNESOTA,WILD
