Date,Injury,Firstname,Lastname,City,TeamName
"Aug 16, 2017",Signed as an unrestricted free agent by the Minnesota Wild to a one-year contract.,MATT,CULLEN,MINNESOTA,WILD
"Mar 15, 2017",Missed 3 games (undisclosed).,MATT,CULLEN,MINNESOTA,WILD
"Mar 10, 2017","Undisclosed, day-to-day.",MATT,CULLEN,MINNESOTA,WILD
"Feb 03, 2017",Missed 6 games (foot injury).,MATT,CULLEN,MINNESOTA,WILD
"Jan 17, 2017","Foot injury, sidelined indefinitely.",MATT,CULLEN,MINNESOTA,WILD
"Aug 17, 2016",Re-signed as an unrestricted free agent by the Pittsburgh Penguins to a one-year contract.,MATT,CULLEN,MINNESOTA,WILD
"Aug 06, 2015",Signed as an unrestricted free agent by the Pittsburgh Penguins to a one-year contract.,MATT,CULLEN,MINNESOTA,WILD
"Apr 04, 2015",Missed 5 games (lower body injury).,MATT,CULLEN,MINNESOTA,WILD
"Mar 24, 2015","Lower body injury, day-to-day.",MATT,CULLEN,MINNESOTA,WILD
"Jan 09, 2015",Missed 6 games (upper body injury).,MATT,CULLEN,MINNESOTA,WILD
"Jan 02, 2015","Upper body injury, injured reserve.",MATT,CULLEN,MINNESOTA,WILD
"Dec 29, 2014","Upper body injury, day-to-day.",MATT,CULLEN,MINNESOTA,WILD
"Nov 29, 2014",Missed 1 game (upper body injury).,MATT,CULLEN,MINNESOTA,WILD
"Nov 27, 2014","Upper body injury, day-to-day.",MATT,CULLEN,MINNESOTA,WILD
"Oct 28, 2014",Missed 8 games (upper body injury).,MATT,CULLEN,MINNESOTA,WILD
"Oct 07, 2014","Upper body injury, injured reserve.",MATT,CULLEN,MINNESOTA,WILD
"Feb 27, 2014",Missed 1 game (undisclosed).,MATT,CULLEN,MINNESOTA,WILD
"Feb 08, 2014","Undisclosed, day-to-day.",MATT,CULLEN,MINNESOTA,WILD
"Feb 06, 2014",Missed 4 games (upper body injury).,MATT,CULLEN,MINNESOTA,WILD
"Jan 26, 2014","Upper body injury, day-to-day.",MATT,CULLEN,MINNESOTA,WILD
"Jul 05, 2013",Signed as an unrestricted free agent by the Nashville Predators to a two-year contract.,MATT,CULLEN,MINNESOTA,WILD
"Apr 15, 2013",Missed 6 games (lower body injury).,MATT,CULLEN,MINNESOTA,WILD
"Apr 03, 2013","Lower body injury, day-to-day.",MATT,CULLEN,MINNESOTA,WILD
"Apr 07, 2012",Missed the last 8 regular season games (finger injury).,MATT,CULLEN,MINNESOTA,WILD
"Mar 25, 2012","Finger injury, sidelined indefinitely.",MATT,CULLEN,MINNESOTA,WILD
"Dec 14, 2011",Missed 1 game (flu).,MATT,CULLEN,MINNESOTA,WILD
"Dec 13, 2011","Flu, day-to-day.",MATT,CULLEN,MINNESOTA,WILD
"Feb 09, 2011",Missed 1 game (upper body injury).,MATT,CULLEN,MINNESOTA,WILD
"Feb 05, 2011","Upper body injury, day-to-day.",MATT,CULLEN,MINNESOTA,WILD
"Dec 18, 2010",Missed 3 games (groin).,MATT,CULLEN,MINNESOTA,WILD
"Dec 11, 2010","Groin, day-to-day.",MATT,CULLEN,MINNESOTA,WILD
"Jul 01, 2010",Signed as an unrestricted free agent by the Minnesota Wild to a three-year contract.,MATT,CULLEN,MINNESOTA,WILD
"Feb 12, 2010",Acquired from the Carolina Hurricanes.,MATT,CULLEN,MINNESOTA,WILD
"Apr 15, 2009",Missed the last 8 games of the regular season (lower body injury).,MATT,CULLEN,MINNESOTA,WILD
"Mar 23, 2009","Lower body injury, day-to-day.",MATT,CULLEN,MINNESOTA,WILD
"Nov 12, 2008",Missed 6 games (leg injury).,MATT,CULLEN,MINNESOTA,WILD
"Nov 02, 2008","Leg injury, day-to-day.",MATT,CULLEN,MINNESOTA,WILD
"Apr 02, 2008",Missed 7 games (post concussion).,MATT,CULLEN,MINNESOTA,WILD
"Mar 16, 2008","Post concussion, day-to-day.",MATT,CULLEN,MINNESOTA,WILD
"Feb 16, 2008",Missed 7 games (dizzyness).,MATT,CULLEN,MINNESOTA,WILD
"Jan 31, 2008","Dizzyness, day-to-day.",MATT,CULLEN,MINNESOTA,WILD
"Jan 17, 2008",Missed 7 games (broken nose).,MATT,CULLEN,MINNESOTA,WILD
"Jan 02, 2008","Broken nose, day-to-day.",MATT,CULLEN,MINNESOTA,WILD
"Dec 31, 2007",Missed 2 games (broken nose).,MATT,CULLEN,MINNESOTA,WILD
"Dec 28, 2007","Broken nose, day-to-day.",MATT,CULLEN,MINNESOTA,WILD
"Jul 17, 2007",Acquired from the New York Rangers.,MATT,CULLEN,MINNESOTA,WILD
"Dec 21, 2006",Missed 2 games (sprained knee).,MATT,CULLEN,MINNESOTA,WILD
"Dec 17, 2006","Sprained knee, day-to-day.",MATT,CULLEN,MINNESOTA,WILD
"Jul 01, 2006",Signed as an unrestricted free agent by the New York Rangers.,MATT,CULLEN,MINNESOTA,WILD
"Feb 09, 2006",Missed 4 games (broken jaw).,MATT,CULLEN,MINNESOTA,WILD
"Jan 27, 2006","Broken jaw, late February.",MATT,CULLEN,MINNESOTA,WILD
"Aug 08, 2005",Re-signed as a restricted free agent by the Carolina Hurricanes to a one-year contract.,MATT,CULLEN,MINNESOTA,WILD
"Sep 18, 2004",NHL lockout: Signed with the SG Cortina (Italian League).,MATT,CULLEN,MINNESOTA,WILD
"Aug 05, 2004",Signed as an unrestricted free agent by the Carolina Hurricanes.,MATT,CULLEN,MINNESOTA,WILD
"Jun 30, 2004",Florida Panthers did not make qualifying offer.,MATT,CULLEN,MINNESOTA,WILD
"Dec 03, 2003",Missed 23 games (pulled groin muscle).,MATT,CULLEN,MINNESOTA,WILD
"Oct 14, 2003","Pulled groin muscle, sidelined indefinitely.",MATT,CULLEN,MINNESOTA,WILD
"Jan 30, 2003",Acquired from the Mighty Ducks of Anaheim.,MATT,CULLEN,MINNESOTA,WILD
"Aug 03, 2002",Re-signed by the Mighty Ducks of Anaheim to a two-year contract.,MATT,CULLEN,MINNESOTA,WILD
"Jul 31, 2001",Re-signed by the Mighty Ducks of Anaheim.,MATT,CULLEN,MINNESOTA,WILD
