Date,Injury,Firstname,Lastname,City,TeamName
"Dec 27, 2017",Missed 6 games (lower body injury).,DEVAN,DUBNYK,MINNESOTA,WILD
"Dec 14, 2017","Lower body injury, sidelined indefinitely.",DEVAN,DUBNYK,MINNESOTA,WILD
"Mar 11, 2016",Missed 1 game (illness).,DEVAN,DUBNYK,MINNESOTA,WILD
"Mar 10, 2016","Illness, day-to-day.",DEVAN,DUBNYK,MINNESOTA,WILD
"Feb 28, 2016",Missed 1 game (undisclosed).,DEVAN,DUBNYK,MINNESOTA,WILD
"Feb 26, 2016","Undisclosed, day-to-day.",DEVAN,DUBNYK,MINNESOTA,WILD
"Dec 15, 2015",Missed 3 games (groin).,DEVAN,DUBNYK,MINNESOTA,WILD
"Dec 07, 2015","Groin, day-to-day.",DEVAN,DUBNYK,MINNESOTA,WILD
"Jun 27, 2015",Re-signed by the Minnesota Wild to a six-year contract.,DEVAN,DUBNYK,MINNESOTA,WILD
"Jan 14, 2015",Acquired from the Arizona Coyotes.,DEVAN,DUBNYK,MINNESOTA,WILD
"Jul 01, 2014",Signed as an unrestricted free agent by the Arizona Coyotes to a one-year contract.,DEVAN,DUBNYK,MINNESOTA,WILD
"May 22, 2014",Assigned to the Hamilton Bulldogs (AHL).,DEVAN,DUBNYK,MINNESOTA,WILD
"Apr 21, 2014",Recalled from the Hamilton Bulldogs (AHL).,DEVAN,DUBNYK,MINNESOTA,WILD
"Mar 05, 2014",Acquired from the Nashville Predators.,DEVAN,DUBNYK,MINNESOTA,WILD
"Mar 05, 2014",Assigned to the Hamilton Bulldogs (AHL).,DEVAN,DUBNYK,MINNESOTA,WILD
"Mar 03, 2014",Placed on waivers by the Nashville Predators.,DEVAN,DUBNYK,MINNESOTA,WILD
"Jan 15, 2014",Acquired from the Edmonton Oilers.,DEVAN,DUBNYK,MINNESOTA,WILD
"Nov 02, 2013",Missed 2 games (ankle injury).,DEVAN,DUBNYK,MINNESOTA,WILD
"Oct 27, 2013","Ankle injury, day-to-day.",DEVAN,DUBNYK,MINNESOTA,WILD
"Jul 05, 2012",Re-signed as a restricted free agent by the Edmonton Oilers to a two-year contract.,DEVAN,DUBNYK,MINNESOTA,WILD
"Jun 25, 2012",Edmonton Oilers tendered a qualifying offer.,DEVAN,DUBNYK,MINNESOTA,WILD
"Jul 12, 2010",Re-signed as a restricted free agent by the Edmonton Oilers to a two-year contract.,DEVAN,DUBNYK,MINNESOTA,WILD
"Mar 26, 2010",Missed 1 game (virus).,DEVAN,DUBNYK,MINNESOTA,WILD
"Mar 23, 2010","Virus, day-to-day.",DEVAN,DUBNYK,MINNESOTA,WILD
"Mar 01, 2010",Recalled from Springfield (AHL).,DEVAN,DUBNYK,MINNESOTA,WILD
"Feb 12, 2010",Assigned to Springfield (AHL).,DEVAN,DUBNYK,MINNESOTA,WILD
"Feb 09, 2010",Recalled from Springfield (AHL).,DEVAN,DUBNYK,MINNESOTA,WILD
"Feb 04, 2010",Assigned to Springfield (AHL).,DEVAN,DUBNYK,MINNESOTA,WILD
"Jan 02, 2010",Recalled from Springfield (AHL).,DEVAN,DUBNYK,MINNESOTA,WILD
"Jan 01, 2010",Assigned to Springfield (AHL).,DEVAN,DUBNYK,MINNESOTA,WILD
"Dec 15, 2009",Recalled from Springfield (AHL).,DEVAN,DUBNYK,MINNESOTA,WILD
"Dec 12, 2009",Assigned to Springfield (AHL).,DEVAN,DUBNYK,MINNESOTA,WILD
"Nov 22, 2009",Recalled from Springfield (AHL).,DEVAN,DUBNYK,MINNESOTA,WILD
"Sep 27, 2009",Assigned to Springfield (AHL).,DEVAN,DUBNYK,MINNESOTA,WILD
"Jul 16, 2009",Re-signed as a restricted free agent by the Edmonton Oilers.,DEVAN,DUBNYK,MINNESOTA,WILD
"Oct 01, 2008",Assigned to Springfield (AHL).,DEVAN,DUBNYK,MINNESOTA,WILD
"Sep 27, 2007",Assigned to Springfield (AHL).,DEVAN,DUBNYK,MINNESOTA,WILD
"Feb 12, 2007",Re-assigned to Stockton (ECHL).,DEVAN,DUBNYK,MINNESOTA,WILD
"Jan 31, 2007",Re-assigned to Wilkes-Barre/Scranton (AHL).,DEVAN,DUBNYK,MINNESOTA,WILD
"Oct 02, 2006",Assigned to Stockton (ECHL).,DEVAN,DUBNYK,MINNESOTA,WILD
"May 24, 2006",Signed by the Edmonton Oilers to a three-year entry-level contract.,DEVAN,DUBNYK,MINNESOTA,WILD
"Sep 28, 2005",Returned to his junior team (Kamloops-WHL).,DEVAN,DUBNYK,MINNESOTA,WILD
