Date,Injury,Firstname,Lastname,City,TeamName
"Nov 28, 2017","Fined $5,000 by the NHL.",MATT,DUMBA,MINNESOTA,WILD
"Mar 10, 2017",Missed 2 games (illness).,MATT,DUMBA,MINNESOTA,WILD
"Mar 07, 2017","Illness, day-to-day.",MATT,DUMBA,MINNESOTA,WILD
"Feb 21, 2017",Missed 4 games (knee injury).,MATT,DUMBA,MINNESOTA,WILD
"Feb 12, 2017","Lower body injury, day-to-day.",MATT,DUMBA,MINNESOTA,WILD
"Jul 28, 2016",Re-signed as a restricted free agent by the Minnesota Wild to a two-year contract.,MATT,DUMBA,MINNESOTA,WILD
"Jun 25, 2016",Minnesota Wild tendered a qualifying offer.,MATT,DUMBA,MINNESOTA,WILD
"Jan 29, 2015",Recalled from the Iowa Wild (AHL).,MATT,DUMBA,MINNESOTA,WILD
"Jan 21, 2015",Assigned to the Iowa Wild (AHL).,MATT,DUMBA,MINNESOTA,WILD
"Jan 14, 2015",Recalled from the Iowa Wild (AHL).,MATT,DUMBA,MINNESOTA,WILD
"Nov 29, 2014",Assigned to the Iowa Wild (AHL).,MATT,DUMBA,MINNESOTA,WILD
"Jan 07, 2014",Assigned to the Portland Winterhawks (WHL).,MATT,DUMBA,MINNESOTA,WILD
"Dec 11, 2013",Loaned to Team Canada for the 2014 World Junior Hockey Championship.,MATT,DUMBA,MINNESOTA,WILD
"May 06, 2013",Recalled from Houston (AHL).,MATT,DUMBA,MINNESOTA,WILD
"Apr 15, 2013",Re-assigned to Houston (AHL).,MATT,DUMBA,MINNESOTA,WILD
"Jan 27, 2013",Assigned to Red Deer (WHL).,MATT,DUMBA,MINNESOTA,WILD
"Jan 13, 2013",Recalled from Red Deer (WHL).,MATT,DUMBA,MINNESOTA,WILD
"Jul 19, 2012",Signed by the Minnesota Wild to a three-year entry-level contract.,MATT,DUMBA,MINNESOTA,WILD
