Date,Injury,Firstname,Lastname,City,TeamName
"Jun 30, 2017",Acquired from the Buffalo Sabres.,TYLER,ENNIS,MINNESOTA,WILD
"Jan 16, 2017",Missed 30 games (groin).,TYLER,ENNIS,MINNESOTA,WILD
"Nov 11, 2016","Groin, injured reserve.",TYLER,ENNIS,MINNESOTA,WILD
"Nov 09, 2016","Mid-body, day-to-day.",TYLER,ENNIS,MINNESOTA,WILD
"Apr 09, 2016",Missed the last 45 regular season games (upper body injury).,TYLER,ENNIS,MINNESOTA,WILD
"Jan 05, 2016","Upper body injury, injured reserve.",TYLER,ENNIS,MINNESOTA,WILD
"Dec 31, 2015","Upper body injury, day-to-day.",TYLER,ENNIS,MINNESOTA,WILD
"Dec 19, 2015",Missed 4 games (upper body injury).,TYLER,ENNIS,MINNESOTA,WILD
"Nov 27, 2015","Upper body injury, injured reserve.",TYLER,ENNIS,MINNESOTA,WILD
"Nov 25, 2015","Upper body injury, day-to-day.",TYLER,ENNIS,MINNESOTA,WILD
"Nov 01, 2015",Missed 2 games (lower body injury).,TYLER,ENNIS,MINNESOTA,WILD
"Oct 29, 2015","Lower body injury, day-to-day.",TYLER,ENNIS,MINNESOTA,WILD
"Apr 01, 2015",Missed 2 games (upper body injury).,TYLER,ENNIS,MINNESOTA,WILD
"Mar 28, 2015","Upper body injury, day-to-day.",TYLER,ENNIS,MINNESOTA,WILD
"Mar 03, 2015",Missed 2 games (lower body injury).,TYLER,ENNIS,MINNESOTA,WILD
"Feb 26, 2015","Lower body injury, day-to-day.",TYLER,ENNIS,MINNESOTA,WILD
"Jul 17, 2014",Re-signed as a restricted free agent by the Buffalo Sabres to a five-year contract.,TYLER,ENNIS,MINNESOTA,WILD
"Jun 30, 2014",Buffalo Sabres tendered a qualifying offer.,TYLER,ENNIS,MINNESOTA,WILD
"Mar 03, 2014",Missed 2 games (body soreness).,TYLER,ENNIS,MINNESOTA,WILD
"Feb 26, 2014","Body soreness, day-to-day.",TYLER,ENNIS,MINNESOTA,WILD
"Mar 16, 2013",Missed 1 game (head injury).,TYLER,ENNIS,MINNESOTA,WILD
"Mar 12, 2013","Head injury, day-to-day.",TYLER,ENNIS,MINNESOTA,WILD
"Sep 21, 2012",Signed with the SCL Langnau Tigers (Switzerland).,TYLER,ENNIS,MINNESOTA,WILD
"Sep 15, 2012",Re-signed as a restricted free agent by the Buffalo Sabres to a two-year contract.,TYLER,ENNIS,MINNESOTA,WILD
"Jan 31, 2012",Missed 17 games (left ankle injury).,TYLER,ENNIS,MINNESOTA,WILD
"Jan 06, 2012","Left ankle injury, injured reserve.",TYLER,ENNIS,MINNESOTA,WILD
"Dec 20, 2011","Left ankle injury, day-to-day.",TYLER,ENNIS,MINNESOTA,WILD
"Dec 02, 2011",Missed 17 games (sprained ankle).,TYLER,ENNIS,MINNESOTA,WILD
"Nov 16, 2011","Sprained ankle, injured reserve.",TYLER,ENNIS,MINNESOTA,WILD
"Oct 25, 2011","Sprained ankle, day-to-day.",TYLER,ENNIS,MINNESOTA,WILD
"Mar 27, 2010",Recalled from Portland (AHL).,TYLER,ENNIS,MINNESOTA,WILD
"Nov 15, 2009",Assigned to Portland (AHL).,TYLER,ENNIS,MINNESOTA,WILD
"Nov 14, 2009",Recalled from Portland (AHL).,TYLER,ENNIS,MINNESOTA,WILD
"Sep 22, 2009",Assigned to Portland (AHL).,TYLER,ENNIS,MINNESOTA,WILD
"Sep 16, 2009",Signed by the Buffalo Sabres to a three-year entry level contract.,TYLER,ENNIS,MINNESOTA,WILD
"Sep 23, 2008",Returned to his junior team (Medicine Hat-WHL).,TYLER,ENNIS,MINNESOTA,WILD
