Date,Injury,Firstname,Lastname,City,TeamName
"Feb 25, 2018",Recalled from the Iowa Wild (AHL).,JOEL,ERIKSSON EK,MINNESOTA,WILD
"Feb 23, 2018",Assigned to the Iowa Wild (AHL).,JOEL,ERIKSSON EK,MINNESOTA,WILD
"Jan 29, 2018",Recalled from the Iowa Wild (AHL).,JOEL,ERIKSSON EK,MINNESOTA,WILD
"Jan 26, 2018",Assigned to the Iowa Wild (AHL).,JOEL,ERIKSSON EK,MINNESOTA,WILD
"Dec 06, 2017",Recalled from the Iowa Wild (AHL).,JOEL,ERIKSSON EK,MINNESOTA,WILD
"Nov 21, 2017",Assigned to the Iowa Wild (AHL).,JOEL,ERIKSSON EK,MINNESOTA,WILD
"Oct 30, 2017",Recalled from the Iowa Wild (AHL).,JOEL,ERIKSSON EK,MINNESOTA,WILD
"Oct 29, 2017",Assigned to the Iowa Wild (AHL).,JOEL,ERIKSSON EK,MINNESOTA,WILD
"Mar 29, 2017",Recalled from the Farjestad BK (Swe).,JOEL,ERIKSSON EK,MINNESOTA,WILD
"Nov 17, 2016",Returned to his european team (Farjestad BK-Swe).,JOEL,ERIKSSON EK,MINNESOTA,WILD
"Oct 22, 2016",Recalled from the Iowa Wild (AHL).,JOEL,ERIKSSON EK,MINNESOTA,WILD
"Oct 11, 2016",Assigned to the Iowa Wild (AHL).,JOEL,ERIKSSON EK,MINNESOTA,WILD
"Jul 13, 2015",Signed by the Minnesota Wild to a three-year entry-level contract.,JOEL,ERIKSSON EK,MINNESOTA,WILD
