Date,Injury,Firstname,Lastname,City,TeamName
"Oct 24, 2017",Missed 5 games (groin).,MIKAEL,GRANLUND,MINNESOTA,WILD
"Oct 07, 2017","Undisclosed, day-to-day.",MIKAEL,GRANLUND,MINNESOTA,WILD
"Aug 01, 2017",Re-signed as a restricted free agent by the Minnesota Wild to a three-year contract.,MIKAEL,GRANLUND,MINNESOTA,WILD
"Jul 05, 2017",Filed for salary arbitration.,MIKAEL,GRANLUND,MINNESOTA,WILD
"Jun 14, 2017",Minnesota Wild tendered a qualifying offer.,MIKAEL,GRANLUND,MINNESOTA,WILD
"Jul 01, 2015",Re-signed as a restricted free agent by the Minnesota Wild to a two-year contract.,MIKAEL,GRANLUND,MINNESOTA,WILD
"Jan 27, 2015",Missed 13 games (wrist injury).,MIKAEL,GRANLUND,MINNESOTA,WILD
"Dec 29, 2014","Wrist injury, injured reserve.",MIKAEL,GRANLUND,MINNESOTA,WILD
"Dec 23, 2014",Missed 1 game (illness).,MIKAEL,GRANLUND,MINNESOTA,WILD
"Dec 20, 2014","Illness, day-to-day.",MIKAEL,GRANLUND,MINNESOTA,WILD
"Apr 17, 2014",Missed 6 games (upper body injury).,MIKAEL,GRANLUND,MINNESOTA,WILD
"Apr 03, 2014","Upper body injury, day-to-day.",MIKAEL,GRANLUND,MINNESOTA,WILD
"Dec 22, 2013",Missed 11 games (head injury).,MIKAEL,GRANLUND,MINNESOTA,WILD
"Nov 28, 2013","Head injury, injured reserve.",MIKAEL,GRANLUND,MINNESOTA,WILD
"Nov 27, 2013",Missed 2 games (upper body injury).,MIKAEL,GRANLUND,MINNESOTA,WILD
"Nov 23, 2013","Upper body injury, day-to-day.",MIKAEL,GRANLUND,MINNESOTA,WILD
"May 05, 2013",Recalled from Houston (AHL).,MIKAEL,GRANLUND,MINNESOTA,WILD
"Apr 22, 2013",Assigned to Houston (AHL).,MIKAEL,GRANLUND,MINNESOTA,WILD
"Apr 16, 2013",Recalled from Houston (AHL) on an emergency basis.,MIKAEL,GRANLUND,MINNESOTA,WILD
"Apr 15, 2013",Assigned to Houston (AHL).,MIKAEL,GRANLUND,MINNESOTA,WILD
"Apr 04, 2013",Recalled from Houston (AHL).,MIKAEL,GRANLUND,MINNESOTA,WILD
"Mar 12, 2013",Assigned to Houston (AHL).,MIKAEL,GRANLUND,MINNESOTA,WILD
"Jan 13, 2013",Recalled from Houston (AHL).,MIKAEL,GRANLUND,MINNESOTA,WILD
"Sep 14, 2012",Assigned to Houston (AHL).,MIKAEL,GRANLUND,MINNESOTA,WILD
"May 23, 2012",Signed by the Minnesota Wild to a three-year entry-level contract.,MIKAEL,GRANLUND,MINNESOTA,WILD
