Date,Injury,Firstname,Lastname,City,TeamName
"Sep 18, 2017",Signed by the Minnesota Wild to a two-year contract extension.,MIKKO,KOIVU,MINNESOTA,WILD
"Jan 24, 2017",Missed 1 game (illness).,MIKKO,KOIVU,MINNESOTA,WILD
"Jan 22, 2017","Illness, day-to-day.",MIKKO,KOIVU,MINNESOTA,WILD
"Apr 06, 2015",Missed 1 game (eye injury).,MIKKO,KOIVU,MINNESOTA,WILD
"Apr 04, 2015","Eye injury, day-to-day.",MIKKO,KOIVU,MINNESOTA,WILD
"Mar 03, 2014",Missed 17 games (ankle surgery).,MIKKO,KOIVU,MINNESOTA,WILD
"Jan 06, 2014","Ankle surgery, injured reserve.",MIKKO,KOIVU,MINNESOTA,WILD
"Oct 22, 2012",Signed with the TPS Turku (Finland).,MIKKO,KOIVU,MINNESOTA,WILD
"Mar 22, 2012",Missed 15 games (shoulder injury).,MIKKO,KOIVU,MINNESOTA,WILD
"Feb 24, 2012","Shoulder injury, injured reserve.",MIKKO,KOIVU,MINNESOTA,WILD
"Feb 18, 2012","Shoulder injury, day-to-day.",MIKKO,KOIVU,MINNESOTA,WILD
"Feb 09, 2012",Missed 8 games (upper body injury).,MIKKO,KOIVU,MINNESOTA,WILD
"Jan 16, 2012","Upper body injury, injured reserve.",MIKKO,KOIVU,MINNESOTA,WILD
"Dec 26, 2011",Missed 4 games (leg injury).,MIKKO,KOIVU,MINNESOTA,WILD
"Dec 22, 2011","Leg injury, injured reserve.",MIKKO,KOIVU,MINNESOTA,WILD
"Dec 17, 2011","Leg injury, day-to-day.",MIKKO,KOIVU,MINNESOTA,WILD
"Mar 14, 2011",Missed 11 games (left hand injury).,MIKKO,KOIVU,MINNESOTA,WILD
"Feb 24, 2011","Left hand injury, injured reserve.",MIKKO,KOIVU,MINNESOTA,WILD
"Feb 20, 2011","Left hand injury, day-to-day.",MIKKO,KOIVU,MINNESOTA,WILD
"Jul 15, 2010",Re-signed by the Minnesota Wild to a seven-year contract extension.,MIKKO,KOIVU,MINNESOTA,WILD
"Mar 29, 2010",Missed 2 games (arm injury).,MIKKO,KOIVU,MINNESOTA,WILD
"Mar 25, 2010","Arm injury, day-to-day.",MIKKO,KOIVU,MINNESOTA,WILD
"Mar 29, 2009",Missed 3 games (knee injury).,MIKKO,KOIVU,MINNESOTA,WILD
"Mar 23, 2009","Knee injury, day-to-day.",MIKKO,KOIVU,MINNESOTA,WILD
"Jan 11, 2008",Missed 24 games (left knee injury).,MIKKO,KOIVU,MINNESOTA,WILD
"Nov 17, 2007","Left knee injury, sidelined indefinitely.",MIKKO,KOIVU,MINNESOTA,WILD
"Jun 30, 2007",Re-signed by the Minnesota Wild to a multi-year contract.,MIKKO,KOIVU,MINNESOTA,WILD
"Jul 18, 2006",Re-signed as a restricted free agent by the Minnesota Wild to a one-year contract.,MIKKO,KOIVU,MINNESOTA,WILD
"Mar 10, 2006",Missed 1 game (flu).,MIKKO,KOIVU,MINNESOTA,WILD
"Mar 07, 2006","Flu, day-to-day.",MIKKO,KOIVU,MINNESOTA,WILD
"Feb 02, 2006",Missed 1 game (bruised foot).,MIKKO,KOIVU,MINNESOTA,WILD
"Jan 31, 2006","Bruised foot, day-to-day.",MIKKO,KOIVU,MINNESOTA,WILD
"Jan 26, 2006",Missed 1 game (knee injury).,MIKKO,KOIVU,MINNESOTA,WILD
"Jan 24, 2006","Knee injury, day-to-day.",MIKKO,KOIVU,MINNESOTA,WILD
"Nov 05, 2005",Missed 14 games (knee injury).,MIKKO,KOIVU,MINNESOTA,WILD
"Oct 04, 2005","Knee injury, sidelined indefinitely.",MIKKO,KOIVU,MINNESOTA,WILD
"Sep 17, 2004",Assigned to Houston (AHL).,MIKKO,KOIVU,MINNESOTA,WILD
"Jul 17, 2003",Signed by the Minnesota Wild to a multi-year contract.,MIKKO,KOIVU,MINNESOTA,WILD
