Date,Injury,Firstname,Lastname,City,TeamName
"Feb 01, 2018",Missed 8 games (lower body injury).,NINO,NIEDERREITER,MINNESOTA,WILD
"Jan 09, 2018","Lower body injury, day-to-day.",NINO,NIEDERREITER,MINNESOTA,WILD
"Jan 04, 2018",Missed 5 games (ankle injury).,NINO,NIEDERREITER,MINNESOTA,WILD
"Dec 23, 2017","Ankle injury, day-to-day.",NINO,NIEDERREITER,MINNESOTA,WILD
"Oct 31, 2017",Missed 6 games (left ankle injury).,NINO,NIEDERREITER,MINNESOTA,WILD
"Oct 13, 2017","Left ankle injury, injured reserve.",NINO,NIEDERREITER,MINNESOTA,WILD
"Jul 30, 2017",Re-signed as a restricted free agent by the Minnesota Wild to a five-year contract.,NINO,NIEDERREITER,MINNESOTA,WILD
"Jul 05, 2017",Filed for salary arbitration.,NINO,NIEDERREITER,MINNESOTA,WILD
"Jun 14, 2017",Minnesota Wild tendered a qualifying offer.,NINO,NIEDERREITER,MINNESOTA,WILD
"Apr 11, 2015",Missed 1 game (general soreness).,NINO,NIEDERREITER,MINNESOTA,WILD
"Apr 09, 2015","General soreness, day-to-day.",NINO,NIEDERREITER,MINNESOTA,WILD
"Mar 06, 2015",Missed 1 game (lower body injury).,NINO,NIEDERREITER,MINNESOTA,WILD
"Mar 05, 2015","Lower body injury, day-to-day.",NINO,NIEDERREITER,MINNESOTA,WILD
"Sep 11, 2014",Re-signed as a restricted free agent by the Minnesota Wild to a three-year contract.,NINO,NIEDERREITER,MINNESOTA,WILD
"Jun 30, 2014",Minnesota Wild tendered a qualifying offer.,NINO,NIEDERREITER,MINNESOTA,WILD
"Apr 05, 2014",Missed 1 game (upper body injury).,NINO,NIEDERREITER,MINNESOTA,WILD
"Apr 03, 2014","Upper body injury, day-to-day.",NINO,NIEDERREITER,MINNESOTA,WILD
"Jun 30, 2013",Acquired from the New York Islanders.,NINO,NIEDERREITER,MINNESOTA,WILD
"Sep 14, 2012",Assigned to Bridgeport (AHL).,NINO,NIEDERREITER,MINNESOTA,WILD
"Dec 17, 2011",Missed 5 games (concussion).,NINO,NIEDERREITER,MINNESOTA,WILD
"Dec 06, 2011","Concussion, sidelined indefinitely.",NINO,NIEDERREITER,MINNESOTA,WILD
"Nov 15, 2011",Missed 14 games (groin).,NINO,NIEDERREITER,MINNESOTA,WILD
"Nov 14, 2011",Recalled from Bridgeport (AHL).,NINO,NIEDERREITER,MINNESOTA,WILD
"Nov 01, 2011",Loaned to Bridgeport (AHL) for conditioning.,NINO,NIEDERREITER,MINNESOTA,WILD
"Oct 03, 2011","Groin, injured reserve.",NINO,NIEDERREITER,MINNESOTA,WILD
"Oct 28, 2010",Returned to Portland (WHL).,NINO,NIEDERREITER,MINNESOTA,WILD
"Sep 21, 2010",Signed by the New York Islanders to a three-year entry-level contract.,NINO,NIEDERREITER,MINNESOTA,WILD
