Date,Injury,Firstname,Lastname,City,TeamName
"Jun 26, 2017",Signed by the Minnesota Wild to a two-year contract extension.,GUSTAV,OLOFSSON,MINNESOTA,WILD
"Jun 14, 2017",Minnesota Wild tendered a qualifying offer.,GUSTAV,OLOFSSON,MINNESOTA,WILD
"Apr 19, 2017",Recalled from the Iowa Wild (AHL).,GUSTAV,OLOFSSON,MINNESOTA,WILD
"Mar 24, 2017",Assigned to the Iowa Wild (AHL).,GUSTAV,OLOFSSON,MINNESOTA,WILD
"Mar 19, 2017",Missed 5 games (upper body injury).,GUSTAV,OLOFSSON,MINNESOTA,WILD
"Mar 10, 2017","Upper body injury, day-to-day.",GUSTAV,OLOFSSON,MINNESOTA,WILD
"Mar 07, 2017",Recalled from the Iowa Wild (AHL).,GUSTAV,OLOFSSON,MINNESOTA,WILD
"Feb 22, 2017",Assigned to the Iowa Wild (AHL).,GUSTAV,OLOFSSON,MINNESOTA,WILD
"Feb 08, 2017",Recalled from the Iowa Wild (AHL).,GUSTAV,OLOFSSON,MINNESOTA,WILD
"Dec 05, 2016",Assigned to the Iowa Wild (AHL).,GUSTAV,OLOFSSON,MINNESOTA,WILD
"Nov 28, 2016",Recalled from the Iowa Wild (AHL).,GUSTAV,OLOFSSON,MINNESOTA,WILD
"Oct 03, 2016",Assigned to the Iowa Wild (AHL).,GUSTAV,OLOFSSON,MINNESOTA,WILD
"Nov 28, 2015",Assigned to the Iowa Wild (AHL).,GUSTAV,OLOFSSON,MINNESOTA,WILD
"Nov 28, 2015",Recalled from the Iowa Wild (AHL).,GUSTAV,OLOFSSON,MINNESOTA,WILD
"Nov 20, 2015",Assigned to the Iowa Wild (AHL).,GUSTAV,OLOFSSON,MINNESOTA,WILD
"Nov 19, 2015",Recalled from the Iowa Wild (AHL).,GUSTAV,OLOFSSON,MINNESOTA,WILD
"Nov 13, 2015",Assigned to the Iowa Wild (AHL).,GUSTAV,OLOFSSON,MINNESOTA,WILD
"Nov 12, 2015",Recalled from the Iowa Wild (AHL).,GUSTAV,OLOFSSON,MINNESOTA,WILD
"Sep 27, 2015",Assigned to the Iowa Wild (AHL).,GUSTAV,OLOFSSON,MINNESOTA,WILD
"Apr 21, 2015",Recalled from the Iowa Wild (AHL).,GUSTAV,OLOFSSON,MINNESOTA,WILD
"Oct 03, 2014",Assigned to the Iowa Wild (AHL).,GUSTAV,OLOFSSON,MINNESOTA,WILD
"Mar 24, 2014",Signed by the Minnesota Wild to a three-year entry-level contract.,GUSTAV,OLOFSSON,MINNESOTA,WILD
