Date,Injury,Firstname,Lastname,City,TeamName
"Dec 17, 2017",Missed 9 games (groin).,JARED,SPURGEON,MINNESOTA,WILD
"Dec 14, 2017","Groin, injured reserve.",JARED,SPURGEON,MINNESOTA,WILD
"Nov 27, 2017","Illness, day-to-day.",JARED,SPURGEON,MINNESOTA,WILD
"Apr 12, 2017",Missed the last 2 regular season games (lower body injury).,JARED,SPURGEON,MINNESOTA,WILD
"Apr 06, 2017","Lower body injury, day-to-day.",JARED,SPURGEON,MINNESOTA,WILD
"Oct 29, 2016",Missed 4 games (upper body injury).,JARED,SPURGEON,MINNESOTA,WILD
"Oct 22, 2016","Upper body injury, day-to-day.",JARED,SPURGEON,MINNESOTA,WILD
"Apr 05, 2016",Missed 2 games (lower body injury).,JARED,SPURGEON,MINNESOTA,WILD
"Apr 01, 2016","Lower body injury, day-to-day.",JARED,SPURGEON,MINNESOTA,WILD
"Feb 15, 2016",Missed 3 games (strained oblique muscle).,JARED,SPURGEON,MINNESOTA,WILD
"Feb 09, 2016","Undisclosed, day-to-day.",JARED,SPURGEON,MINNESOTA,WILD
"Dec 21, 2015",Signed by the Minnesota Wild to a four-year contract extension.,JARED,SPURGEON,MINNESOTA,WILD
"Mar 08, 2015",Missed 8 games (upper body injury).,JARED,SPURGEON,MINNESOTA,WILD
"Feb 24, 2015","Upper body injury, injured reserve.",JARED,SPURGEON,MINNESOTA,WILD
"Feb 19, 2015","Upper body injury, day-to-day.",JARED,SPURGEON,MINNESOTA,WILD
"Dec 17, 2014",Missed 2 games (illness).,JARED,SPURGEON,MINNESOTA,WILD
"Dec 13, 2014","Illness, day-to-day.",JARED,SPURGEON,MINNESOTA,WILD
"Nov 13, 2014",Missed 5 games (shoulder injury).,JARED,SPURGEON,MINNESOTA,WILD
"Oct 31, 2014","Shoulder injury, injured reserve.",JARED,SPURGEON,MINNESOTA,WILD
"Feb 04, 2014",Missed 14 games (foot injury).,JARED,SPURGEON,MINNESOTA,WILD
"Jan 04, 2014","Foot injury, injured reserve.",JARED,SPURGEON,MINNESOTA,WILD
"Jul 05, 2013",Re-signed as a restricted free agent by the Minnesota Wild to a three-year contract.,JARED,SPURGEON,MINNESOTA,WILD
"Jun 29, 2013",Minnesota Wild tendered a qualifying offer.,JARED,SPURGEON,MINNESOTA,WILD
"Feb 12, 2013",Missed 9 games (foot injury).,JARED,SPURGEON,MINNESOTA,WILD
"Feb 04, 2013","Foot injury, injured reserve.",JARED,SPURGEON,MINNESOTA,WILD
"Jan 25, 2013","Foot injury, day-to-day.",JARED,SPURGEON,MINNESOTA,WILD
"Sep 21, 2012",Signed with the SCL Langnau Tigers (Switzerland).,JARED,SPURGEON,MINNESOTA,WILD
"Apr 07, 2012",Missed the last 9 regular season games (concussion).,JARED,SPURGEON,MINNESOTA,WILD
"Mar 24, 2012","Concussion, day-to-day.",JARED,SPURGEON,MINNESOTA,WILD
"Mar 11, 2012",Missed 1 game (flu).,JARED,SPURGEON,MINNESOTA,WILD
"Mar 08, 2012","Flu, day-to-day.",JARED,SPURGEON,MINNESOTA,WILD
"Dec 31, 2011",Missed 2 games (lower body injury).,JARED,SPURGEON,MINNESOTA,WILD
"Dec 28, 2011","Lower body injury, day-to-day.",JARED,SPURGEON,MINNESOTA,WILD
"Apr 11, 2011",Assigned to Houston (AHL).,JARED,SPURGEON,MINNESOTA,WILD
"Jan 14, 2011",Recalled from Houston (AHL).,JARED,SPURGEON,MINNESOTA,WILD
"Jan 10, 2011",Assigned to Houston (AHL).,JARED,SPURGEON,MINNESOTA,WILD
"Dec 31, 2010",Recalled from Houston (AHL).,JARED,SPURGEON,MINNESOTA,WILD
"Dec 28, 2010",Assigned to Houston (AHL).,JARED,SPURGEON,MINNESOTA,WILD
"Nov 28, 2010",Recalled from Houston (AHL).,JARED,SPURGEON,MINNESOTA,WILD
"Sep 27, 2010",Assigned to Houston (AHL).,JARED,SPURGEON,MINNESOTA,WILD
"Sep 23, 2010",Signed by the Minnesota Wild to a three-year entry-level contract.,JARED,SPURGEON,MINNESOTA,WILD
"Sep 17, 2010",Invited to training camp by the Minnesota Wild.,JARED,SPURGEON,MINNESOTA,WILD
"Jun 01, 2010",Unsigned; will become an unrestricted free agent.,JARED,SPURGEON,MINNESOTA,WILD
"Sep 26, 2008",Returned to his junior team (Spokane-WHL).,JARED,SPURGEON,MINNESOTA,WILD
