Date,Injury,Firstname,Lastname,City,TeamName
"Jul 01, 2016",Signed as an unrestricted free agent by the Minnesota Wild to a three-year contract.,ERIC,STAAL,MINNESOTA,WILD
"Feb 28, 2016",Acquired from the Carolina Hurricanes.,ERIC,STAAL,MINNESOTA,WILD
"Oct 28, 2014",Missed 5 games (upper body injury).,ERIC,STAAL,MINNESOTA,WILD
"Oct 22, 2014","Upper body injury, injured reserve.",ERIC,STAAL,MINNESOTA,WILD
"Oct 14, 2014","Upper body injury, day-to-day.",ERIC,STAAL,MINNESOTA,WILD
"Jan 13, 2014",Missed 3 games (lower body injury).,ERIC,STAAL,MINNESOTA,WILD
"Jan 05, 2014","Lower body injury, day-to-day.",ERIC,STAAL,MINNESOTA,WILD
"Mar 01, 2011",Missed 1 game (upper body injury).,ERIC,STAAL,MINNESOTA,WILD
"Feb 26, 2011","Upper body injury, day-to-day.",ERIC,STAAL,MINNESOTA,WILD
"Jan 10, 2010",Missed 2 games (personal reasons).,ERIC,STAAL,MINNESOTA,WILD
"Jan 06, 2010","Personal reasons, sidelined indefinitely.",ERIC,STAAL,MINNESOTA,WILD
"Nov 25, 2009",Missed 10 games (upper body injury).,ERIC,STAAL,MINNESOTA,WILD
"Nov 02, 2009","Upper body injury, day-to-day.",ERIC,STAAL,MINNESOTA,WILD
"Sep 11, 2008",Signed by the Carolina Hurricanes to a seven-year contract extension.,ERIC,STAAL,MINNESOTA,WILD
"Jul 01, 2006",Re-signed by the Carolina Hurricanes to a three-year contract.,ERIC,STAAL,MINNESOTA,WILD
"Sep 15, 2004",Assigned to Lowell (AHL).,ERIC,STAAL,MINNESOTA,WILD
"Mar 20, 2004",Missed 1 game (torso injury).,ERIC,STAAL,MINNESOTA,WILD
"Mar 19, 2004","Torso injury, day-to-day.",ERIC,STAAL,MINNESOTA,WILD
"Oct 06, 2003",Signed by the Carolina Hurricanes to a three-year contract.,ERIC,STAAL,MINNESOTA,WILD
