Date,Injury,Firstname,Lastname,City,TeamName
"Nov 10, 2017",Missed 2 games (personal reasons).,ALEX,STALOCK,MINNESOTA,WILD
"Nov 08, 2017","Personal reasons, day-to-day.",ALEX,STALOCK,MINNESOTA,WILD
"Apr 15, 2017",Recalled from the Iowa Wild (AHL).,ALEX,STALOCK,MINNESOTA,WILD
"Apr 03, 2017",Assigned to the Iowa Wild (AHL).,ALEX,STALOCK,MINNESOTA,WILD
"Mar 29, 2017",Recalled from the Iowa Wild (AHL).,ALEX,STALOCK,MINNESOTA,WILD
"Feb 02, 2017",Re-signed by the Minnesota Wild to a two-year contract.,ALEX,STALOCK,MINNESOTA,WILD
"Oct 10, 2016",Placed on waivers by the Minnesota Wild for the purpose of being assigned to the Iowa Wild (AHL).,ALEX,STALOCK,MINNESOTA,WILD
"Jul 01, 2016",Signed as an unrestricted free agent by the Minnesota Wild to a one-year contract.,ALEX,STALOCK,MINNESOTA,WILD
"Feb 29, 2016",Assigned to the Toronto Marlies (AHL).,ALEX,STALOCK,MINNESOTA,WILD
"Feb 28, 2016",Placed on waivers by the Toronto Maple Leafs.,ALEX,STALOCK,MINNESOTA,WILD
"Feb 27, 2016",Acquired from the San Jose Sharks.,ALEX,STALOCK,MINNESOTA,WILD
"Jan 07, 2016",Recalled from the San Jose Barracuda (AHL).,ALEX,STALOCK,MINNESOTA,WILD
"Jan 03, 2016",Assigned to the San Jose Barracuda (AHL) for conditioning purposes.,ALEX,STALOCK,MINNESOTA,WILD
"Nov 29, 2014",Missed 7 games (lower body injury).,ALEX,STALOCK,MINNESOTA,WILD
"Nov 12, 2014","Lower body injury, injured reserve.",ALEX,STALOCK,MINNESOTA,WILD
"Jun 17, 2014",Signed by the San Jose Sharks to a two-year contract extension.,ALEX,STALOCK,MINNESOTA,WILD
"Jul 08, 2013",Re-signed as an unrestricted free agent by the San Jose Sharks to a one-year contract.,ALEX,STALOCK,MINNESOTA,WILD
"Apr 24, 2013",Recalled from Worcester (AHL).,ALEX,STALOCK,MINNESOTA,WILD
"Apr 01, 2013",Assigned to Worcester (AHL).,ALEX,STALOCK,MINNESOTA,WILD
"Mar 09, 2013",Recalled from Worcester (AHL).,ALEX,STALOCK,MINNESOTA,WILD
"Sep 17, 2012",Assigned to Worcester (AHL).,ALEX,STALOCK,MINNESOTA,WILD
"Jul 02, 2012",Re-signed as a restricted free agent by the San Jose Sharks to a one-year contract.,ALEX,STALOCK,MINNESOTA,WILD
"Jun 26, 2012",San Jose Sharks tendered a qualifying offer.,ALEX,STALOCK,MINNESOTA,WILD
"Apr 19, 2012",Recalled from Stockton (ECHL).,ALEX,STALOCK,MINNESOTA,WILD
"Jan 20, 2012",Assigned to Stockton (ECHL).,ALEX,STALOCK,MINNESOTA,WILD
"Jan 20, 2012",Missed 44 games (left leg injury).,ALEX,STALOCK,MINNESOTA,WILD
"Oct 05, 2011","Left leg injury, injured reserve.",ALEX,STALOCK,MINNESOTA,WILD
"Jun 27, 2011",Re-signed by the San Jose Sharks to a one-year contract.,ALEX,STALOCK,MINNESOTA,WILD
"Feb 04, 2011",Assigned to Worcester (AHL).,ALEX,STALOCK,MINNESOTA,WILD
"Jan 25, 2011",Recalled from Worcester (AHL).,ALEX,STALOCK,MINNESOTA,WILD
"Sep 26, 2010",Assigned to Worcester (AHL).,ALEX,STALOCK,MINNESOTA,WILD
"May 12, 2010",Recalled from Worcester (AHL).,ALEX,STALOCK,MINNESOTA,WILD
"Sep 27, 2009",Assigned to Worcester (AHL).,ALEX,STALOCK,MINNESOTA,WILD
"Apr 13, 2009",Signed by the San Jose Sharks to an entry-level contract.,ALEX,STALOCK,MINNESOTA,WILD
