Date,Injury,Firstname,Lastname,City,TeamName
"Jan 19, 2015",Missed 2 games (suspended by nhl).,RYAN,SUTER,MINNESOTA,WILD
"Jan 14, 2015",Suspended by the NHL for 2 games.,RYAN,SUTER,MINNESOTA,WILD
"Dec 09, 2014",Missed 2 games (illness).,RYAN,SUTER,MINNESOTA,WILD
"Dec 03, 2014","Illness, day-to-day.",RYAN,SUTER,MINNESOTA,WILD
"Jul 04, 2012",Signed as an unrestricted free agent by the Minnesota Wild to a 13-year contract.,RYAN,SUTER,MINNESOTA,WILD
"Jan 23, 2012",Missed 3 games (upper body injury).,RYAN,SUTER,MINNESOTA,WILD
"Jan 17, 2012","Upper body injury, day-to-day.",RYAN,SUTER,MINNESOTA,WILD
"Feb 24, 2011",Missed 1 game (upper body injury).,RYAN,SUTER,MINNESOTA,WILD
"Feb 22, 2011","Upper body injury, day-to-day.",RYAN,SUTER,MINNESOTA,WILD
"Nov 24, 2010",Missed 2 games (lower body injury).,RYAN,SUTER,MINNESOTA,WILD
"Nov 20, 2010","Lower body injury, day-to-day.",RYAN,SUTER,MINNESOTA,WILD
"Nov 13, 2010",Missed 9 games (leg injury).,RYAN,SUTER,MINNESOTA,WILD
"Oct 20, 2010","Leg injury, injured reserve.",RYAN,SUTER,MINNESOTA,WILD
"Jun 16, 2008",Re-signed by the Nashville Predators to a four-year contract.,RYAN,SUTER,MINNESOTA,WILD
"Jan 03, 2008",Missed 3 games (leg injury).,RYAN,SUTER,MINNESOTA,WILD
"Dec 27, 2007","Leg injury, day-to-day.",RYAN,SUTER,MINNESOTA,WILD
"Jan 06, 2005",Re-assigned to Milwaukee (AHL).,RYAN,SUTER,MINNESOTA,WILD
"Dec 16, 2004",Loaned to Team USA (WJHC).,RYAN,SUTER,MINNESOTA,WILD
"Sep 15, 2004",Assigned to Milwaukee (AHL).,RYAN,SUTER,MINNESOTA,WILD
"Sep 08, 2004",Signed by the Nashville Predators to a three-year contract.,RYAN,SUTER,MINNESOTA,WILD
