Date,Injury,Firstname,Lastname,City,TeamName
"Oct 04, 2017",Signed as an unrestricted free agent by the Minnesota Wild to a one-year contract.,DANIEL,WINNIK,MINNESOTA,WILD
"Sep 12, 2017",Signed by the Minnesota Wild to a professional try-out contract.,DANIEL,WINNIK,MINNESOTA,WILD
"Feb 28, 2016",Acquired from the Toronto Maple Leafs.,DANIEL,WINNIK,MINNESOTA,WILD
"Jan 19, 2016",Missed 1 game (undisclosed).,DANIEL,WINNIK,MINNESOTA,WILD
"Jan 16, 2016","Undisclosed, day-to-day.",DANIEL,WINNIK,MINNESOTA,WILD
"Nov 30, 2015",Missed 2 games (undisclosed).,DANIEL,WINNIK,MINNESOTA,WILD
"Nov 23, 2015","Undisclosed, day-to-day.",DANIEL,WINNIK,MINNESOTA,WILD
"Nov 12, 2015",Missed 1 game (lower body injury).,DANIEL,WINNIK,MINNESOTA,WILD
"Nov 10, 2015","Lower body injury, day-to-day.",DANIEL,WINNIK,MINNESOTA,WILD
"Jul 01, 2015",Signed as an unrestricted free agent by the Toronto Maple Leafs to a two-year contract.,DANIEL,WINNIK,MINNESOTA,WILD
"Feb 25, 2015",Acquired from the Toronto Maple Leafs.,DANIEL,WINNIK,MINNESOTA,WILD
"Nov 12, 2014",Missed 2 games (head injury).,DANIEL,WINNIK,MINNESOTA,WILD
"Nov 08, 2014","Head injury, day-to-day.",DANIEL,WINNIK,MINNESOTA,WILD
"Jul 28, 2014",Signed as an unrestricted free agent by the Toronto Maple Leafs to a one-year contract.,DANIEL,WINNIK,MINNESOTA,WILD
"Jul 20, 2012",Signed as an unrestricted free agent by the Anaheim Ducks to a two-year contract.,DANIEL,WINNIK,MINNESOTA,WILD
"Feb 27, 2012",Acquired from the Colorado Avalanche.,DANIEL,WINNIK,MINNESOTA,WILD
"Dec 21, 2010",Missed 1 game (flu).,DANIEL,WINNIK,MINNESOTA,WILD
"Dec 19, 2010","Flu, day-to-day.",DANIEL,WINNIK,MINNESOTA,WILD
"Jul 02, 2010",Re-signed as a restricted free agent by the Colorado Avalanche to a two-year contract.,DANIEL,WINNIK,MINNESOTA,WILD
"Jun 28, 2010",Acquired from the Phoenix Coyotes.,DANIEL,WINNIK,MINNESOTA,WILD
"Jan 26, 2010",Missed 2 games (upper body injury).,DANIEL,WINNIK,MINNESOTA,WILD
"Jan 21, 2010","Upper body injury, day-to-day.",DANIEL,WINNIK,MINNESOTA,WILD
"Jan 07, 2010",Missed 5 games (arm injury).,DANIEL,WINNIK,MINNESOTA,WILD
"Dec 27, 2009","Arm injury, sidelined indefinitely.",DANIEL,WINNIK,MINNESOTA,WILD
"Jul 24, 2009",Re-signed as a restricted free agent by the Phoenix Coyotes.,DANIEL,WINNIK,MINNESOTA,WILD
"Jun 30, 2009",Phoenix Coyotes tendered a qualifying offer.,DANIEL,WINNIK,MINNESOTA,WILD
"Jan 11, 2009",Recalled from San Antonio (AHL).,DANIEL,WINNIK,MINNESOTA,WILD
"Jan 01, 2009",Assigned to San Antonio (AHL) for conditioning purposes.,DANIEL,WINNIK,MINNESOTA,WILD
"Nov 27, 2008",Missed 6 games (upper body injury).,DANIEL,WINNIK,MINNESOTA,WILD
"Nov 18, 2008","Upper body injury, day-to-day.",DANIEL,WINNIK,MINNESOTA,WILD
"Mar 14, 2007",Re-assigned to San Antonio (AHL).,DANIEL,WINNIK,MINNESOTA,WILD
"Mar 12, 2007",Re-assigned to Phoenix (ECHL).,DANIEL,WINNIK,MINNESOTA,WILD
"Sep 24, 2006",Assigned to San Antonio (AHL).,DANIEL,WINNIK,MINNESOTA,WILD
"Apr 03, 2006",Assigned to San Antonio (AHL).,DANIEL,WINNIK,MINNESOTA,WILD
"Mar 31, 2006",Signed by the Phoenix Coyotes to an entry-level contract.,DANIEL,WINNIK,MINNESOTA,WILD
