Date,Injury,Firstname,Lastname,City,TeamName
"Apr 06, 2017",Missed 3 games (lower body injury).,JASON,ZUCKER,MINNESOTA,WILD
"Apr 01, 2017","Lower body injury, day-to-day.",JASON,ZUCKER,MINNESOTA,WILD
"Jun 29, 2016",Re-signed by the Minnesota Wild to a two-year contract.,JASON,ZUCKER,MINNESOTA,WILD
"Jun 25, 2016",Minnesota Wild tendered a qualifying offer.,JASON,ZUCKER,MINNESOTA,WILD
"Mar 04, 2016",Missed 6 games (concussion).,JASON,ZUCKER,MINNESOTA,WILD
"Feb 24, 2016","Concussion, injured reserve.",JASON,ZUCKER,MINNESOTA,WILD
"Feb 23, 2016","Upper body injury, day-to-day.",JASON,ZUCKER,MINNESOTA,WILD
"Apr 07, 2015",Missed 27 games (upper body injury).,JASON,ZUCKER,MINNESOTA,WILD
"Feb 10, 2015","Upper body injury, injured reserve.",JASON,ZUCKER,MINNESOTA,WILD
"Jan 03, 2015",Missed 4 games (illness).,JASON,ZUCKER,MINNESOTA,WILD
"Dec 27, 2014","Illness, day-to-day.",JASON,ZUCKER,MINNESOTA,WILD
"Jul 15, 2014",Re-signed as a restricted free agent by the Minnesota Wild to a two-year contract.,JASON,ZUCKER,MINNESOTA,WILD
"Jun 30, 2014",Minnesota Wild tendered a qualifying offer.,JASON,ZUCKER,MINNESOTA,WILD
"May 13, 2014",Missed the last 23 regular season and first 13 playoff games (leg injury).,JASON,ZUCKER,MINNESOTA,WILD
"Feb 25, 2014","Leg injury, injured reserve.",JASON,ZUCKER,MINNESOTA,WILD
"Jan 01, 2014",Recalled from the Houston Aeros (AHL).,JASON,ZUCKER,MINNESOTA,WILD
"Dec 13, 2013",Assigned to Iowa (AHL).,JASON,ZUCKER,MINNESOTA,WILD
"Dec 09, 2013",Recalled from Iowa (AHL).,JASON,ZUCKER,MINNESOTA,WILD
"Dec 01, 2013",Assigned to Iowa (AHL).,JASON,ZUCKER,MINNESOTA,WILD
"Nov 28, 2013",Recalled from Iowa (AHL).,JASON,ZUCKER,MINNESOTA,WILD
"Nov 27, 2013",Assigned to Iowa (AHL).,JASON,ZUCKER,MINNESOTA,WILD
"Nov 20, 2013",Recalled from Iowa (AHL).,JASON,ZUCKER,MINNESOTA,WILD
"Oct 09, 2013",Assigned to Iowa (AHL).,JASON,ZUCKER,MINNESOTA,WILD
"Oct 06, 2013",Recalled from Iowa (AHL).,JASON,ZUCKER,MINNESOTA,WILD
"Sep 29, 2013",Assigned to Iowa (AHL).,JASON,ZUCKER,MINNESOTA,WILD
"Apr 27, 2013",Recalled from Houston (AHL).,JASON,ZUCKER,MINNESOTA,WILD
"Apr 22, 2013",Assigned to Houston (AHL).,JASON,ZUCKER,MINNESOTA,WILD
"Apr 12, 2013",Recalled from Houston (AHL).,JASON,ZUCKER,MINNESOTA,WILD
"Mar 24, 2013",Assigned to Houston (AHL).,JASON,ZUCKER,MINNESOTA,WILD
"Mar 18, 2013",Missed 2 games (head injury).,JASON,ZUCKER,MINNESOTA,WILD
"Mar 14, 2013","Head injury, day-to-day.",JASON,ZUCKER,MINNESOTA,WILD
"Feb 16, 2013",Recalled from Houston (AHL).,JASON,ZUCKER,MINNESOTA,WILD
"Sep 14, 2012",Assigned to Houston (AHL).,JASON,ZUCKER,MINNESOTA,WILD
"Mar 28, 2012",Signed by the Minnesota Wild to a three-year entry-level contract.,JASON,ZUCKER,MINNESOTA,WILD
